energy_eV,delta_vs_alpha02,delta_vs_same_alpha
1.000000000000000021e-02,5.526852522963484807e+04,6.045718749203292100e+04
2.000000000000000042e-02,2.686669761588245456e+04,2.940268355718886596e+04
2.999999999999999889e-02,1.708384296208777232e+04,1.871039309004231836e+04
4.000000000000000083e-02,1.198336907276434613e+04,1.313709636805755144e+04
5.000000000000000278e-02,8.785068620617017586e+03,9.641504502917798163e+03
5.999999999999999778e-02,6.566795736058794319e+03,7.214636823424376416e+03
7.000000000000000666e-02,4.935932215495211494e+03,5.426813007589783410e+03
8.000000000000000167e-02,3.697149415415529802e+03,4.064294017454459208e+03
8.999999999999999667e-02,2.741638074710447199e+03,3.008136104897036148e+03
1.000000000000000056e-01,2.002840849862337336e+03,2.185771116808512488e+03
1.100000000000000006e-01,1.436420950356666026e+03,1.549086109951974549e+03
1.199999999999999956e-01,1.010371799551503500e+03,1.063587128613246477e+03
1.300000000000000044e-01,6.998383730602598689e+02,7.027101337538127837e+02
1.400000000000000133e-01,4.843140591435528677e+02,4.447254149504247493e+02
1.499999999999999944e-01,3.461131859119175829e+02,2.710341775933146096e+02
1.600000000000000033e-01,2.695599588739507908e+02,1.652473707182928990e+02
1.700000000000000122e-01,2.405892872452158713e+02,1.127154438797212492e+02
1.799999999999999933e-01,2.465831944116556258e+02,1.003178741776515750e+02
1.900000000000000022e-01,2.763352310005070080e+02,1.163962989321547212e+02
2.000000000000000111e-01,3.200746050659591901e+02,1.507578224337423478e+02
2.099999999999999922e-01,3.695058213126266082e+02,1.947010931734809844e+02
2.200000000000000011e-01,4.178354691857076091e+02,2.410347347866037921e+02
2.300000000000000100e-01,4.597689525323669386e+02,2.840695468297394086e+02
2.399999999999999911e-01,4.914682246455992072e+02,3.195745755185050143e+02
2.500000000000000000e-01,5.104679129914749183e+02,3.446937289783639358e+02
2.600000000000000089e-01,5.155520620867129082e+02,3.578246137789325871e+02
2.700000000000000178e-01,5.065973328037433703e+02,3.584649794702477266e+02
2.800000000000000266e-01,4.843910039814609263e+02,3.470347311844927845e+02
2.899999999999999800e-01,4.504336179284740638e+02,3.246830123323740622e+02
2.999999999999999889e-01,4.067366809538964958e+02,2.930904653194593834e+02
3.099999999999999978e-01,3.556255734971687730e+02,2.542765542186183723e+02
3.200000000000000067e-01,2.995568635045761994e+02,2.104209050190528103e+02
3.300000000000000155e-01,2.409576947859530947e+02,1.637061319584852299e+02
3.400000000000000244e-01,1.820929992390819052e+02,1.161877335357104073e+02
3.500000000000000333e-01,1.249641269056959629e+02,6.969452797945515954e+01
3.599999999999999867e-01,7.124026907931491337e+01,2.576092281301718501e+01
3.699999999999999956e-01,2.222192508359685093e+01,-1.440976650094869349e+01
3.800000000000000044e-01,-2.116622847635548865e+01,-4.995358088748743342e+01
3.900000000000000133e-01,-5.835725446276798323e+01,-8.032990136565977934e+01
4.000000000000000222e-01,-8.910396982852584813e+01,-1.052863726205600159e+02
4.100000000000000311e-01,-1.134270257409233409e+02,-1.248106086039637148e+02
4.199999999999999845e-01,-1.315552012947062224e+02,-1.390746754060620560e+02
4.299999999999999933e-01,-1.438637906569215659e+02,-1.483780588402769069e+02
4.400000000000000022e-01,-1.508163031448425500e+02,-1.530941528719521330e+02
4.500000000000000111e-01,-1.529137239083129884e+02,-1.536243311262835789e+02
4.600000000000000200e-01,-1.506543967808197806e+02,-1.503624843057320959e+02
4.700000000000000289e-01,-1.445062961631802807e+02,-1.436716265280582263e+02
4.799999999999999822e-01,-1.348921574090692559e+02,-1.338728982577489717e+02
4.899999999999999911e-01,-1.221867334308415565e+02,-1.212461196235475285e+02
5.000000000000000000e-01,-1.067244231583741652e+02,-1.060400578792012141e+02
5.100000000000000089e-01,-8.881473947011913594e+01,-8.848982916881769256e+01
5.200000000000000178e-01,-6.876259153973242633e+01,-6.883839698644770522e+01
5.300000000000000266e-01,-4.689016573186491144e+01,-4.735897245849428572e+01
5.400000000000000355e-01,-2.355729237691382849e+01,-2.437525527051375818e+01
5.500000000000000444e-01,8.224471327626425854e-01,-2.768471592424382455e-01
5.600000000000000533e-01,2.577203606551877257e+01,2.447222735873100419e+01
5.700000000000000622e-01,5.074918855566461673e+01,4.933320896570709380e+01
5.799999999999999600e-01,7.515297565916243627e+01,7.370099076627681711e+01
