energy_eV,Re_epsilon,Im_epsilon
1.000000000000000021e-02,5.096037930551388513e+02,-5.115423150662049011e+03
2.000000000000000042e-02,5.034922417009148603e+02,-2.504879023621504530e+03
2.999999999999999889e-02,4.934702520574477376e+02,-1.612516519105948191e+03
4.000000000000000083e-02,4.797774765590842776e+02,-1.151114898472101231e+03
5.000000000000000278e-02,4.627372367087591556e+02,-8.636098430089039084e+02
5.999999999999999778e-02,4.427449948274734766e+02,-6.645728464100494648e+02
7.000000000000000666e-02,4.202544411418948584e+02,-5.175561495756603563e+02
8.000000000000000167e-02,3.957618123199459319e+02,-4.044235896089899143e+02
8.999999999999999667e-02,3.697891261533119973e+02,-3.151254018269115704e+02
1.000000000000000056e-01,3.428670509357870628e+02,-2.436086388277535377e+02
1.100000000000000006e-01,3.155181260335594402e+02,-1.859608546233489790e+02
1.199999999999999956e-01,2.882410130212567765e+02,-1.394860855203471317e+02
1.300000000000000044e-01,2.614963873160335197e+02,-1.022124941109217389e+02
1.400000000000000133e-01,2.356949829542377017e+02,-7.261680885791400897e+01
1.499999999999999944e-01,2.111881839231642459e+02,-4.946495448937658779e+01
1.600000000000000033e-01,1.882614212409409333e+02,-3.171823780352371713e+01
1.700000000000000122e-01,1.671304933532124721e+02,-1.847796910741131171e+01
1.799999999999999933e-01,1.479407861374664606e+02,-8.953176190274337642e+00
1.900000000000000022e-01,1.307692353397935392e+02,-2.442299495450971136e+00
2.000000000000000111e-01,1.156287553684167051e+02,1.676771229170070265e+00
2.099999999999999922e-01,1.024747597061351172e+02,3.951924110145256019e+00
2.200000000000000011e-01,9.121332407924072072e+01,4.859666233909766930e+00
2.300000000000000100e-01,8.171049666018808466e+01,4.807112842798788144e+00
2.399999999999999911e-01,7.380224104326435963e+01,4.134101556888094997e+00
2.500000000000000000e-01,6.730450691490595716e+01,3.116011496007061066e+00
2.600000000000000089e-01,6.202295809215720368e+01,1.967575995541391176e+00
2.700000000000000178e-01,5.776194442467379275e+01,8.477617487903926774e-01
2.800000000000000266e-01,5.433237837531870440e+01,-1.343708866363303445e-01
2.899999999999999800e-01,5.155826359555670280e+01,-9.130226146809058418e-01
2.999999999999999889e-01,4.928171579432815719e+01,-1.458491995723592671e+00
3.099999999999999978e-01,4.736640994477168221e+01,-1.769797559528657249e+00
3.200000000000000067e-01,4.569947699477196323e+01,-1.867394993197940556e+00
3.300000000000000155e-01,4.419195299786643005e+01,-1.786280878357912050e+00
3.400000000000000244e-01,4.277795010624842575e+01,-1.569736481886143453e+00
3.500000000000000333e-01,4.141276938736442048e+01,-1.263912732818403883e+00
3.599999999999999867e-01,4.007020833663410997e+01,-9.133960791160715686e-01
3.699999999999999956e-01,3.873933085574400792e+01,-5.578295949107036078e-01
3.800000000000000044e-01,3.742096508396564047e+01,-2.295993091819056031e-01
3.900000000000000133e-01,3.612417655714388331e+01,4.746353364842018085e-02
4.000000000000000222e-01,3.486293330107790212e+01,2.584642514084541376e-01
4.100000000000000311e-01,3.365313881882111247e+01,3.970500796480841976e-01
