energy_eV,Re_epsilon,Im_epsilon
1.000000000000000021e-02,-1.221750669814062036e+02,7.323911173602733982e+01
2.000000000000000042e-02,-1.232843375418235183e+02,3.110691768490632114e+01
2.999999999999999889e-02,-1.250239303095496268e+02,1.403360884859661262e+01
4.000000000000000083e-02,-1.272359702204085750e+02,2.612396821105651412e+00
5.000000000000000278e-02,-1.297109434315310068e+02,-7.173960708123602537e+00
5.999999999999999778e-02,-1.321984951912504584e+02,-1.673175904446691575e+01
7.000000000000000666e-02,-1.344203370529833421e+02,-2.667535748108841176e+01
8.000000000000000167e-02,-1.360846047955779738e+02,-3.727898757006060748e+01
8.999999999999999667e-02,-1.369009381813509094e+02,-4.862737164032251513e+01
1.000000000000000056e-01,-1.365955222370648414e+02,-6.067837188157813699e+01
1.100000000000000006e-01,-1.349253384330009169e+02,-7.329569502804037029e+01
1.199999999999999956e-01,-1.316909220771616162e+02,-8.627075645860412578e+01
1.300000000000000044e-01,-1.267470063891543077e+02,-9.934073341736885254e+01
1.400000000000000133e-01,-1.200105490599908791e+02,-1.122054530510421415e+02
1.499999999999999944e-01,-1.114657769726547087e+02,-1.245439628079795824e+02
1.600000000000000033e-01,-1.011660412329041350e+02,-1.360308259591816409e+02
1.700000000000000122e-01,-8.923243903513214548e+01,-1.463518124729059195e+02
1.799999999999999933e-01,-7.584932218257411307e+01,-1.552184964242783849e+02
1.900000000000000022e-01,-6.125696555247815667e+01,-1.623812315638032544e+02
2.000000000000000111e-01,-4.574180443447503563e+01,-1.676400114030467705e+02
2.099999999999999922e-01,-2.962476063575699925e+01,-1.708528040290003958e+02
2.200000000000000011e-01,-1.324825823588068552e+01,-1.719410681651940536e+02
2.300000000000000100e-01,3.037422617272681702e+00,-1.708922928598287285e+02
2.399999999999999911e-01,1.888779300190801891e+01,-1.677595475702061378e+02
2.500000000000000000e-01,3.397716485647075046e+01,-1.626581725171039636e+02
2.600000000000000089e-01,4.801043857254502001e+01,-1.557598723122389117e+02
2.700000000000000178e-01,6.073316672977564679e+01,-1.472845915847052254e+02
2.800000000000000266e-01,7.193949743080224835e+01,-1.374906436836044463e+02
2.899999999999999800e-01,8.147772213030074795e+01,-1.266636282107809564e+02
2.999999999999999889e-01,8.925328324930984536e+01,-1.151047076301607177e+02
3.099999999999999978e-01,9.522922881029192865e+01,-1.031188168380790700e+02
3.200000000000000067e-01,9.942422762797900759e+01,-9.100335347872130853e+01
3.300000000000000155e-01,1.019083726822670997e+02,-7.903784370582575036e+01
3.400000000000000244e-01,1.027970966001194881e+02,-6.747500218525762250e+01
3.500000000000000333e-01,1.022435973640817508e+02,-5.653351165905920794e+01
3.599999999999999867e-01,1.004302215827722620e+02,-4.639274234541380082e+01
3.699999999999999956e-01,9.755927559617404654e+01,-3.718952117945624991e+01
3.800000000000000044e-01,9.384373159477917170e+01,-2.901695172031385184e+01
3.900000000000000133e-01,8.949826851960821728e+01,-2.192518336924336708e+01
4.000000000000000222e-01,8.473103878032465275e+01,-1.592393854062571101e+01
4.100000000000000311e-01,7.973648582341904500e+01,-1.098653278339229189e+01
4.199999999999999845e-01,7.468945908956528967e+01,-7.055068557793551243e+00
4.299999999999999933e-01,6.974078712575077077e+01,-4.046450125344274618e+00
4.400000000000000022e-01,6.501438185557675808e+01,-1.858855179469143248e+00
