energy_eV,Re_epsilon,Im_epsilon
1.000000000000000021e-02,-6.000541241925880058e+03,5.416689039132092876e+04
2.000000000000000042e-02,-5.898660994919766381e+03,2.632785993665633578e+04
2.999999999999999889e-02,-5.732271916273041825e+03,1.673684177273090609e+04
4.000000000000000083e-02,-5.506340762520331737e+03,1.173430175697417508e+04
5.000000000000000278e-02,-5.227528290343531808e+03,8.595165357199382925e+03
5.999999999999999778e-02,-4.903914265439640985e+03,6.415503335337702083e+03
7.000000000000000666e-02,-4.544668074686750515e+03,4.810438053960715479e+03
8.000000000000000167e-02,-4.159681169389530623e+03,3.588520189296980334e+03
8.999999999999999667e-02,-3.759179206932205943e+03,2.643163790985866854e+03
1.000000000000000056e-01,-3.353332410922488179e+03,1.909257609967747385e+03
1.100000000000000006e-01,-2.951882314597005006e+03,1.343527152239473480e+03
1.199999999999999956e-01,-2.563801727799259425e+03,9.148331216577792020e+02
1.300000000000000044e-01,-2.197002570077715973e+03,5.990853761218959335e+02
1.400000000000000133e-01,-1.858103287285716078e+03,3.764832915629524450e+02
1.499999999999999944e-01,-1.552264102502807418e+03,2.300052170260394462e+02
1.600000000000000033e-01,-1.283094557905802958e+03,1.445995951546394451e+02
1.700000000000000122e-01,-1.052633910041838362e+03,1.067799973101025870e+02
1.799999999999999933e-01,-8.614011738334772872e+02,1.044519574907570671e+02
1.900000000000000022e-01,-7.085081828953642571e+02,1.268667774319465309e+02
2.000000000000000111e-01,-5.918261301349929226e+02,1.646358903519690671e+02
2.099999999999999922e-01,-5.081938196575272286e+02,2.097628450475399973e+02
2.200000000000000011e-01,-4.536543989979228968e+02,2.556653634057527427e+02
2.300000000000000100e-01,-4.237066990306980756e+02,2.971707057120675586e+02
2.399999999999999911e-01,-4.135574847203745321e+02,3.304755354656663826e+02
2.500000000000000000e-01,-4.183618602920868170e+02,3.530675299450368811e+02
2.600000000000000089e-01,-4.334406798518066921e+02,3.636106070660271712e+02
2.700000000000000178e-01,-4.544659547941432720e+02,3.617990767187029633e+02
2.800000000000000266e-01,-4.776077619094837701e+02,3.481884100617329523e+02
2.899999999999999800e-01,-4.996388654566403602e+02,3.240117446280691524e+02
2.999999999999999889e-01,-5.179959942720022354e+02,2.909917915146602354e+02
3.099999999999999978e-01,-5.307992917934969910e+02,2.511575804261540270e+02
3.200000000000000067e-01,-5.368337327484971411e+02,2.066745854094374124e+02
3.300000000000000155e-01,-5.354981536030779807e+02,1.596953548723651011e+02
3.400000000000000244e-01,-5.267288879912176753e+02,1.122359751864622979e+02
3.500000000000000333e-01,-5.109057852750208895e+02,6.608168690156925607e+01
3.599999999999999867e-01,-4.887486119548115084e+02,2.272290446999197044e+01
3.699999999999999956e-01,-4.612115217349045793e+02,-1.667908750348748015e+01
3.800000000000000044e-01,-4.293824943526382185e+02,-5.129924642875455731e+01
3.900000000000000133e-01,-3.943934769420198450e+02,-8.063261110620119609e+01
4.000000000000000222e-01,-3.573455254018247160e+02,-1.044598232639606437e+02
4.100000000000000311e-01,-3.192516583089535516e+02,-1.227998845856216548e+02
4.199999999999999845e-01,-2.809985252420726738e+02,-1.358558569932839646e+02
4.299999999999999933e-01,-2.433264706578651158e+02,-1.439589503449706456e+02
4.400000000000000022e-01,-2.068262444890401355e+02,-1.475158140056590241e+02
4.500000000000000111e-01,-1.719495510832038860e+02,-1.469629332096993437e+02
4.600000000000000200e-01,-1.390298931804222491e+02,-1.427309193158043001e+02
4.700000000000000289e-01,-1.083097838176178271e+02,-1.352202741734239453e+02
4.799999999999999822e-01,-7.997036499943010313e+01,-1.247890019579232757e+02
4.899999999999999911e-01,-5.415976043257283834e+01,-1.117513286655087086e+02
5.000000000000000000e-01,-3.101705114024980503e+01,-9.638584794018019863e+01
5.100000000000000089e-01,-1.068953085684740145e+01,-7.895070134951438945e+01
5.200000000000000178e-01,6.658204705684978464e+00,-5.970295907468244678e+01
5.300000000000000266e-01,2.084383619372649576e+01,-3.891920738945461267e+01
