energy_eV,Re_epsilon,Im_epsilon
1.000000000000000021e-02,-6.072710281614784435e+03,5.477357685398281319e+04
2.000000000000000042e-02,-5.969745757475600840e+03,2.662263221025259554e+04
2.999999999999999889e-02,-5.801584445235314888e+03,1.692408435515324163e+04
4.000000000000000083e-02,-5.573243773830005011e+03,1.186538203773460191e+04
5.000000000000000278e-02,-5.291452201499685543e+03,8.690916939369688407e+03
5.999999999999999778e-02,-4.964371212062288578e+03,6.486626819826637984e+03
7.000000000000000666e-02,-4.601262361403488285e+03,4.863316779825824597e+03
8.000000000000000167e-02,-4.212115804384460716e+03,3.627388892743726956e+03
8.999999999999999667e-02,-3.807258387924996896e+03,2.671061565563743443e+03
1.000000000000000056e-01,-3.396960050679464985e+03,1.928495215481294508e+03
1.100000000000000006e-01,-2.991056902295493273e+03,1.355934658801915930e+03
1.199999999999999956e-01,-2.598608005703064464e+03,9.218990979798417129e+02
1.300000000000000044e-01,-2.227600652002746756e+03,6.020391932219496312e+02
1.400000000000000133e-01,-1.884715947877140025e+03,3.763464390534226141e+02
1.499999999999999944e-01,-1.575163019251439437e+03,2.276254361077199633e+02
1.600000000000000033e-01,-1.302586289450247250e+03,1.406754855199534404e+02
1.700000000000000122e-01,-1.069046346533360747e+03,1.018804182190975638e+02
1.799999999999999933e-01,-8.750711032230392448e+02,9.903262873795318910e+01
1.900000000000000022e-01,-7.197704890722310438e+02,1.212853409009853891e+02
2.000000000000000111e-01,-6.010049852889663953e+02,1.591659933792883237e+02
2.099999999999999922e-01,-5.155960658916599186e+02,2.046073836778699899e+02
2.200000000000000011e-01,-4.595651454944558054e+02,2.509687832155888714e+02
2.300000000000000100e-01,-4.283870030417779162e+02,2.930301444583247417e+02
2.399999999999999911e-01,-4.172438481874422678e+02,3.269505688773616043e+02
2.500000000000000000e-01,-4.212671679075275506e+02,3.501883228965970716e+02
2.600000000000000089e-01,-4.357561352234082506e+02,3.613843557832486795e+02
2.700000000000000178e-01,-4.563635424684348436e+02,3.602147352947754939e+02
2.800000000000000266e-01,-4.792427746470484067e+02,3.472198103806714471e+02
2.899999999999999800e-01,-5.011520855703503230e+02,3.236193289091932570e+02
2.999999999999999889e-01,-5.195151995119547337e+02,2.911232695313288446e+02
3.099999999999999978e-01,-5.324398623856136510e+02,2.517478900800978749e+02
3.200000000000000067e-01,-5.386982573277558686e+02,2.076455697490669365e+02
