energy_eV,Re_epsilon,Im_epsilon
1.000000000000000021e-02,-6.145337902233872228e+03,5.534176434137087199e+04
2.000000000000000042e-02,-6.041240927327629834e+03,2.689780453356735961e+04
2.999999999999999889e-02,-5.871226272907124439e+03,1.709787657093636881e+04
4.000000000000000083e-02,-5.640361064087709565e+03,1.198598146958545112e+04
5.000000000000000278e-02,-5.355440570970602494e+03,8.777894659908894027e+03
5.999999999999999778e-02,-5.024707606294098696e+03,6.550063977014327065e+03
7.000000000000000666e-02,-4.657516454889275337e+03,4.909256858014123281e+03
8.000000000000000167e-02,-4.263957915558061359e+03,3.659870427845469294e+03
8.999999999999999667e-02,-3.854463706748184904e+03,2.693010703070124691e+03
1.000000000000000056e-01,-3.439409148121537328e+03,1.942162477980759149e+03
1.100000000000000006e-01,-3.028732659416189108e+03,1.363125255328625599e+03
1.199999999999999956e-01,-2.631589256229090552e+03,9.241010430928994310e+02
1.300000000000000044e-01,-2.256052968171514749e+03,6.004976396428910448e+02
1.400000000000000133e-01,-1.908880108207304602e+03,3.721086060925107404e+02
1.499999999999999944e-01,-1.595341773822368395e+03,2.215692231039380147e+02
1.600000000000000033e-01,-1.319130080259487386e+03,1.335291329147691783e+02
1.700000000000000122e-01,-1.082338646700745130e+03,9.423747477230993752e+01
1.799999999999999933e-01,-8.855140104841566426e+02,9.136469798737724091e+01
1.900000000000000022e-01,-7.277711493866364663e+02,1.139539994367037536e+02
2.000000000000000111e-01,-6.069633364261717361e+02,1.524345936629124196e+02
2.099999999999999922e-01,-5.198942848466891746e+02,1.986530172836262409e+02
2.200000000000000011e-01,-4.625590647342816055e+02,2.458944010205135555e+02
2.300000000000000100e-01,-4.303996365350982387e+02,2.888766596725382101e+02
2.399999999999999911e-01,-4.185610465017387583e+02,3.237086770753930978e+02
2.500000000000000000e-01,-4.221353094116871603e+02,3.478097404743709831e+02
2.600000000000000089e-01,-4.363816636950981547e+02,3.597921897744739681e+02
2.700000000000000178e-01,-4.569140849520438792e+02,3.593127412190381165e+02
