time_fs,alpha,Q_ELF,Jz,Ac_ext_z,Ac_xc_z,Exc_z
1.935107461204000137e-02,2.000000000000000111e-01,nan,2.507547255249779983e-06,1.000000000000000048e-04,1.747724116825201504e-07,-4.284483453189254080e-07
3.870214922408000274e-02,2.000000000000000111e-01,nan,2.231362921335979852e-06,1.000000000000000048e-04,6.715095331201263275e-07,-8.059032379909566295e-07
5.805322383612000064e-02,2.000000000000000111e-01,nan,2.059575931624149972e-06,1.000000000000000048e-04,1.455030355869851953e-06,-1.148285380413122523e-06
7.740429844816000549e-02,2.000000000000000111e-01,nan,1.885980095101730065e-06,1.000000000000000048e-04,2.502093853845716427e-06,-1.464665965145348127e-06
9.675537306020000339e-02,2.000000000000000111e-01,nan,1.659856290174360068e-06,1.000000000000000048e-04,3.789976473766809422e-06,-1.748877617768052537e-06
1.161064476722400013e-01,2.000000000000000111e-01,nan,1.402847510876219915e-06,1.000000000000000048e-04,5.289981041330056032e-06,-1.994123008329295200e-06
1.354575222842799853e-01,2.000000000000000111e-01,nan,1.138984955048339932e-06,1.000000000000000048e-04,6.969513308029992093e-06,-2.197530573862072837e-06
1.548085968963200110e-01,2.000000000000000111e-01,nan,8.821533235305730523e-07,1.000000000000000048e-04,8.794890948207966969e-06,-2.358912373519940875e-06
1.741596715083600089e-01,2.000000000000000111e-01,nan,6.638103748972530473e-07,1.000000000000000048e-04,1.073360472185289325e-05,-2.481931678897734899e-06
1.935107461204000068e-01,2.000000000000000111e-01,nan,4.795627273270890054e-07,1.000000000000000048e-04,1.275766889820619608e-05,-2.573234341647861770e-06
2.128618207324400324e-01,2.000000000000000111e-01,nan,2.929425424968840167e-07,1.000000000000000048e-04,1.484307940370295959e-05,-2.635218898337260496e-06
2.322128953444800026e-01,2.000000000000000111e-01,nan,1.033093562470869982e-07,1.000000000000000048e-04,1.696592940530592151e-05,-2.666733492594738432e-06
2.515639699565200282e-01,2.000000000000000111e-01,nan,-6.861289252709189967e-08,1.000000000000000048e-04,1.910222507369611163e-05,-2.669340487622307502e-06
2.709150445685599706e-01,2.000000000000000111e-01,nan,-2.384506243934579823e-07,1.000000000000000048e-04,2.122975127809064108e-05,-2.644860614497837194e-06
2.902661191806000240e-01,2.000000000000000111e-01,nan,-4.161181691280729948e-07,1.000000000000000048e-04,2.332665871654299847e-05,-2.592571228801251440e-06
3.096171937926400219e-01,2.000000000000000111e-01,nan,-5.944183722312839564e-07,1.000000000000000048e-04,2.537028856788423097e-05,-2.511641496051970961e-06
3.289682684046800198e-01,2.000000000000000111e-01,nan,-7.438094193551390488e-07,1.000000000000000048e-04,2.733815095119269565e-05,-2.403950985187137268e-06
3.483193430167200177e-01,2.000000000000000111e-01,nan,-8.622349314277680024e-07,1.000000000000000048e-04,2.921113718719492181e-05,-2.275299317008450010e-06
3.676704176287600156e-01,2.000000000000000111e-01,nan,-9.659222834229580468e-07,1.000000000000000048e-04,3.097391155687561270e-05,-2.128818385944973612e-06
3.870214922408000136e-01,2.000000000000000111e-01,nan,-1.056763632630250099e-06,1.000000000000000048e-04,3.261317567604379500e-05,-1.966869004910475261e-06
4.063725668528400115e-01,2.000000000000000111e-01,nan,-1.139457458137530097e-06,1.000000000000000048e-04,3.411727531440690477e-05,-1.791138192163236950e-06
4.257236414648800649e-01,2.000000000000000111e-01,nan,-1.218700420131860070e-06,1.000000000000000048e-04,3.547552574896893884e-05,-1.602317801676653522e-06
4.450747160769200073e-01,2.000000000000000111e-01,nan,-1.273812710806959957e-06,1.000000000000000048e-04,3.667805208546010080e-05,-1.402494803128692693e-06
4.644257906889600052e-01,2.000000000000000111e-01,nan,-1.295561586401590097e-06,1.000000000000000048e-04,3.771790051432233597e-05,-1.196544978247546012e-06
4.837768653010000031e-01,2.000000000000000111e-01,nan,-1.304349459513079937e-06,1.000000000000000048e-04,3.859204836188186757e-05,-9.885925235748942120e-07
5.031279399130400565e-01,2.000000000000000111e-01,nan,-1.319922888221699939e-06,1.000000000000000048e-04,3.929916492779234776e-05,-7.787710078406289858e-07
5.224790145250800544e-01,2.000000000000000111e-01,nan,-1.325021251770869995e-06,1.000000000000000048e-04,3.983744193430124538e-05,-5.667800456211823600e-07
5.418300891371199413e-01,2.000000000000000111e-01,nan,-1.311991732986389951e-06,1.000000000000000048e-04,4.020631197388762197e-05,-3.557550045486324378e-07
5.611811637491600502e-01,2.000000000000000111e-01,nan,-1.299914311777310031e-06,1.000000000000000048e-04,4.040722803643843403e-05,-1.468570232103147671e-07
5.805322383612000481e-01,2.000000000000000111e-01,nan,-1.280795630585589992e-06,1.000000000000000048e-04,4.044185385153041567e-05,5.976656088476453327e-08
5.998833129732400460e-01,2.000000000000000111e-01,nan,-1.251889158911169949e-06,1.000000000000000048e-04,4.031260696879682755e-05,2.625790955251086644e-07
6.192343875852800439e-01,2.000000000000000111e-01,nan,-1.205193632068879979e-06,1.000000000000000048e-04,4.002334235513111451e-05,4.593077809107161088e-07
6.385854621973200418e-01,2.000000000000000111e-01,nan,-1.147425776209340092e-06,1.000000000000000048e-04,3.957995744212811128e-05,6.475643494451790332e-07
6.579365368093600397e-01,2.000000000000000111e-01,nan,-1.097217460555809969e-06,1.000000000000000048e-04,3.898957587160352498e-05,8.270353930252151550e-07
6.772876114214000376e-01,2.000000000000000111e-01,nan,-1.045433835563259969e-06,1.000000000000000048e-04,3.825878882407271741e-05,9.985248457608033749e-07
6.966386860334400355e-01,2.000000000000000111e-01,nan,-9.827564399104369566e-07,1.000000000000000048e-04,3.739430639865136592e-05,1.160974582682201074e-06
7.159897606454800334e-01,2.000000000000000111e-01,nan,-9.037954684871640161e-07,1.000000000000000048e-04,3.640418549021156853e-05,1.312186603351481098e-06
7.353408352575200313e-01,2.000000000000000111e-01,nan,-8.074254302758850005e-07,1.000000000000000048e-04,3.529859371022875283e-05,1.449159240540989763e-06
7.546919098695600292e-01,2.000000000000000111e-01,nan,-7.145487299955960125e-07,1.000000000000000048e-04,3.408960245280978521e-05,1.570792488352658063e-06
7.740429844816000271e-01,2.000000000000000111e-01,nan,-6.331481734473019710e-07,1.000000000000000048e-04,3.278904996010860803e-05,1.678365219183558003e-06
7.933940590936399140e-01,2.000000000000000111e-01,nan,-5.626265315561880040e-07,1.000000000000000048e-04,3.140730898034282297e-05,1.774080545097088326e-06
8.127451337056800229e-01,2.000000000000000111e-01,nan,-4.865566586444829486e-07,1.000000000000000048e-04,2.995362434362247575e-05,1.858063180096055969e-06
8.320962083177200208e-01,2.000000000000000111e-01,nan,-4.022421532090899858e-07,1.000000000000000048e-04,2.843776002211873867e-05,1.929294775558865241e-06
8.514472829297601297e-01,2.000000000000000111e-01,nan,-3.210478836801889796e-07,1.000000000000000048e-04,2.687034976749403265e-05,1.987028166586561518e-06
8.707983575418000166e-01,2.000000000000000111e-01,nan,-2.463531352316910090e-07,1.000000000000000048e-04,2.526180907976826451e-05,2.032278328781543914e-06
8.901494321538400145e-01,2.000000000000000111e-01,nan,-1.902241785062370036e-07,1.000000000000000048e-04,2.362150272623380381e-05,2.066972881906408323e-06
9.095005067658800124e-01,2.000000000000000111e-01,nan,-1.431859973070490048e-07,1.000000000000000048e-04,2.195677612369131048e-05,2.093565798698750912e-06
9.288515813779200103e-01,2.000000000000000111e-01,nan,-9.249446821394060187e-08,1.000000000000000048e-04,2.027376441756532902e-05,2.112583127729687752e-06
9.482026559899601192e-01,2.000000000000000111e-01,nan,-4.074275444195420105e-08,1.000000000000000048e-04,1.857892428201495934e-05,2.123106287245973804e-06
9.675537306020000061e-01,2.000000000000000111e-01,nan,1.699470292993440052e-09,1.000000000000000048e-04,1.687876383723392856e-05,2.126145759322922349e-06
9.869048052140400040e-01,2.000000000000000111e-01,nan,4.312495797872599714e-08,1.000000000000000048e-04,1.517881855706291562e-05,2.122592574902819143e-06
1.006255879826080113e+00,2.000000000000000111e-01,nan,8.954607160615720451e-08,1.000000000000000048e-04,1.348445257523274416e-05,2.112058324845585033e-06
1.025606954438120111e+00,2.000000000000000111e-01,nan,1.391163181177759892e-07,1.000000000000000048e-04,1.180158851549825248e-05,2.093750806876868654e-06
1.044958029050160109e+00,2.000000000000000111e-01,nan,1.963222238375519926e-07,1.000000000000000048e-04,1.013660397419291671e-05,2.067155069545459832e-06
1.064309103662200107e+00,2.000000000000000111e-01,nan,2.648360823111270166e-07,1.000000000000000048e-04,8.496867581119770403e-06,2.030317797739854415e-06
1.083660178274239883e+00,2.000000000000000111e-01,nan,3.307158083629520031e-07,1.000000000000000048e-04,6.890997431333713474e-06,1.982565237252222144e-06
1.103011252886280102e+00,2.000000000000000111e-01,nan,3.930175510984259878e-07,1.000000000000000048e-04,5.327417750756424383e-06,1.924690701227643929e-06
1.122362327498320100e+00,2.000000000000000111e-01,nan,4.572800363443940150e-07,1.000000000000000048e-04,3.814160935713020588e-06,1.856703996541574694e-06
1.141713402110360098e+00,2.000000000000000111e-01,nan,5.227915748189149775e-07,1.000000000000000048e-04,2.359448278723850026e-06,1.778296998518882535e-06
1.161064476722400096e+00,2.000000000000000111e-01,nan,5.874549166373510279e-07,1.000000000000000048e-04,9.716693988648241380e-07,1.689375409542489795e-06
1.180415551334439872e+00,2.000000000000000111e-01,nan,6.360676384099739641e-07,1.000000000000000048e-04,-3.411337936737016632e-07,1.591324167910143056e-06
1.199766625946480092e+00,2.000000000000000111e-01,nan,6.831026338365809755e-07,1.000000000000000048e-04,-1.572531126102916430e-06,1.485898863551183651e-06
1.219117700558520090e+00,2.000000000000000111e-01,nan,7.344924158621540009e-07,1.000000000000000048e-04,-2.716403901277556194e-06,1.372370493895614722e-06
1.238468775170560088e+00,2.000000000000000111e-01,nan,7.733872689262010485e-07,1.000000000000000048e-04,-3.766412680465650747e-06,1.251593031445046181e-06
1.257819849782600086e+00,2.000000000000000111e-01,nan,8.057672197935079478e-07,1.000000000000000048e-04,-4.717524874563579683e-06,1.125321978594056548e-06
1.277170924394640084e+00,2.000000000000000111e-01,nan,8.517956156297879678e-07,1.000000000000000048e-04,-5.565324723787160319e-06,9.929208188312757812e-07
1.296521999006680081e+00,2.000000000000000111e-01,nan,9.056451659266689705e-07,1.000000000000000048e-04,-6.304008032609017147e-06,8.523173126192869519e-07
1.315873073618720079e+00,2.000000000000000111e-01,nan,9.519681398790429505e-07,1.000000000000000048e-04,-6.926839190305529416e-06,7.034947449688762131e-07
1.335224148230760077e+00,2.000000000000000111e-01,nan,9.882723816337699590e-07,1.000000000000000048e-04,-7.427932531507588747e-06,5.482499601403959919e-07
1.354575222842800075e+00,2.000000000000000111e-01,nan,1.016133216438199896e-06,1.000000000000000048e-04,-7.802628276820962254e-06,3.877340920325693822e-07
1.373926297454840073e+00,2.000000000000000111e-01,nan,1.035412933621189906e-06,1.000000000000000048e-04,-8.047351987076273438e-06,2.235544211404952471e-07
1.393277372066880071e+00,2.000000000000000111e-01,nan,1.050374303722770031e-06,1.000000000000000048e-04,-8.159571292342313360e-06,5.657729682840990159e-08
1.412628446678920069e+00,2.000000000000000111e-01,nan,1.049813000510410015e-06,1.000000000000000048e-04,-8.137531736963102237e-06,-1.116575961005534483e-07
1.431979521290960067e+00,2.000000000000000111e-01,nan,1.028829772621349914e-06,1.000000000000000048e-04,-7.981321501644150022e-06,-2.783014914084608396e-07
1.451330595903000065e+00,2.000000000000000111e-01,nan,9.805170108622671006e-07,1.000000000000000048e-04,-7.693724666550396960e-06,-4.393671276803832948e-07
1.470681670515040063e+00,2.000000000000000111e-01,nan,9.214155507632129548e-07,1.000000000000000048e-04,-7.280720333214731726e-06,-5.915368519832982348e-07
1.490032745127080060e+00,2.000000000000000111e-01,nan,8.551010972960230162e-07,1.000000000000000048e-04,-6.749849908750668058e-06,-7.338390526306245666e-07
1.509383819739120058e+00,2.000000000000000111e-01,nan,7.686240334788179593e-07,1.000000000000000048e-04,-6.109732827948292237e-06,-8.641076753253683406e-07
1.528734894351160056e+00,2.000000000000000111e-01,nan,6.575339990659250374e-07,1.000000000000000048e-04,-5.371529577938926048e-06,-9.783593301045021459e-07
1.548085968963200054e+00,2.000000000000000111e-01,nan,5.452852507726620341e-07,1.000000000000000048e-04,-4.549134638583872372e-06,-1.074582800166475773e-06
1.567437043575240052e+00,2.000000000000000111e-01,nan,4.295097038931839813e-07,1.000000000000000048e-04,-3.657008539529601470e-06,-1.152574660231353252e-06
1.586788118187279828e+00,2.000000000000000111e-01,nan,3.144667233263469786e-07,1.000000000000000048e-04,-2.709870604742155630e-06,-1.212149143343841881e-06
1.606139192799320270e+00,2.000000000000000111e-01,nan,1.934806662684149901e-07,1.000000000000000048e-04,-1.722555002790478320e-06,-1.252849155172847453e-06
1.625490267411360046e+00,2.000000000000000111e-01,nan,6.858603571587340006e-08,1.000000000000000048e-04,-7.105240259782754365e-07,-1.273827331160913521e-06
1.644841342023400044e+00,2.000000000000000111e-01,nan,-5.490501508393239792e-08,1.000000000000000048e-04,3.102995215299200398e-07,-1.274870648192334608e-06
1.664192416635440042e+00,2.000000000000000111e-01,nan,-1.795557828343399996e-07,1.000000000000000048e-04,1.324086916657658538e-06,-1.256207627917161735e-06
1.683543491247479817e+00,2.000000000000000111e-01,nan,-3.026563923324529934e-07,1.000000000000000048e-04,2.314897443720610525e-06,-1.217465057236074407e-06
1.702894565859520259e+00,2.000000000000000111e-01,nan,-4.154862293830299953e-07,1.000000000000000048e-04,3.267086253920153941e-06,-1.159942603130869941e-06
1.722245640471560035e+00,2.000000000000000111e-01,nan,-5.256520911903179934e-07,1.000000000000000048e-04,4.166102104406137712e-06,-1.084592230683164831e-06
1.741596715083600033e+00,2.000000000000000111e-01,nan,-6.310980429900249973e-07,1.000000000000000048e-04,4.997920489228359377e-06,-9.920976449738303118e-07
1.760947789695640031e+00,2.000000000000000111e-01,nan,-7.367286524076650334e-07,1.000000000000000048e-04,5.748923400766892933e-06,-8.825285092504629771e-07
1.780298864307680029e+00,2.000000000000000111e-01,nan,-8.302011927339230184e-07,1.000000000000000048e-04,6.405751912857774792e-06,-7.569959944113846217e-07
1.799649938919720249e+00,2.000000000000000111e-01,nan,-9.107955075016999806e-07,1.000000000000000048e-04,6.956464316630699841e-06,-6.175962818865908488e-07
1.819001013531760025e+00,2.000000000000000111e-01,nan,-9.782795366560110366e-07,1.000000000000000048e-04,7.390722863974556144e-06,-4.662121949233250542e-07
1.838352088143800023e+00,2.000000000000000111e-01,nan,-1.030763261949710040e-06,1.000000000000000048e-04,7.699929600161969191e-06,-3.053820818990125837e-07
1.857703162755840021e+00,2.000000000000000111e-01,nan,-1.074801992986440054e-06,1.000000000000000048e-04,7.877284947714061140e-06,-1.368123557164917616e-07
1.877054237367880019e+00,2.000000000000000111e-01,nan,-1.113632517001739936e-06,1.000000000000000048e-04,7.917096860198009217e-06,3.835089811251720743e-08
1.896405311979920238e+00,2.000000000000000111e-01,nan,-1.133015669170690032e-06,1.000000000000000048e-04,7.814599203105676966e-06,2.184115935716802343e-07
1.915756386591960236e+00,2.000000000000000111e-01,nan,-1.138819427414169957e-06,1.000000000000000048e-04,7.567183796632949850e-06,4.002950831086801062e-07
1.935107461204000012e+00,2.000000000000000111e-01,nan,-1.136856806076370063e-06,1.000000000000000048e-04,7.174117315248252521e-06,5.823099893915321299e-07
1.954458535816040010e+00,2.000000000000000111e-01,nan,-1.131134142838840056e-06,1.000000000000000048e-04,6.635560606176525983e-06,7.639279396177174382e-07
1.973809610428080008e+00,2.000000000000000111e-01,nan,-1.114772098129950004e-06,1.000000000000000048e-04,5.952322156324436560e-06,9.437272557023174105e-07
1.993160685040120228e+00,2.000000000000000111e-01,nan,-1.087746370239070017e-06,1.000000000000000048e-04,5.126520668828309255e-06,1.120034649453878880e-06
2.012511759652160226e+00,2.000000000000000111e-01,nan,-1.057575016437229987e-06,1.000000000000000048e-04,4.161498497348518312e-06,1.291709131625284845e-06
2.031862834264200224e+00,2.000000000000000111e-01,nan,-1.014370962472090100e-06,1.000000000000000048e-04,3.061267506378452939e-06,1.457686827394377908e-06
