time_fs,alpha,Q_ELF,Jz,Ac_ext_z,Ac_xc_z,Exc_z
1.935107461204000137e-02,2.000000000000000111e-01,nan,-1.737308172251829959e-06,-6.346671315581459962e-05,-1.598362627747958535e-08,8.587731197634335132e-08
3.870214922408000274e-02,2.000000000000000111e-01,nan,-8.876559435734439590e-06,-3.352418576534929953e-04,-3.119526656876675793e-07,8.473500370837796608e-07
5.805322383612000064e-02,2.000000000000000111e-01,nan,-2.350355894480100167e-05,-9.164348857664659674e-04,-1.823768382650771058e-06,3.329617996266182131e-06
7.740429844816000549e-02,2.000000000000000111e-01,nan,-4.661043491217729899e-05,-1.872075950428040043e-03,-6.434239061839481097e-06,8.825156379758529083e-06
9.675537306020000339e-02,2.000000000000000111e-01,nan,-7.796786782364800651e-05,-3.223225261595720047e-03,-1.709869460703142990e-05,1.868956700642402779e-05
1.161064476722400013e-01,2.000000000000000111e-01,nan,-1.160120210305549965e-04,-4.942303284815949792e-03,-3.781435239801837333e-05,3.413559690272487021e-05
1.354575222842799853e-01,2.000000000000000111e-01,nan,-1.578785256933770080e-04,-6.952013779390680409e-03,-7.342051849813397975e-05,5.602028513044943875e-05
1.548085968963200110e-01,2.000000000000000111e-01,nan,-1.995783389431900082e-04,-9.128000496294379554e-03,-1.292338280123602834e-04,8.464927876364076054e-05
1.741596715083600089e-01,2.000000000000000111e-01,nan,-2.362910493703189951e-04,-1.130513683490219981e-02,-2.105407307322881014e-04,1.196188003835645661e-04
1.935107461204000068e-01,2.000000000000000111e-01,nan,-2.627718708841629840e-04,-1.328711070698019962e-02,-3.219848220560977124e-04,1.597139299917892195e-04
2.128618207324400324e-01,2.000000000000000111e-01,nan,-2.738001244125430264e-04,-1.485874886439200043e-02,-4.669002989590035138e-04,2.028767687301631845e-04
2.322128953444800026e-01,2.000000000000000111e-01,nan,-2.645934766906820235e-04,-1.580033949829880158e-02,-6.466480645052655966e-04,2.462439081007390218e-04
2.515639699565200282e-01,2.000000000000000111e-01,nan,-2.312103402399239937e-04,-1.590307058099239834e-02,-8.600078257326693957e-04,2.862486310627178300e-04
2.709150445685599706e-01,2.000000000000000111e-01,nan,-1.709438486450250009e-04,-1.498461315009140017e-02,-1.102677791346152493e-03,3.187875342844603789e-04
2.902661191806000240e-01,2.000000000000000111e-01,nan,-8.263265784325600179e-05,-1.290384932168689956e-02,-1.366931476653623304e-03,3.394443697038557434e-04
3.096171937926400219e-01,2.000000000000000111e-01,nan,3.313068655700379694e-05,-9.573776539767309829e-03,-1.641471243474596203e-03,3.437552448827272734e-04
3.289682684046800198e-01,2.000000000000000111e-01,nan,1.738805793470810058e-04,-4.971711033826049786e-03,-1.911505396362363912e-03,3.274998868736377100e-04
3.483193430167200177e-01,2.000000000000000111e-01,nan,3.352356604148889791e-04,8.539403210103289682e-04,-2.159064249818818011e-03,2.870057487537467289e-04
3.676704176287600156e-01,2.000000000000000111e-01,nan,5.109717327675919766e-04,7.780877864593130008e-03,-2.363560205621602437e-03,2.194507914638312625e-04
3.870214922408000136e-01,2.000000000000000111e-01,nan,6.932464649451719994e-04,1.561438684201319968e-02,-2.502582043756519398e-03,1.231420590475237279e-04
4.063725668528400115e-01,2.000000000000000111e-01,nan,8.729412407956360512e-04,2.409315499311870043e-02,-2.552895131355604249e-03,-2.251263643161653151e-06
4.257236414648800649e-01,2.000000000000000111e-01,nan,1.040110728476249932e-03,3.289923275018150073e-02,-2.491603848837259383e-03,-1.555283040002793148e-04
4.450747160769200073e-01,2.000000000000000111e-01,nan,1.184512707712749927e-03,4.167168930329590015e-02,-2.297418953929600098e-03,-3.338659105650375715e-04
4.644257906889600052e-01,2.000000000000000111e-01,nan,1.296161037246730107e-03,5.002329111611659995e-02,-1.951962744080876786e-03,-5.328153489513972512e-04
4.837768653010000031e-01,2.000000000000000111e-01,nan,1.365883645191250063e-03,5.755933917742669936e-02,-1.441041396026336401e-03,-7.463877912355760223e-04
5.031279399130400565e-01,2.000000000000000111e-01,nan,1.385891855401400093e-03,6.389765890103130119e-02,-7.558129592669294737e-04,-9.672300207692253364e-04
5.224790145250800544e-01,2.000000000000000111e-01,nan,1.350321408146690086e-03,6.868865092855699905e-02,1.062214612448797994e-04,-1.186890011898336606e-03
5.418300891371199413e-01,2.000000000000000111e-01,nan,1.255656908724069910e-03,7.163428765521440145e-02,1.140471575661072302e-03,-1.396160778603509380e-03
5.611811637491600502e-01,2.000000000000000111e-01,nan,1.101021382201089992e-03,7.250498097613969350e-02,2.334810968373867302e-03,-1.585480799057073118e-03
5.805322383612000481e-01,2.000000000000000111e-01,nan,8.883528588264059554e-04,7.115334968505980517e-02,3.669466748090542338e-03,-1.745372044404207984e-03
5.998833129732400460e-01,2.000000000000000111e-01,nan,6.224234270635070490e-04,6.752407464379189816e-02,5.117267811521191388e-03,-1.866894166694722280e-03
6.192343875852800439e-01,2.000000000000000111e-01,nan,3.106988902650750241e-04,6.165923743866109918e-02,6.644254184953451471e-03,-1.942088669348255442e-03
6.385854621973200418e-01,2.000000000000000111e-01,nan,-3.694418682958030040e-05,5.369878207610689902e-02,8.210629639133812385e-03,-1.964389031244438873e-03
6.579365368093600397e-01,2.000000000000000111e-01,nan,-4.086178280747189916e-04,4.387600551683049771e-02,9.772021653340130787e-03,-1.928975788310547355e-03
6.772876114214000376e-01,2.000000000000000111e-01,nan,-7.909058311597289915e-04,3.250825632509950214e-02,1.128099797973585415e-02,-1.833060690958118050e-03
6.966386860334400355e-01,2.000000000000000111e-01,nan,-1.169428338602190040e-03,1.998328576691730044e-02,1.268877794594791900e-02,-1.676087169128794019e-03
7.159897606454800334e-01,2.000000000000000111e-01,nan,-1.529478781884640063e-03,6.741937119826869711e-03,1.394706633854633782e-02,-1.459834346731188164e-03
7.353408352575200313e-01,2.000000000000000111e-01,nan,-1.856705906911430013e-03,-6.741937119826930426e-03,1.500992861958816774e-02,-1.188415126148183870e-03
7.546919098695600292e-01,2.000000000000000111e-01,nan,-2.137796986761069957e-03,-1.998328576691730044e-02,1.583562063582237556e-02,-8.681642932951419075e-04
7.740429844816000271e-01,2.000000000000000111e-01,nan,-2.361108437123470016e-03,-3.250825632509950214e-02,1.638828598438512793e-02,-5.074210076296079702e-04
7.933940590936399140e-01,2.000000000000000111e-01,nan,-2.517222713967520037e-03,-4.387600551683040057e-02,1.663944049769962297e-02,-1.162161104183677407e-04
8.127451337056800229e-01,2.000000000000000111e-01,nan,-2.599415455111430198e-03,-5.369878207610689902e-02,1.656917275038391132e-02,2.941226839794138653e-04
