time_fs,alpha,Q_ELF,Jz,Ac_ext_z,Ac_xc_z,Exc_z
1.935107461204000137e-02,1.999999998990867334e-01,7.518597500856610827e-02,2.507547255249779983e-06,1.000000000000000048e-04,1.747724116825201504e-07,-4.284483452057740883e-07
3.870214922408000274e-02,2.000000004727693625e-01,7.518597522423055290e-02,2.231362921329149802e-06,1.000000000000000048e-04,6.715095328693621176e-07,-8.059032387652591986e-07
5.805322383612000064e-02,2.000000002767579887e-01,7.518597515054402380e-02,2.059575931667859837e-06,1.000000000000000048e-04,1.455030357471390086e-06,-1.148285382559051272e-06
7.740429844816000549e-02,1.999999996530157087e-01,7.518597491606066052e-02,1.885980095179070102e-06,1.000000000000000048e-04,2.502093856901514840e-06,-1.464665964876629677e-06
9.675537306020000339e-02,1.999999993170446522e-01,7.518597478975910797e-02,1.659856290183300077e-06,1.000000000000000048e-04,3.789976474601319411e-06,-1.748877613272703208e-06
1.161064476722400013e-01,1.999999989972020276e-01,7.518597466952070540e-02,1.402847510749490022e-06,1.000000000000000048e-04,5.289981037055240837e-06,-1.994122999925854649e-06
1.354575222842799853e-01,1.999999981118819603e-01,7.518597433670244634e-02,1.138984954711700028e-06,1.000000000000000048e-04,6.969513295329087956e-06,-2.197530557932157132e-06
1.548085968963200110e-01,1.999999964020524323e-01,7.518597369392644725e-02,8.821533227673799556e-07,1.000000000000000048e-04,8.794890918221772439e-06,-2.358912341021213688e-06
1.741596715083600089e-01,1.999999943735446262e-01,7.518597293134976489e-02,6.638103732780469718e-07,1.000000000000000048e-04,1.073360465683003128e-05,-2.481931621328071260e-06
1.935107461204000068e-01,1.999999924499201998e-01,7.518597220820186222e-02,4.795627243523589519e-07,1.000000000000000048e-04,1.275766877586354392e-05,-2.573234256188028980e-06
2.128618207324400324e-01,1.999999909825127542e-01,7.518597165655957482e-02,2.929425377288549826e-07,1.000000000000000048e-04,1.484307920186577405e-05,-2.635218787883867713e-06
2.322128953444800026e-01,1.999999900135496500e-01,7.518597129229739884e-02,1.033093494159259972e-07,1.000000000000000048e-04,1.696592910636754366e-05,-2.666733363669081728e-06
2.515639699565200282e-01,1.999999887491579753e-01,7.518597081697478424e-02,-6.861290149934580641e-08,1.000000000000000048e-04,1.910222466582194112e-05,-2.669340342405115552e-06
2.709150445685599706e-01,1.999999871761541093e-01,7.518597022563563992e-02,-2.384506356146409829e-07,1.000000000000000048e-04,2.122975074711489892e-05,-2.644860450205484448e-06
2.902661191806000240e-01,1.999999860321063083e-01,7.518596979555389193e-02,-4.161181827152109759e-07,1.000000000000000048e-04,2.332665804625345371e-05,-2.592571048057740089e-06
3.096171937926400219e-01,1.999999853732423727e-01,7.518596954786725683e-02,-5.944183880834049791e-07,1.000000000000000048e-04,2.537028774826530176e-05,-2.511641307045314396e-06
3.289682684046800198e-01,1.999999845704340806e-01,7.518596924606762988e-02,-7.438094371721230345e-07,1.000000000000000048e-04,2.733814997902529766e-05,-2.403950792398393891e-06
3.483193430167200177e-01,1.999999837026507910e-01,7.518596891984197228e-02,-8.622349509042860435e-07,1.000000000000000048e-04,2.921113605961984450e-05,-2.275299121396439941e-06
3.676704176287600156e-01,1.999999829092433956e-01,7.518596862157642113e-02,-9.659223042236369768e-07,1.000000000000000048e-04,3.097391027225522629e-05,-2.128818189881113816e-06
3.870214922408000136e-01,1.999999821612075124e-01,7.518596834036739285e-02,-1.056763654352479911e-06,1.000000000000000048e-04,3.261317423527938997e-05,-1.966868811375855846e-06
4.063725668528400115e-01,1.999999814673608656e-01,7.518596807952970806e-02,-1.139457480337090080e-06,1.000000000000000048e-04,3.411727372064566255e-05,-1.791138003995672399e-06
4.257236414648800649e-01,1.999999810896097019e-01,7.518596793752176100e-02,-1.218700442323330041e-06,1.000000000000000048e-04,3.547552400766981734e-05,-1.602317622819548072e-06
4.450747160769200073e-01,1.999999813690931383e-01,7.518596804258793898e-02,-1.273812732438820036e-06,1.000000000000000048e-04,3.667805020594639846e-05,-1.402494639101948304e-06
4.644257906889600052e-01,1.999999812575060931e-01,7.518596800063903629e-02,-1.295561606836640056e-06,1.000000000000000048e-04,3.771789851066717318e-05,-1.196544830689366754e-06
4.837768653010000031e-01,1.999999804600182396e-01,7.518596770083951775e-02,-1.304349478220110050e-06,1.000000000000000048e-04,3.859204624642311268e-05,-9.885923900793677028e-07
5.031279399130400565e-01,1.999999806846902706e-01,7.518596778530044211e-02,-1.319922904768300099e-06,1.000000000000000048e-04,3.929916271097254820e-05,-7.787708904573631993e-07
5.224790145250800544e-01,1.999999812346908712e-01,7.518596799206210546e-02,-1.325021265651739944e-06,1.000000000000000048e-04,3.983743963110827647e-05,-5.667799474791593550e-07
5.418300891371199413e-01,1.999999810428647051e-01,7.518596791994891504e-02,-1.311991743758190104e-06,1.000000000000000048e-04,4.020630959992492834e-05,-3.557549248576975294e-07
5.611811637491600502e-01,1.999999815915103618e-01,7.518596812620120806e-02,-1.299914319105420022e-06,1.000000000000000048e-04,4.040722560589652128e-05,-1.468569618792425069e-07
5.805322383612000481e-01,1.999999820956042396e-01,7.518596831570516226e-02,-1.280795634179909929e-06,1.000000000000000048e-04,4.044185137933140902e-05,5.976660394724194532e-08
5.998833129732400460e-01,1.999999820313577148e-01,7.518596829155296812e-02,-1.251889158556520007e-06,1.000000000000000048e-04,4.031260446924049985e-05,2.625791207113792412e-07
6.192343875852800439e-01,1.999999830955229430e-01,7.518596869160447393e-02,-1.205193627619220030e-06,1.000000000000000048e-04,4.002333984268242358e-05,4.593077892466638042e-07
