time_fs,alpha,Q_ELF,Jz,Ac_ext_z,Ac_xc_z,Exc_z
1.935107461204000137e-02,2.000000000795432442e-01,7.518597507640510658e-02,1.936013580192490123e-13,-0.000000000000000000e+00,1.048998742551002654e-14,-2.859771612665256528e-14
3.870214922408000274e-02,2.000000001710472985e-01,7.518597511080421514e-02,-7.291603442598419557e-14,-0.000000000000000000e+00,4.147048723661141920e-14,-4.131070828785639337e-14
5.805322383612000064e-02,2.000000001195107180e-01,7.518597509143007396e-02,-2.468295187903770003e-13,-0.000000000000000000e+00,6.458639074557749485e-14,-1.159326361184231395e-14
7.740429844816000549e-02,2.000000000227221963e-01,7.518597505504437395e-02,-1.273434844263160028e-13,-0.000000000000000000e+00,5.998984369166849752e-14,1.947066051848508004e-14
9.675537306020000339e-02,2.000000000017066459e-01,7.518597504714399915e-02,-1.415111587822170060e-13,-0.000000000000000000e+00,3.748953185164342492e-14,3.707011646171027687e-14
1.161064476722400013e-01,2.000000000213726092e-01,7.518597505453702978e-02,-3.238223009568689843e-13,-0.000000000000000000e+00,-5.334599272657740706e-15,7.508978573928475176e-14
1.354575222842799853e-01,2.000000000268025158e-01,7.518597505657828584e-02,-3.342007017705150030e-13,-0.000000000000000000e+00,-8.769374700460841545e-14,1.310160116405700483e-13
1.548085968963200110e-01,1.999999999884796154e-01,7.518597504217157390e-02,-2.780778507007770079e-13,-0.000000000000000000e+00,-2.122865534417786470e-13,1.789094723291610466e-13
1.741596715083600089e-01,1.999999998986666805e-01,7.518597500840820680e-02,-3.546555510849870018e-13,-0.000000000000000000e+00,-3.742562275404986557e-13,2.282782299007172641e-13
1.935107461204000068e-01,1.999999998627540188e-01,7.518597499490756175e-02,-3.830322661252330123e-13,-0.000000000000000000e+00,-5.808420348304712119e-13,2.890365275719821647e-13
2.128618207324400324e-01,1.999999999434867171e-01,7.518597502525739551e-02,-2.975541985195630210e-13,-0.000000000000000000e+00,-8.348448038931105575e-13,3.435208543993823227e-13
2.322128953444800026e-01,1.999999999954106544e-01,7.518597504477715632e-02,-2.868622464376350023e-13,-0.000000000000000000e+00,-1.127733832970554730e-12,3.883609713367729309e-13
2.515639699565200282e-01,1.999999999407610363e-01,7.518597502423272905e-02,-3.273970600798430206e-13,-0.000000000000000000e+00,-1.457931332115844632e-12,4.382707105720564784e-13
2.709150445685599706e-01,1.999999999143548535e-01,7.518597501430585028e-02,-2.477117662226370041e-13,-0.000000000000000000e+00,-1.828686069417280207e-12,4.863519416243524733e-13
2.902661191806000240e-01,1.999999999741988166e-01,7.518597503680299332e-02,-1.376847653700270030e-13,-0.000000000000000000e+00,-2.231053501486928511e-12,5.165173092083565958e-13
3.096171937926400219e-01,2.000000000340654005e-01,7.518597505930862956e-02,-1.296281373297770031e-13,-0.000000000000000000e+00,-2.652490807762275184e-12,5.370205245191210631e-13
3.289682684046800198e-01,2.000000000527702715e-01,7.518597506634035199e-02,-1.076340793194270050e-13,-0.000000000000000000e+00,-3.090272608283747137e-12,5.569217677934847964e-13
3.483193430167200177e-01,2.000000000618535334e-01,7.518597506975502331e-02,-1.756127233087110070e-14,0.000000000000000000e+00,-3.540760778334902629e-12,5.667698887310835080e-13
3.676704176287600156e-01,2.000000000723408389e-01,7.518597507369750854e-02,3.271420537210929927e-14,0.000000000000000000e+00,-3.993872003486798693e-12,5.646104857245705455e-13
3.870214922408000136e-01,2.000000000803398570e-01,7.518597507670457536e-02,6.019141408773429965e-14,0.000000000000000000e+00,-4.443111579436841849e-12,5.577436295292366092e-13
4.063725668528400115e-01,2.000000001104369485e-01,7.518597508801896923e-02,1.184333352919219971e-13,0.000000000000000000e+00,-4.884279883346837822e-12,5.435578982500686752e-13
4.257236414648800649e-01,2.000000001424921958e-01,7.518597510006949647e-02,1.309652075733950042e-13,0.000000000000000000e+00,-5.310834688399818803e-12,5.224901928626077059e-13
4.450747160769200073e-01,2.000000001157841711e-01,7.518597509002915291e-02,1.110462643344179994e-13,0.000000000000000000e+00,-5.721011201953435849e-12,5.035232662476145921e-13
4.644257906889600052e-01,2.000000000646676990e-01,7.518597507081294096e-02,1.571220437627490114e-13,0.000000000000000000e+00,-6.116261109192462853e-12,4.833212737982828036e-13
4.837768653010000031e-01,2.000000000607862760e-01,7.518597506935380259e-02,2.099802657176070012e-13,0.000000000000000000e+00,-6.491439547465875443e-12,4.531936804249914587e-13
5.031279399130400565e-01,2.000000000765755903e-01,7.518597507528947121e-02,1.662294674979900078e-13,0.000000000000000000e+00,-6.840832752592103751e-12,4.215697121461852319e-13
5.224790145250800544e-01,2.000000000570374692e-01,7.518597506794451324e-02,1.063360764940900063e-13,0.000000000000000000e+00,-7.168853249910942325e-12,4.001246171667617229e-13
5.418300891371199413e-01,2.000000000065570993e-01,7.518597504896742945e-02,1.345533164375640047e-13,0.000000000000000000e+00,-7.482065965252297618e-12,3.820014391500421648e-13
5.611811637491600502e-01,1.999999999630516501e-01,7.518597503261244264e-02,1.801851873564070056e-13,0.000000000000000000e+00,-7.778034271341819361e-12,3.565869851971680255e-13
5.805322383612000481e-01,1.999999999552844743e-01,7.518597502969252833e-02,1.433037154090779958e-13,0.000000000000000000e+00,-8.052193467423485456e-12,3.299037744424849079e-13
5.998833129732400460e-01,1.999999999696394914e-01,7.518597503508900326e-02,7.590463169109510408e-14,0.000000000000000000e+00,-8.308447849719768914e-12,3.126751178147984508e-13
