time_fs,alpha,Q_ELF,Jz,Ac_ext_z,Ac_xc_z,Exc_z
1.935107461204000137e-02,2.000000000769459330e-01,7.518597507542870706e-02,-1.737308172251829959e-06,-6.346671315581459962e-05,-1.598362627747958535e-08,8.587731199553669438e-08
3.870214922408000274e-02,1.999999998395918799e-01,7.518597498620022135e-02,-8.876559435737639680e-06,-3.352418576534929953e-04,-3.119526658015649763e-07,8.473500368649907329e-07
5.805322383612000064e-02,1.999999991079550454e-01,7.518597471115608111e-02,-2.350355894477079987e-05,-9.164348857664659674e-04,-1.823768381551961379e-06,3.329617987160123938e-06
7.740429844816000549e-02,2.000000077290738365e-01,7.518597795209218393e-02,-4.661043491159519762e-05,-1.872075950428040043e-03,-6.434239040164711811e-06,8.825156538595853276e-06
9.675537306020000339e-02,2.000000613046978293e-01,7.518599809276982349e-02,-7.796786783424750576e-05,-3.223225261595720047e-03,-1.709869499761381919e-05,1.868957031615622598e-05
1.161064476722400013e-01,2.000002316582168149e-01,7.518606213374696978e-02,-1.160120212108869963e-04,-4.942303284815949792e-03,-3.781435914276831418e-05,3.413562231392390089e-05
1.354575222842799853e-01,2.000006076929060350e-01,7.518620349642077261e-02,-1.578785269620510030e-04,-6.952013779390680409e-03,-7.342056652917881940e-05,5.602040399430831887e-05
1.548085968963200110e-01,2.000012108639791508e-01,7.518643024644702799e-02,-1.995783446240130077e-04,-9.128000496294379554e-03,-1.292340458966549828e-04,8.464966668150157147e-05
1.741596715083600089e-01,2.000018141980205444e-01,7.518665705773794339e-02,-2.362910676305840128e-04,-1.130513683490219981e-02,-2.105414420152248664e-04,1.196197104029402306e-04
1.935107461204000068e-01,2.000016869602378178e-01,7.518660922525415014e-02,-2.627719142572889841e-04,-1.328711070698019962e-02,-3.219865479435815841e-04,1.597153346740729852e-04
2.128618207324400324e-01,1.999994228964666054e-01,7.518575809604312321e-02,-2.738001958947109760e-04,-1.485874886439200043e-02,-4.669032564349391589e-04,2.028773357532409811e-04
2.322128953444800026e-01,1.999930346850385954e-01,7.518335657651803450e-02,-2.645935268593399884e-04,-1.580033949829880158e-02,-6.466505206495214587e-04,2.462392573493729707e-04
2.515639699565200282e-01,1.999803608505273667e-01,7.517859210349150945e-02,-2.312101869374819910e-04,-1.590307058099239834e-02,-8.600028712375424071e-04,2.862295518179155669e-04
2.709150445685599706e-01,1.999596428990972063e-01,7.517080360659529614e-02,-1.709430756722380134e-04,-1.498461315009140017e-02,-1.102648999288726112e-03,3.187395923346647282e-04
2.902661191806000240e-01,1.999302528045021343e-01,7.515975499200108767e-02,-8.263054259084769951e-05,-1.290384932168689956e-02,-1.366849239184467647e-03,3.393505977399829802e-04
3.096171937926400219e-01,1.998935575514866891e-01,7.514596015011337782e-02,3.313513786920249828e-05,-9.573776539767309829e-03,-1.641292848206469396e-03,3.436030382763591838e-04
3.289682684046800198e-01,1.998534974535084996e-01,7.513090036247863091e-02,1.738884079218759918e-04,-4.971711033826049786e-03,-1.911182274252120781e-03,3.272911229382414631e-04
3.483193430167200177e-01,1.998163183438293744e-01,7.511692362441570181e-02,3.352475247670990213e-04,8.539403210103289682e-04,-2.158557752588344692e-03,2.867656932226510724e-04
3.676704176287600156e-01,1.997895066629402916e-01,7.510684431256429983e-02,5.109873873675909849e-04,7.780877864593130008e-03,-2.362862335483350597e-03,2.192291948651542161e-04
3.870214922408000136e-01,1.997799941609796348e-01,7.510326827888907930e-02,6.932643912335139779e-04,1.561438684201319968e-02,-2.501732303433517463e-03,1.230013271762581692e-04
4.063725668528400115e-01,1.997916135036314489e-01,7.510763633692245367e-02,8.729587165653599585e-04,2.409315499311870043e-02,-2.551982226399578287e-03,-2.260258464087069354e-06
4.257236414648800649e-01,1.998223318078355959e-01,7.511918426518927883e-02,1.040124495099280059e-03,3.289923275018150073e-02,-2.490744785866274864e-03,-1.553925825039899952e-04
4.450747160769200073e-01,1.998618624412440148e-01,7.513404501127436685e-02,1.184520047536249997e-03,4.167168930329590015e-02,-2.296720634919583847e-03,-3.336187315807230200e-04
4.644257906889600052e-01,1.998903067288353708e-01,7.514473806875966722e-02,1.296160582586639931e-03,5.002329111611659995e-02,-1.951490326656949055e-03,-5.325020295135561143e-04
4.837768653010000031e-01,1.998787558328777303e-01,7.514039574188348392e-02,1.365874802952770023e-03,5.755933917742669936e-02,-1.440836545662413501e-03,-7.459719007850841143e-04
5.031279399130400565e-01,1.997924733884841875e-01,7.510795959332786098e-02,1.385871652020419969e-03,6.389765890103130119e-02,-7.560120262641979814e-04,-9.664456840955304613e-04
5.224790145250800544e-01,1.995964478961020916e-01,7.503426775443426677e-02,1.350278130281010050e-03,6.868865092855699905e-02,1.051365896138938731e-04,-1.185079510955443010e-03
5.418300891371199413e-01,1.992622042373696223e-01,7.490861557750971844e-02,1.255561173393470028e-03,7.163428765521440145e-02,1.137302381817063618e-03,-1.392165569589705158e-03
5.611811637491600502e-01,1.987745890888059919e-01,7.472530647554870287e-02,1.100816850869149998e-03,7.250498097613969350e-02,2.327225067603428538e-03,-1.577661593608293113e-03
5.805322383612000481e-01,1.981366012851658864e-01,7.448546780012640922e-02,8.879501072334999466e-04,7.115334968505980517e-02,3.653664675542458821e-03,-1.731807879358027505e-03
5.998833129732400460e-01,1.973713223049217702e-01,7.419777656856517412e-02,6.217007322575449513e-04,6.752407464379189816e-02,5.087884385151519168e-03,-1.845755168662221047e-03
6.192343875852800439e-01,1.965206664416757620e-01,7.387798961602930203e-02,3.095125936901099999e-04,6.165923743866109918e-02,6.594614670678474073e-03,-1.912113682931901575e-03
6.385854621973200418e-01,1.956408734763009916e-01,7.354724915632551707e-02,-3.873938430418769855e-05,5.369878207610689902e-02,8.133402253431353673e-03,-1.925348088905698245e-03
6.579365368093600397e-01,1.947954785351383999e-01,7.322943994157207759e-02,-4.111412725801580023e-04,4.387600551683049771e-02,9.660198071300828138e-03,-1.881979405906144837e-03
6.772876114214000376e-01,1.940469538049660603e-01,7.294804713314993749e-02,-7.942213648103760380e-04,3.250825632509950214e-02,1.112902752486867597e-02,-1.780605775758418215e-03
6.966386860334400355e-01,1.934483413120922923e-01,7.272301081339127560e-02,-1.173519601001979992e-03,1.998328576691730044e-02,1.249361542657660695e-02,-1.621796304428799011e-03
7.159897606454800334e-01,1.930357848397034337e-01,7.256791851019976647e-02,-1.534235781818250009e-03,6.741937119826869711e-03,1.370889269096110981e-02,-1.407930058326906184e-03
7.353408352575200313e-01,1.928220297664978711e-01,7.248756159219928163e-02,-1.861926999328709920e-03,-6.741937119826930426e-03,1.473237071137511144e-02,-1.143046994461446343e-03
7.546919098695600292e-01,1.927922449140673511e-01,7.247636457634125395e-02,-2.143206758741300188e-03,-1.998328576691730044e-02,1.552541534406485547e-02,-8.327617194696856559e-04
7.740429844816000271e-01,1.929029163964177673e-01,7.251796929289304472e-02,-2.366387640440710191e-03,-3.250825632509950214e-02,1.605448608612386127e-02,-4.842588500053287073e-04
7.933940590936399140e-01,1.930849829146806806e-01,7.258641353638764504e-02,-2.522042689078580167e-03,-4.387600551683040057e-02,1.629240059972565657e-02,-1.063378903604387735e-04
8.127451337056800229e-01,1.932521140585681252e-01,7.264924312645672233e-02,-2.603467667188470204e-03,-5.369878207610689902e-02,1.621963815315794616e-02,2.905774410393762233e-04
8.320962083177200208e-01,1.933137674211492241e-01,7.267242046735949978e-02,-2.607021412263159973e-03,-6.165923743866109918e-02,1.582560852933625334e-02,6.945871776111106968e-04
8.514472829297601297e-01,1.931899434550668759e-01,7.262587133923936733e-02,-2.532309145791699842e-03,-6.752407464379189816e-02,1.510971090054020333e-02,1.092727563699108159e-03
8.707983575418000166e-01,1.928237231110790650e-01,7.248819817101641305e-02,-2.382183431277560062e-03,-7.115334968505980517e-02,1.408194418657902902e-02,1.471672520644601474e-03
8.901494321538400145e-01,1.921888959551060760e-01,7.224954767747727991e-02,-2.162568252759269807e-03,-7.250498097613969350e-02,1.276285676596289158e-02,1.818635873920165270e-03
9.095005067658800124e-01,1.912911685907973947e-01,7.191206514141991468e-02,-1.882132225045360071e-03,-7.163428765521430430e-02,1.118273406034210257e-02,2.122305467320087253e-03
9.288515813779200103e-01,1.901636555389756011e-01,7.148819930052550953e-02,-1.551846842895770063e-03,-6.868865092855699905e-02,9.380076300442073342e-03,2.373624632061896271e-03
9.482026559899601192e-01,1.888592490878935881e-01,7.099783394611776377e-02,-1.184451948079139928e-03,-6.389765890103130119e-02,7.399553054021447591e-03,2.566294394270223888e-03
9.675537306020000061e-01,1.874424865589676137e-01,7.046523058538452233e-02,-7.938357136007180180e-04,-5.755933917742669936e-02,5.289686129629875451e-03,2.696958777290234949e-03
9.869048052140400040e-01,1.859822062000398013e-01,6.991626757224830846e-02,-3.943616917101219884e-04,-5.002329111611659995e-02,3.100507780664335002e-03,2.765104993704805073e-03
1.006255879826080113e+00,1.845448082704122250e-01,6.937590674790393430e-02,-2.084383633944600109e-07,-4.167168930329590015e-02,8.813961364278622822e-04,2.772744379554696863e-03
1.025606954438120111e+00,1.831884533225249800e-01,6.886601240157368131e-02,3.752446372136849758e-04,-3.289923275018150073e-02,-1.320767484926016911e-03,2.723956343212544789e-03
1.044958029050160109e+00,1.819586608078550549e-01,6.840369665497195162e-02,7.199771125628519515e-04,-2.409315499311870043e-02,-3.463045555498077323e-03,2.624382620626178244e-03
1.064309103662200107e+00,1.808857629968742275e-01,6.800036231475269088e-02,1.023807325791839962e-03,-1.561438684201319968e-02,-5.507488277465894498e-03,2.480745546989357800e-03
1.083660178274239883e+00,1.799845239240908390e-01,6.766155962256656387e-02,1.278762921594709962e-03,-7.780877864593090110e-03,-7.421818022617573778e-03,2.300439938385473535e-03
1.103011252886280102e+00,1.792560729449267642e-01,6.738771313685640307e-02,1.479339824804009901e-03,-8.539403210103109704e-04,-9.179824604373384295e-03,2.091214992148212205e-03
1.122362327498320100e+00,1.786916672951857354e-01,6.717553619136874821e-02,1.622618587729480035e-03,4.971711033826049786e-03,-1.076154211403691080e-02,1.860931746447923568e-03
1.141713402110360098e+00,1.782767832579441880e-01,6.701956888701256221e-02,1.708228545619219947e-03,9.573776539767339319e-03,-1.215325641695366721e-02,1.617361297886305786e-03
1.161064476722400096e+00,1.779943814048071393e-01,6.691340559359731932e-02,1.738169913461040010e-03,1.290384932168689956e-02,-1.334735965778791576e-02,1.367991823581632405e-03
1.180415551334439872e+00,1.778265882803352071e-01,6.685032714524971609e-02,1.716529777539100004e-03,1.498461315009140017e-02,-1.434205042971677460e-02,1.119833024537772621e-03
1.199766625946480092e+00,1.777553354749372150e-01,6.682354108700648554e-02,1.649141475564319930e-03,1.590307058099239834e-02,-1.514087690578096515e-02,8.792256362210302580e-04
1.219117700558520090e+00,1.777625384930434926e-01,6.682624891670448097e-02,1.543187553045749939e-03,1.580033949829880158e-02,-1.575213364535553093e-02,6.516721924161106641e-04
1.238468775170560088e+00,1.778304693957059590e-01,6.685178617246680111e-02,1.406760938849930045e-03,1.485874886439189982e-02,-1.618813598730236419e-02,4.417041462508822930e-04
1.257819849782600086e+00,1.779426645818030506e-01,6.689396369477797200e-02,1.248410487583140023e-03,1.328711070698019962e-02,-1.646440524983398823e-02,2.527925556455477493e-04
1.277170924394640084e+00,1.780856198219723519e-01,6.694770484037865232e-02,1.076666238160810078e-03,1.130513683490219981e-02,-1.659880133564598306e-02,8.730639733346354237e-05
1.296521999006680081e+00,1.782504667296248013e-01,6.700967571780490351e-02,8.995657829767680132e-04,9.128000496294379554e-03,-1.661064251909850562e-02,-5.347727461404647165e-05
1.315873073618720079e+00,1.784327851438916035e-01,6.707821465653281134e-02,7.242441064688319875e-04,6.952013779390680409e-03,-1.651985460292328817e-02,-1.693075243116518719e-04
1.335224148230760077e+00,1.786299909069853087e-01,6.715235019444776299e-02,5.566402689018260007e-04,4.942303284815940251e-03,-1.634619392663384102e-02,-2.608375826271226369e-04
1.354575222842800075e+00,1.788373838579626340e-01,6.723031540063277578e-02,4.013145335238670129e-04,3.223225261595720047e-03,-1.610858785539252824e-02,-3.294539373877415980e-04
1.373926297454840073e+00,1.790441944420713694e-01,6.730806167771352655e-02,2.613582673985640121e-04,1.872075950428040043e-03,-1.582462718082908865e-02,-3.770726447599286046e-04
1.393277372066880071e+00,1.792314054693817382e-01,6.737843989585247384e-02,1.383981572324560034e-04,9.164348857664659674e-04,-1.551022810172067966e-02,-4.059266975440286446e-04
1.412628446678920069e+00,1.793721144082728591e-01,6.743133658969391320e-02,3.267567140576699671e-05,3.352418576534929953e-04,-1.517946108501374777e-02,-4.183668501374750506e-04
1.431979521290960067e+00,1.794347264086576521e-01,6.745487431118661614e-02,-5.679613615235259923e-05,6.346671315581380003e-05,-1.484452883078439533e-02,-4.166904912068346983e-04
1.451330595903000065e+00,1.793880269213309342e-01,6.743731857874246671e-02,-1.319961510925220130e-04,0.000000000000000000e+00,-1.451586645640291079e-02,-4.030062421399240209e-04
