time_fs,alpha,Q_ELF,Jz,Ac_ext_z,Ac_xc_z,Exc_z
1.935107461204000137e-02,2.000000000769459885e-01,7.518597507542872094e-02,-1.737308172252220018e-06,-6.346671315581459962e-05,-1.598362628150007025e-08,8.587731200744636143e-08
3.870214922408000274e-02,1.999999998395918799e-01,7.518597498620022135e-02,-8.876559435734949504e-06,-3.352418576534929953e-04,-3.119526657139967515e-07,8.473500365448923234e-07
5.805322383612000064e-02,1.999999991079549899e-01,7.518597471115605335e-02,-2.350355894465949974e-05,-9.164348857664659674e-04,-1.823768377488347496e-06,3.329617981117237580e-06
7.740429844816000549e-02,2.000000077290738365e-01,7.518597795209218393e-02,-4.661043491322919871e-05,-1.872075950428040043e-03,-6.434239098741604774e-06,8.825156678011038944e-06
9.675537306020000339e-02,2.000000613046978848e-01,7.518599809276985124e-02,-7.796786786651539530e-05,-3.223225261595720047e-03,-1.709869617591982407e-05,1.868957232417769792e-05
1.161064476722400013e-01,2.000002316582172868e-01,7.518606213374715019e-02,-1.160120214420309984e-04,-4.942303284815949792e-03,-3.781436769751713567e-05,3.413563440043095514e-05
1.354575222842799853e-01,2.000006076929085053e-01,7.518620349642170242e-02,-1.578785279686560129e-04,-6.952013779390680409e-03,-7.342060433373401426e-05,5.602044889862490531e-05
1.548085968963200110e-01,2.000012108639963038e-01,7.518643024645348116e-02,-1.995783476332669865e-04,-9.128000496294379554e-03,-1.292341610556395988e-04,8.464977830903482460e-05
1.741596715083600089e-01,2.000018141980885178e-01,7.518665705776349240e-02,-2.362910737534030072e-04,-1.130513683490219981e-02,-2.105416836568732347e-04,1.196198758267656931e-04
1.935107461204000068e-01,2.000016869603974401e-01,7.518660922531415769e-02,-2.627719204544710203e-04,-1.328711070698019962e-02,-3.219868182860079805e-04,1.597153181098388700e-04
2.128618207324400324e-01,1.999994228965328857e-01,7.518575809606803384e-02,-2.738001854054420174e-04,-1.485874886439200043e-02,-4.669029431589338157e-04,2.028763907579816364e-04
2.322128953444800026e-01,1.999930346838371120e-01,7.518335657606635414e-02,-2.645934551156070179e-04,-1.580033949829880158e-02,-6.466479242590615151e-04,2.462358976569774260e-04
2.515639699565200282e-01,1.999803608445029912e-01,7.517859210122676550e-02,-2.312099698635359873e-04,-1.590307058099239834e-02,-8.599946632575085868e-04,2.862216626081196002e-04
2.709150445685599706e-01,1.999596428813614490e-01,7.517080359992789340e-02,-1.709425904833410061e-04,-1.498461315009140017e-02,-1.102630094334292174e-03,3.187250399399655688e-04
2.902661191806000240e-01,1.999302527671388829e-01,7.515975497795512883e-02,-8.262965100132669616e-05,-1.290384932168689956e-02,-1.366813493108477153e-03,3.393283452940887464e-04
3.096171937926400219e-01,1.998935574944095406e-01,7.514596012865637498e-02,3.313653890781650003e-05,-9.573776539767309829e-03,-1.641234850548489374e-03,3.435745095903199476e-04
3.289682684046800198e-01,1.998534973998147557e-01,7.513090034229354119e-02,1.738903207794219904e-04,-4.971711033826049786e-03,-1.911099861617883899e-03,3.272608936298959464e-04
3.483193430167200177e-01,1.998163183539421184e-01,7.511692362821738300e-02,3.352498093312329740e-04,8.539403210103289682e-04,-2.158453882367188711e-03,2.867403197518705524e-04
3.676704176287600156e-01,1.997895068316635769e-01,7.510684437599242369e-02,5.109897845392309939e-04,7.780877864593130008e-03,-2.362744689314942321e-03,2.192140711613458238e-04
3.870214922408000136e-01,1.997799945831075230e-01,7.510326843757955673e-02,6.932666300361340489e-04,1.561438684201319968e-02,-2.501609709451077003e-03,1.229966478837795025e-04
