time_fs,alpha,Q_ELF,Jz,Ac_ext_z,Ac_xc_z,Exc_z
1.935107461204000137e-02,2.000000000795434385e-01,7.518597507640517597e-02,-5.493657833066700034e-09,-2.006993691769469871e-07,-5.053420747007170190e-11,2.715393979188493442e-10
3.870214922408000274e-02,2.000000001710431630e-01,7.518597511080266083e-02,-2.807021825555680098e-08,-1.060127837210990077e-06,-9.864396065234830085e-10,2.679514913055744292e-09
5.805322383612000064e-02,2.000000001195000598e-01,7.518597509142606328e-02,-7.432502468503379976e-08,-2.898021566258260050e-06,-5.767197625981660073e-09,1.052916501596188839e-08
7.740429844816000549e-02,2.000000000227991070e-01,7.518597505507329526e-02,-1.473952576217900086e-07,-5.920023956177059682e-06,-2.034679049542641702e-08,2.790761379742535085e-08
9.675537306020000339e-02,2.000000000023189894e-01,7.518597504737420389e-02,-2.465561576366709795e-07,-1.019273323843449944e-05,-5.407078130543208815e-08,5.910163415662765275e-08
1.161064476722400013e-01,2.000000000236888398e-01,7.518597505540776382e-02,-3.668624430710930224e-07,-1.562893526735030118e-05,-1.195794803550248427e-07,1.079462977328136228e-07
1.354575222842799853e-01,2.000000000328809036e-01,7.518597505886333299e-02,-4.992557626108789613e-07,-2.198419786774989979e-05,-2.321761262295500127e-07,1.771517843619919784e-07
1.548085968963200110e-01,2.000000000005987821e-01,7.518597504672752674e-02,-6.311214867990770056e-07,-2.886527205143760003e-05,-4.086733693261544415e-07,2.676845704121867525e-07
1.741596715083600089e-01,1.999999999168517728e-01,7.518597501524451610e-02,-7.472155314400159656e-07,-3.574998165815770153e-05,-6.657883408482889863e-07,3.782676901068723141e-07
1.935107461204000068e-01,1.999999998797497014e-01,7.518597500129674260e-02,-8.309504225790320486e-07,-4.201753335686750227e-05,-1.018205134413403364e-06,5.050589163251718020e-07
2.128618207324400324e-01,1.999999999380111804e-01,7.518597502319897263e-02,-8.658136555808770029e-07,-4.698748959191890236e-05,-1.476466755172255552e-06,6.415498621112082790e-07
2.322128953444800026e-01,1.999999999263316619e-01,7.518597501880830425e-02,-8.366777723654460285e-07,-4.996506061854630201e-05,-2.044875281053939600e-06,7.786842832892789112e-07
2.515639699565200282e-01,1.999999997452959477e-01,7.518597495075156345e-02,-7.310731473353350251e-07,-5.028992482635330198e-05,-2.719568946346657532e-06,9.051810955998726091e-07
2.709150445685599706e-01,1.999999995119993990e-01,7.518597486304841315e-02,-5.404358122258950470e-07,-4.738550741079940019e-05,-3.486939398710442957e-06,1.008061280561395305e-06
2.902661191806000240e-01,1.999999992779568914e-01,7.518597477506484827e-02,-2.610928296184260166e-07,-4.080555444014949895e-05,-4.322545924763077426e-06,1.073356129335047652e-06
3.096171937926400219e-01,1.999999989704398795e-01,7.518597465946001701e-02,1.050781521035869994e-07,-3.027493967515030139e-05,-5.190652251963429490e-06,1.086946547679686656e-06
3.289682684046800198e-01,1.999999985876869946e-01,7.518597451557176847e-02,5.502732565883789652e-07,-1.572193073508069893e-05,-6.044470827802365144e-06,1.035484720566536002e-06
3.483193430167200177e-01,1.999999982239714091e-01,7.518597437884022572e-02,1.060629237082420038e-06,2.700396400247979991e-06,-6.827163182595966557e-06,9.073561333138231607e-07
3.676704176287600156e-01,1.999999979655917581e-01,7.518597428170759045e-02,1.616457070190460039e-06,2.460529624770149931e-05,-7.473612064215478870e-06,6.936370291764570587e-07
3.870214922408000136e-01,1.999999978783258414e-01,7.518597424890172132e-02,2.192955687166020035e-06,4.937702668772560229e-05,-7.912933986371220994e-06,3.889747707455416317e-07
4.063725668528400115e-01,1.999999980255109389e-01,7.518597430423300254e-02,2.761290960592150106e-06,7.618924579771349374e-05,-8.071642370152417757e-06,-7.675895017093824663e-09
4.257236414648800649e-01,1.999999983681127469e-01,7.518597443302725558e-02,3.290006620440259912e-06,1.040365087625789997e-04,-7.877323382263290303e-06,-4.925164144085663230e-07
