energy_eV,Re_epsilon,Im_epsilon
1.000000000000000021e-02,-1.216908248805990667e+02,1.105711671480324298e+02
2.000000000000000042e-02,-1.228127355640748988e+02,4.986546916001318408e+01
2.999999999999999889e-02,-1.245731408740922888e+02,2.663955628659727992e+01
4.000000000000000083e-02,-1.268137860917389048e+02,1.216813378506426169e+01
5.000000000000000278e-02,-1.293246298547776689e+02,5.694265171046262175e-01
5.999999999999999778e-02,-1.318546467309244008e+02,-1.018500123296647075e+01
7.000000000000000666e-02,-1.341247413966017916e+02,-2.097660858917316418e+01
8.000000000000000167e-02,-1.358421163208547000e+02,-3.221350923368540009e+01
8.999999999999999667e-02,-1.367153645903453878e+02,-4.405501764658729513e+01
1.000000000000000056e-01,-1.364695279626211288e+02,-5.650385809172338725e+01
1.100000000000000006e-01,-1.348603687556938553e+02,-6.945229677284690695e+01
1.199999999999999956e-01,-1.316871518983532212e+02,-8.271071346247147460e+01
1.300000000000000044e-01,-1.268033173463982450e+02,-9.602926315221061770e+01
1.400000000000000133e-01,-1.201245381229629601e+02,-1.091168257853043144e+02
1.499999999999999944e-01,-1.116337988212115704e+02,-1.216588164963438459e+02
1.600000000000000033e-01,-1.013832856171473225e+02,-1.333342618380561362e+02
1.700000000000000122e-01,-8.949304299634268034e+01,-1.438320043485703650e+02
1.799999999999999933e-01,-7.614651553955965824e+01,-1.528656532756230035e+02
1.900000000000000022e-01,-6.158324651220335255e+01,-1.601868145321170402e+02
2.000000000000000111e-01,-4.608914066154363098e+01,-1.655961426595924877e+02
2.099999999999999922e-01,-2.998480970944193658e+01,-1.689518269684740801e+02
2.200000000000000011e-01,-1.361260023067076297e+01,-1.701752316636486171e+02
2.300000000000000100e-01,2.677048585705561479e+00,-1.692535402717697934e+02
2.399999999999999911e-01,1.853925694872883412e+01,-1.662393956980480993e+02
2.500000000000000000e-01,3.364772760835764132e+01,-1.612476682004873396e+02
2.600000000000000089e-01,4.770655541233287522e+01,-1.544496153609229339e+02
2.700000000000000178e-01,6.046032068489429179e+01,-1.460648130674298670e+02
2.800000000000000266e-01,7.170206869973578989e+01,-1.363513284765073763e+02
2.899999999999999800e-01,8.127889860170812142e+01,-1.255946704849628617e+02
2.999999999999999889e-01,8.909501525389549670e+01,-1.140960878228430744e+02
3.099999999999999978e-01,9.511222925312171128e+01,-1.021607887478181738e+02
3.200000000000000067e-01,9.934801658785458756e+01,-9.008663054270027715e+01
3.300000000000000155e-01,1.018713635492898675e+02,-7.815377430122279634e+01
3.400000000000000244e-01,1.027967189648499300e+02,-6.661572495168370267e+01
3.500000000000000333e-01,1.022764502746096582e+02,-5.569208333457002880e+01
3.599999999999999867e-01,1.004922495366643602e+02,-4.556323238475449955e+01
3.699999999999999956e-01,9.764595879853092697e+01,-3.636706939719801568e+01
3.800000000000000044e-01,9.395028163214982442e+01,-2.819778727485772052e+01
3.900000000000000133e-01,8.961982068534469192e+01,-2.110660546963010020e+01
4.000000000000000222e-01,8.486283282513122117e+01,-1.510426120960645946e+01
4.100000000000000311e-01,7.987402785367821423e+01,-1.016499774714396054e+01
4.199999999999999845e-01,7.482865863022090025e+01,-6.231731768469615851e+00
4.299999999999999933e-01,6.987806491977235623e+01,-3.222048489909660862e+00
4.400000000000000022e-01,6.514674569071695487e+01,-1.034660722732893223e+00
4.500000000000000111e-01,6.073094994737140695e+01,4.440235500807676039e-01
4.600000000000000200e-01,5.669869904211954292e+01,1.333553775847096334e+00
4.700000000000000289e-01,5.309108754018396326e+01,1.753595971580953483e+00
4.799999999999999822e-01,4.992465794987045768e+01,1.818830499287154678e+00
4.899999999999999911e-01,4.719460878089430622e+01,1.634758457002897680e+00
5.000000000000000000e-01,4.487857617253389719e+01,1.294520911613572078e+00
5.100000000000000089e-01,4.294072641526509670e+01,8.767699181777095507e-01
5.200000000000000178e-01,4.133590879869033330e+01,4.445692101311572442e-01
5.300000000000000266e-01,4.001364328081837130e+01,4.524878990578277277e-02
5.400000000000000355e-01,3.892175280674860716e+01,-2.889061330823832763e-01
5.500000000000000444e-01,3.800949263356413610e+01,-5.392836687559066089e-01
5.600000000000000533e-01,3.723007549985143783e+01,-6.990629843725446602e-01
5.700000000000000622e-01,3.654253872054411545e+01,-7.710006477891666599e-01
5.799999999999999600e-01,3.591294434758876974e+01,-7.650611197468969449e-01
5.899999999999999689e-01,3.531494388663360695e+01,-6.960530298864268106e-01
5.999999999999999778e-01,3.472977271315917136e+01,-5.814108341017494297e-01
6.099999999999999867e-01,3.414576492277781483e+01,-4.392335416505186996e-01
6.199999999999999956e-01,3.355749616711064931e+01,-2.866608231949395735e-01
6.300000000000000044e-01,3.296466999422503363e+01,-1.386343463214460558e-01
6.400000000000000133e-01,3.237086283877257387e+01,-7.060835535029542920e-03
6.500000000000000222e-01,3.178223509117018963e+01,9.963498550787708297e-02
6.600000000000000311e-01,3.120630199307836961e+01,1.766032490015983503e-01
6.700000000000000400e-01,3.065084007929983301e+01,2.223615816995630767e-01
6.800000000000000488e-01,3.012298424566339961e+01,2.383537480227163885e-01
6.900000000000000577e-01,2.962854898059405429e+01,2.283466093878045444e-01
7.000000000000000666e-01,2.917158643165393883e+01,1.977380163694529569e-01
7.099999999999999645e-01,2.875417513393107782e+01,1.528434819781795684e-01
