energy_eV,delta_Im_epsilon
1.000000000000000021e-02,1.687526965909288992e+04
2.000000000000000042e-02,5.707416691411417560e+03
2.999999999999999889e-02,8.954541849337642816e+02
4.000000000000000083e-02,-2.193722113987616467e+03
5.000000000000000278e-02,-4.452869722888602155e+03
5.999999999999999778e-02,-6.158261889347727447e+03
7.000000000000000666e-02,-7.416997664379794514e+03
8.000000000000000167e-02,-8.279369282474315696e+03
8.999999999999999667e-02,-8.776438596614018024e+03
1.000000000000000056e-01,-8.934849103113430829e+03
1.100000000000000006e-01,-8.783077857949812824e+03
1.199999999999999956e-01,-8.353892052637360393e+03
1.300000000000000044e-01,-7.684883338254812770e+03
1.400000000000000133e-01,-6.817929523339399566e+03
1.499999999999999944e-01,-5.798029610112772389e+03
1.600000000000000033e-01,-4.671783863318581098e+03
1.700000000000000122e-01,-3.485707869771976220e+03
1.799999999999999933e-01,-2.284524857708256604e+03
1.900000000000000022e-01,-1.109551660820236975e+03
2.000000000000000111e-01,2.728984313641481751e+00
2.099999999999999922e-01,1.021837742513963235e+03
2.200000000000000011e-01,1.924157636118894743e+03
2.300000000000000100e-01,2.693450637822965746e+03
2.399999999999999911e-01,3.321019368868178844e+03
2.500000000000000000e-01,3.805519866493051723e+03
2.600000000000000089e-01,4.152448274808026326e+03
2.700000000000000178e-01,4.373339014565396610e+03
2.800000000000000266e-01,4.484724015491784485e+03
2.899999999999999800e-01,4.506911603664574614e+03
2.999999999999999889e-01,4.462649434397352707e+03
3.099999999999999978e-01,4.375738412786875415e+03
3.200000000000000067e-01,4.269663959182261351e+03
3.300000000000000155e-01,4.166307491022826071e+03
3.400000000000000244e-01,4.084794942843642275e+03
3.500000000000000333e-01,4.040530944455699682e+03
3.599999999999999867e-01,4.044457383034770373e+03
3.699999999999999956e-01,4.102563971370525906e+03
3.800000000000000044e-01,4.215666618018312874e+03
3.900000000000000133e-01,4.379457318397731797e+03
4.000000000000000222e-01,4.584817406774778647e+03
4.100000000000000311e-01,4.818374742620815596e+03
4.199999999999999845e-01,5.063275128926098660e+03
4.299999999999999933e-01,5.300129312731854952e+03
4.400000000000000022e-01,5.508089595772663415e+03
4.500000000000000111e-01,5.666004637781051315e+03
4.600000000000000200e-01,5.753597670552566342e+03
4.700000000000000289e-01,5.752612206961755874e+03
4.799999999999999822e-01,5.647870513304406813e+03
4.899999999999999911e-01,5.428193631718695542e+03
5.000000000000000000e-01,5.087137526919152151e+03
5.100000000000000089e-01,4.623507833042172024e+03
5.200000000000000178e-01,4.041625440962494395e+03
5.300000000000000266e-01,3.351326444961420293e+03
5.400000000000000355e-01,2.567692316967544684e+03
5.500000000000000444e-01,1.710519070148966193e+03
5.600000000000000533e-01,8.035470193455556682e+02
5.700000000000000622e-01,-1.265150886465205247e+02
5.799999999999999600e-01,-1.051126957678800636e+03
5.899999999999999689e-01,-1.941161111118330382e+03
5.999999999999999778e-01,-2.768194793291298993e+03
6.099999999999999867e-01,-3.505785947857100837e+03
6.199999999999999956e-01,-4.130669543659484589e+03
6.300000000000000044e-01,-4.623813607407975724e+03
6.400000000000000133e-01,-4.971280720133603609e+03
6.500000000000000222e-01,-5.164850190279089475e+03
6.600000000000000311e-01,-5.202368187994871732e+03
6.700000000000000400e-01,-5.087807196157470571e+03
6.800000000000000488e-01,-4.831031444286365513e+03
6.900000000000000577e-01,-4.447280682019190863e+03
7.000000000000000666e-01,-3.956399810453432110e+03
7.099999999999999645e-01,-3.381855622321798364e+03
7.199999999999999734e-01,-2.749593372993124376e+03
7.299999999999999822e-01,-2.086794405033339899e+03
7.399999999999999911e-01,-1.420601044613038766e+03
7.500000000000000000e-01,-7.768761563842642772e+02
7.600000000000000089e-01,-1.790620007779105833e+02
7.700000000000000178e-01,3.528034522036712133e+02
7.800000000000000266e-01,8.028644320319033341e+02
7.900000000000000355e-01,1.159983736829701684e+03
8.000000000000000444e-01,1.418016288157054305e+03
8.100000000000000533e-01,1.575814098214524392e+03
8.200000000000000622e-01,1.636972412601339784e+03
8.300000000000000711e-01,1.609341390048868334e+03
8.399999999999999689e-01,1.504340438899581613e+03
8.499999999999999778e-01,1.336122478743479633e+03
8.599999999999999867e-01,1.120642348372577089e+03
8.699999999999999956e-01,8.746869736596020175e+02
8.800000000000000044e-01,6.149246206165159947e+02
8.900000000000000133e-01,3.570267177047324481e+02
9.000000000000000222e-01,1.149087005974102880e+02
9.100000000000000311e-01,-9.987331959188981045e+01
9.200000000000000400e-01,-2.785448077279117456e+02
9.300000000000000488e-01,-4.153413195846900976e+02
9.400000000000000577e-01,-5.075434018735926998e+02
9.500000000000000666e-01,-5.553300931361574158e+02
9.599999999999999645e-01,-5.614738711217422633e+02
9.699999999999999734e-01,-5.309084098848812800e+02
9.799999999999999822e-01,-4.702064421347475900e+02
9.899999999999999911e-01,-3.870080989063962420e+02
1.000000000000000000e+00,-2.894402635236294259e+02
1.010000000000000009e+00,-1.855648843386684632e+02
1.020000000000000018e+00,-8.288918524515017339e+01
1.030000000000000027e+00,1.203620459801266662e+01
1.040000000000000036e+00,9.391339668248508588e+01
1.050000000000000044e+00,1.588786997939616867e+02
1.060000000000000053e+00,2.045692040486463554e+02
1.070000000000000062e+00,2.300823934515216251e+02
1.080000000000000071e+00,2.358435275072031345e+02
1.090000000000000080e+00,2.234007065999174415e+02
1.100000000000000089e+00,1.951707780899730551e+02
1.110000000000000098e+00,1.541604494131405261e+02
1.120000000000000107e+00,1.036862144769973781e+02
1.130000000000000115e+00,4.711418405483302507e+01
1.140000000000000124e+00,-1.236302206185247776e+01
1.150000000000000133e+00,-7.190008529802031489e+01
