energy_eV,Re_epsilon,Im_epsilon
1.000000000000000021e-02,-8.315620687715381791e+03,6.857030435067592407e+03
2.000000000000000042e-02,-7.991891381356247621e+03,1.433928820781489549e+03
2.999999999999999889e-02,-7.462825226001732517e+03,-1.180690434124728199e+03
4.000000000000000083e-02,-6.743793746434819695e+03,-3.006608484021311142e+03
5.000000000000000278e-02,-5.855622580446553002e+03,-4.424660874429866453e+03
5.999999999999999778e-02,-4.823921383698349018e+03,-5.546152016778515645e+03
7.000000000000000666e-02,-3.678256754432752587e+03,-6.409141530507846255e+03
8.000000000000000167e-02,-2.451193321102937261e+03,-7.027945832630844052e+03
8.999999999999999667e-02,-1.177232853585451267e+03,-7.409873479615595897e+03
1.000000000000000056e-01,1.083146401118312667e+02,-7.561985034157254631e+03
1.100000000000000006e-01,1.370490562716361865e+03,-7.494086434355970596e+03
1.199999999999999956e-01,2.575838530064264432e+03,-7.220024631941257212e+03
1.300000000000000044e-01,3.693505585585651261e+03,-6.758085612698990190e+03
1.400000000000000133e-01,4.696253285675620646e+03,-6.130846931175768077e+03
1.499999999999999944e-01,5.561339809290418088e+03,-5.364662482267650375e+03
1.600000000000000033e-01,6.271237530945904837e+03,-4.488885203078400082e+03
1.700000000000000122e-01,6.814155405786857955e+03,-3.534903094074265937e+03
1.799999999999999933e-01,7.184342002287126888e+03,-2.535051547127909089e+03
1.900000000000000022e-01,7.382152947243977906e+03,-1.521460221332797573e+03
2.000000000000000111e-01,7.413875689781523761e+03,-5.248908162703370408e+02
2.099999999999999922e-01,7.291314523802008807e+03,4.263793723973062697e+02
2.200000000000000011e-01,7.031149324335171514e+03,1.307575572056585088e+03
2.300000000000000100e-01,6.654091974947846211e+03,2.098296709317482055e+03
2.399999999999999911e-01,6.183874464544483089e+03,2.783196876020564559e+03
2.500000000000000000e-01,5.646111564902073951e+03,3.352442177595124122e+03
2.600000000000000089e-01,5.067088327774765276e+03,3.801917804531194179e+03
2.700000000000000178e-01,4.472527869353426468e+03,4.133171510776581272e+03
2.800000000000000266e-01,3.886397625981433066e+03,4.353092180266929972e+03
2.899999999999999800e-01,3.329812165038414150e+03,4.473335255043214602e+03
2.999999999999999889e-01,2.820087554325741166e+03,4.509519839184164084e+03
3.099999999999999978e-01,2.369996227393367917e+03,4.480234586325334931e+03
3.200000000000000067e-01,1.987262398250979004e+03,4.405900321409823846e+03
3.300000000000000155e-01,1.674326717887020550e+03,4.307546072712041678e+03
