energy_eV,Re_epsilon,Im_epsilon
1.000000000000000021e-02,-1.120191463647054297e+04,1.207080024154733110e+04
2.000000000000000042e-02,-1.074095475368161533e+04,3.354905138498053020e+03
2.999999999999999889e-02,-9.990733185333705478e+03,-6.188561870187443219e+02
4.000000000000000083e-02,-8.977496782449046805e+03,-3.274596478363268488e+03
5.000000000000000278e-02,-7.736391846572239047e+03,-5.263631674709444269e+03
5.999999999999999778e-02,-6.309959845476543705e+03,-6.781999066321108330e+03
7.000000000000000666e-02,-4.746333198043937045e+03,-7.902566653786416282e+03
8.000000000000000167e-02,-3.097218662575118742e+03,-8.658595237552557592e+03
8.999999999999999667e-02,-1.415765099887281849e+03,-9.071710952663899661e+03
1.000000000000000056e-01,2.455835246631296229e+02,-9.162876038337162754e+03
1.100000000000000006e-01,1.837150219160772849e+03,-8.956896971659130941e+03
1.199999999999999956e-01,3.313908728548963609e+03,-8.484012853081423600e+03
1.300000000000000044e-01,4.637106520090806043e+03,-7.779966951092626914e+03
1.400000000000000133e-01,5.775559393465110588e+03,-6.885209251696448518e+03
1.499999999999999944e-01,6.706568008096426638e+03,-5.843581515537595806e+03
1.600000000000000033e-01,7.416426483792442014e+03,-4.700709005472732315e+03
1.700000000000000122e-01,7.900513945064029940e+03,-3.502262393064755543e+03
1.799999999999999933e-01,8.162980319327270081e+03,-2.292219717894675341e+03
1.900000000000000022e-01,8.216056802971319485e+03,-1.111235234451686665e+03
2.000000000000000111e-01,8.079038238297833232e+03,4.797463002381529229e+00
2.099999999999999922e-01,7.776998430926226320e+03,1.025919369198900313e+03
2.200000000000000011e-01,7.339309619497209496e+03,1.928967326351846395e+03
2.300000000000000100e-01,6.798043550942838010e+03,2.698092064118639428e+03
2.399999999999999911e-01,6.186333808625759048e+03,3.324921438437106190e+03
2.500000000000000000e-01,5.536777300420822030e+03,3.808375412008381772e+03
2.600000000000000089e-01,4.879947449380656508e+03,4.154155936335135266e+03
2.700000000000000178e-01,4.243083115077850380e+03,4.373949391387115611e+03
2.800000000000000266e-01,3.649006207314206677e+03,4.484391113625986691e+03
2.899999999999999800e-01,3.115308014663756239e+03,4.505850440343649097e+03
2.999999999999999889e-01,2.653830174437021469e+03,4.461100420477790067e+03
3.099999999999999978e-01,2.270451670571424529e+03,4.373938849335485429e+03
3.200000000000000067e-01,1.965178934813583965e+03,4.267826682858985805e+03
3.300000000000000155e-01,1.732522649637757695e+03,4.164606408094809012e+03
3.400000000000000244e-01,1.562132725463424322e+03,4.083356923515348626e+03
3.500000000000000333e-01,1.439652565855407602e+03,4.039433323286498762e+03
3.599999999999999867e-01,1.347745452804438855e+03,4.043730138766979053e+03
3.699999999999999956e-01,1.267239886164719792e+03,4.102195547316667216e+03
3.800000000000000044e-01,1.178337105641179051e+03,4.215612294767674030e+03
3.900000000000000133e-01,1.061822831284403946e+03,4.379649062509951364e+03
4.000000000000000222e-01,9.002264233005305414e+02,4.585174187304173756e+03
4.100000000000000311e-01,6.788740620641523265e+02,4.818812423792619484e+03
4.199999999999999845e-01,3.867880058233042746e+02,5.063715201860909474e+03
4.299999999999999933e-01,1.739126872755359798e+01,5.300505910109047363e+03
4.400000000000000022e-01,-4.310140965405723250e+02,5.508354428363780244e+03
4.500000000000000111e-01,-9.550168417633880154e+02,5.666129688556173278e+03
4.600000000000000200e-01,-1.546125243582682515e+03,5.753575669003748772e+03
4.700000000000000289e-01,-2.191053968070288192e+03,5.752455073184725734e+03
4.799999999999999822e-01,-2.872256772780233860e+03,5.647606099849224847e+03
4.899999999999999911e-01,-3.568681520628715589e+03,5.427861195054336349e+03
5.000000000000000000e-01,-4.256713573264079059e+03,5.086782425729564238e+03
5.100000000000000089e-01,-4.911264495389074909e+03,4.623175976102097593e+03
5.200000000000000178e-01,-5.506955575983346534e+03,4.041357994027953282e+03
5.300000000000000266e-01,-6.019340357738628882e+03,3.351155257140494541e+03
5.400000000000000355e-01,-6.426107498064076935e+03,2.567636447500990926e+03
5.500000000000000444e-01,-6.708205110109563066e+03,1.710582693047007751e+03
5.600000000000000533e-01,-6.850830383695934870e+03,8.037188636192611284e+02
5.700000000000000622e-01,-6.844233764198200333e+03,-1.262607329915118441e+02
5.799999999999999600e-01,-6.684295125863522117e+03,-1.050827764624345264e+03
5.899999999999999689e-01,-6.372839915736249168e+03,-1.940862989342095943e+03
5.999999999999999778e-01,-5.917675717528493806e+03,-2.767947218974191856e+03
6.099999999999999867e-01,-5.332343509238282422e+03,-3.505636754817009205e+03
6.199999999999999956e-01,-4.635592372421532673e+03,-4.130659617187126059e+03
6.300000000000000044e-01,-3.850600788298757834e+03,-4.623971948372580300e+03
6.400000000000000133e-01,-3.003981127710242617e+03,-4.971620333757999106e+03
6.500000000000000222e-01,-2.124615725707532874e+03,-5.165365209967908413e+03
6.600000000000000311e-01,-1.242382311082456908e+03,-5.203032571137332525e+03
6.700000000000000400e-01,-3.868329357014780499e+02,-5.088575230085257317e+03
6.800000000000000488e-01,4.141065229937075287e+02,-4.831840182268288117e+03
6.900000000000000577e-01,1.135349976677035102e+03,-4.448054298294150612e+03
7.000000000000000666e-01,1.755716031737417325e+03,-3.957055727705562276e+03
7.099999999999999645e-01,2.258790361540935010e+03,-3.382312133012978393e+03
7.199999999999999734e-01,2.633542818179282676e+03,-2.749778355915967495e+03
7.299999999999999822e-01,2.874670123622579467e+03,-2.086654638185505974e+03
7.399999999999999911e-01,2.982650226915326130e+03,-1.420111541934539446e+03
7.500000000000000000e-01,2.963510433083439693e+03,-7.760489145869539698e+02
7.600000000000000089e-01,2.828327234359612703e+03,-1.779535372364375121e+02
7.700000000000000178e-01,2.592490442925657590e+03,3.540863569524567538e+02
7.800000000000000266e-01,2.274776842635110825e+03,8.041613036314258807e+02
7.900000000000000355e-01,1.896288379812177254e+03,1.161079699976797428e+03
8.000000000000000444e-01,1.479316315780271225e+03,1.418644360017833606e+03
8.100000000000000533e-01,1.046195402728789759e+03,1.575660601615998758e+03
8.200000000000000622e-01,6.182109021305057013e+02,1.635685455796608039e+03
8.300000000000000711e-01,2.146162769046165977e+02,1.606542182393098756e+03
8.399999999999999689e-01,-1.481889660327093168e+02,1.499637039565166560e+03
8.499999999999999778e-01,-4.572829321371860374e+02,1.329125418969097609e+03
8.599999999999999867e-01,-7.036212724802954881e+02,1.110981436427186509e+03
8.699999999999999956e-01,-8.822024155114944506e+02,8.620284942617842034e+02
8.800000000000000044e-01,-9.920015337141819600e+02,5.989880837832973839e+02
8.900000000000000133e-01,-1.035690333019663285e+03,3.376003004910471645e+02
9.000000000000000222e-01,-1.019171781059215732e+03,9.186256093821597801e+01
9.100000000000000311e-01,-9.509685678278334535e+02,-1.265765954637016506e+02
9.200000000000000400e-01,-8.415108720727472473e+02,-3.088432375877391109e+02
9.300000000000000488e-01,-7.023725560445267320e+02,-4.490704885402998343e+02
9.400000000000000577e-01,-5.455051296113026638e+02,-5.444376177235512841e+02
9.500000000000000666e-01,-3.825158441926676005e+02,-5.950277865853524872e+02
9.599999999999999645e-01,-2.240304456912242870e+02,-6.035270791635718979e+02
9.699999999999999734e-01,-7.917296599818986635e+01,-5.747959719719215173e+02
9.799999999999999822e-01,4.481486315947130805e+01,-5.153503478473405721e+02
9.899999999999999911e-01,1.428026739903641840e+02,-4.327922637049691161e+02
1.000000000000000000e+00,2.118478894229326670e+02,-3.352308852203161678e+02
1.010000000000000009e+00,2.511285297199973741e+02,-2.307314543074761559e+02
1.020000000000000018e+00,2.617502220456652822e+02,-1.268251995858311574e+02
1.030000000000000027e+00,2.464521766131283584e+02,-3.010623378872216449e+01
1.040000000000000036e+00,2.092415917330353921e+02,5.406668446139494932e+01
1.050000000000000044e+00,1.549882160075279387e+02,1.217544420941941326e+02
1.060000000000000053e+00,8.901062863933805147e+01,1.705075773844992000e+02
1.070000000000000062e+00,1.668337902814131368e+01,1.993297170849595545e+02
1.080000000000000071e+00,-5.691020667537655697e+01,2.085489836927825422e+02
1.090000000000000080e+00,-1.272605288764736429e+02,1.996170801423350838e+02
1.100000000000000089e+00,-1.906371957442191274e+02,1.748590077952814852e+02
1.110000000000000098e+00,-2.442121693160588904e+02,1.371976006931781171e+02
1.120000000000000107e+00,-2.861020437693780991e+02,8.987632686123238557e+01
1.130000000000000115e+00,-3.153369549127821756e+02,3.620132778136595419e+01
1.140000000000000124e+00,-3.317684873546064637e+02,-2.068022418454470213e+01
1.150000000000000133e+00,-3.359323547455696257e+02,-7.795324799480893319e+01
1.159999999999999920e+00,-3.288834232435971217e+02,-1.332525410060288777e+02
1.169999999999999929e+00,-3.120208159576885123e+02,-1.847238302843838653e+02
1.179999999999999938e+00,-2.869194988313299746e+02,-2.310316762254934986e+02
1.189999999999999947e+00,-2.551821452664791536e+02,-2.713219957532265880e+02
1.199999999999999956e+00,-2.183215364471782607e+02,-3.051500535688055038e+02
1.209999999999999964e+00,-1.776796618550931157e+02,-3.323865788275782052e+02
1.219999999999999973e+00,-1.343854450467822801e+02,-3.531151489375641859e+02
1.229999999999999982e+00,-8.934902261541117241e+01,-3.675332086303513961e+02
1.239999999999999991e+00,-4.328708991774288961e+01,-3.758672337562703092e+02
1.250000000000000000e+00,3.228739373425548731e+00,-3.783098625598572653e+02
1.260000000000000009e+00,4.971016084969071613e+01,-3.749836163663266575e+02
1.270000000000000018e+00,9.568705776892250014e+01,-3.659324559680356401e+02
1.280000000000000027e+00,1.406485084088418489e+02,-3.511392024123130682e+02
1.290000000000000036e+00,1.839978981093525476e+02,-3.305640881074396020e+02
1.300000000000000044e+00,2.250279011118056189e+02,-3.041976318665947474e+02
1.310000000000000053e+00,2.629184407911184849e+02,-2.721198061196835738e+02
1.320000000000000062e+00,2.967579234709780849e+02,-2.345571530681776551e+02
1.330000000000000071e+00,3.255853581025516519e+02,-1.919300851817525597e+02
1.340000000000000080e+00,3.484486806982034750e+02,-1.448839663047643000e+02
1.350000000000000089e+00,3.644729062867558582e+02,-9.429953527599072061e+01
1.360000000000000098e+00,3.729307716166686077e+02,-4.128057738214042871e+01
1.370000000000000107e+00,3.733083697564080126e+02,1.288078245276984291e+01
1.380000000000000115e+00,3.653588933057717441e+02,6.675845008207396347e+01
1.390000000000000124e+00,3.491389010388234624e+02,1.188616976595630916e+02
1.400000000000000133e+00,3.250233453856673123e+02,1.677133230283077978e+02
1.409999999999999920e+00,2.936977420135643797e+02,2.119297133261740385e+02
1.419999999999999929e+00,2.561281009809906095e+02,2.502958318389441388e+02
1.429999999999999938e+00,2.135113438741398966e+02,2.818287826156685014e+02
1.439999999999999947e+00,1.672106968859492611e+02,3.058248509070083969e+02
1.449999999999999956e+00,1.186818108561315199e+02,3.218866229024011432e+02
1.459999999999999964e+00,6.939600667049455751e+01,3.299287680987328599e+02
1.469999999999999973e+00,2.076703392659797842e+01,3.301631130122203786e+02
1.479999999999999982e+00,-2.591291427283330862e+01,3.230655367265566156e+02
1.489999999999999991e+00,-6.952338043569778847e+01,3.093287884041814095e+02
1.500000000000000000e+00,-1.091490666215785552e+02,2.898064146641092407e+02
1.510000000000000009e+00,-1.440953851393618947e+02,2.654534938507250672e+02
1.520000000000000018e+00,-1.738868818864423247e+02,2.372697693972046125e+02
1.530000000000000027e+00,-1.982509787473556742e+02,2.062500843515411475e+02
1.540000000000000036e+00,-2.170908428476905101e+02,1.733458322912143501e+02
1.550000000000000044e+00,-2.304520750576286616e+02,1.394395951020429720e+02
1.560000000000000053e+00,-2.384882319611781725e+02,1.053334097884699787e+02
1.570000000000000062e+00,-2.414299284728305111e+02,7.174938650722303635e+01
1.580000000000000071e+00,-2.395614485401696641e+02,3.933987818274446369e+01
1.590000000000000080e+00,-2.332075134363972779e+02,8.703246774733081281e+00
1.600000000000000089e+00,-2.227312642926826527e+02,-1.959938763918856708e+01
1.610000000000000098e+00,-2.085427853411403305e+02,-4.503111341645692534e+01
1.620000000000000107e+00,-1.911158209010892222e+02,-6.707410058525172758e+01
1.630000000000000115e+00,-1.710089134241933380e+02,-8.523551723377165956e+01
1.640000000000000124e+00,-1.488861804199877952e+02,-9.906612744332396403e+01
1.650000000000000133e+00,-1.255324834627208475e+02,-1.081914205214158073e+02
1.660000000000000142e+00,-1.018578978475602383e+02,-1.123532298806543110e+02
1.669999999999999929e+00,-7.888717972558511349e+01,-1.114580102890053155e+02
1.679999999999999938e+00,-5.773129661112900379e+01,-1.056264558007194552e+02
1.689999999999999947e+00,-3.953992334499930905e+01,-9.523813574030106111e+01
1.699999999999999956e+00,-2.543594302036039423e+01,-8.096443963383305231e+01
1.709999999999999964e+00,-1.643522745490212955e+01,-6.378343503944474691e+01
1.719999999999999973e+00,-1.335708166755636483e+01,-4.497127034377735555e+01
1.729999999999999982e+00,-1.673250001061731851e+01,-2.606644400388200111e+01
1.739999999999999991e+00,-2.671859904565956256e+01,-8.805492015797538485e+00
1.750000000000000000e+00,-4.302810676448751082e+01,4.968761611154140390e+00
1.760000000000000009e+00,-6.488250024242213954e+01,1.342251248107522521e+01
1.770000000000000018e+00,-9.099626454911080486e+01,1.486333364569034998e+01
1.780000000000000027e+00,-1.195978397477657609e+02,7.880801272325933304e+00
1.790000000000000036e+00,-1.484902486496746121e+02,-8.515083960724451728e+00
1.800000000000000044e+00,-1.751513400059336618e+02,-3.476906705652580598e+01
1.810000000000000053e+00,-1.968702763721347253e+02,-7.068079745386729940e+01
1.820000000000000062e+00,-2.109136126381434053e+02,-1.153404188246958739e+02
1.830000000000000071e+00,-2.147113310310579664e+02,-1.671081353348689618e+02
1.840000000000000080e+00,-2.060507896484093067e+02,-2.236435630111373030e+02
1.850000000000000089e+00,-1.832649369044042942e+02,-2.819872766472727221e+02
1.860000000000000098e+00,-1.454005197587927967e+02,-3.386931443804423338e+02
1.870000000000000107e+00,-9.235247216084260913e+01,-3.900060900758809339e+02
1.880000000000000115e+00,-2.495223060790321412e+01,-4.320761472278926476e+02
1.890000000000000124e+00,5.499968338647530430e+01,-4.611963746869175225e+02
1.900000000000000133e+00,1.447630036249060765e+02,-4.740496747697736737e+02
1.910000000000000142e+00,2.407510541681951111e+02,-4.679480185231316227e+02
1.919999999999999929e+00,3.386856746256968336e+02,-4.410472012478492161e+02
1.929999999999999938e+00,4.338068241533981109e+02,-3.925210992340012126e+02
1.939999999999999947e+00,5.211257534617063811e+02,-3.226814584892053404e+02
1.949999999999999956e+00,5.957070694686533443e+02,-2.330324067898345106e+02
1.959999999999999964e+00,6.529623737436157853e+02,-1.262529431452705495e+02
1.969999999999999973e+00,6.889366580217401861e+02,-6.105351524927344897e+00
1.979999999999999982e+00,7.005684314180012962e+02,1.227275179853361067e+02
