energy_eV,Re_epsilon,Im_epsilon
1.000000000000000021e-02,-1.119767301823547132e+04,1.202470210950705405e+04
2.000000000000000042e-02,-1.073559793295083909e+04,3.329878137515888739e+03
2.999999999999999889e-02,-9.983662981199047863e+03,-6.371572279429242371e+02
4.000000000000000083e-02,-8.968318792070886047e+03,-3.289173134820753148e+03
5.000000000000000278e-02,-7.724969912737578852e+03,-5.275133765393728936e+03
5.999999999999999778e-02,-6.296446317385569273e+03,-6.790297454298158300e+03
7.000000000000000666e-02,-4.731171851192736540e+03,-7.907270263607205379e+03
8.000000000000000167e-02,-3.081119531258344068e+03,-8.659300320587342867e+03
8.999999999999999667e-02,-1.399652942462043256e+03,-9.068151341360733568e+03
1.000000000000000056e-01,2.606430716306378486e+02,-9.155020069497535587e+03
1.100000000000000006e-01,1.850040735474435678e+03,-8.945004436329501914e+03
1.199999999999999956e-01,3.323561786550349098e+03,-8.468656054339458933e+03
1.300000000000000044e-01,4.642600702161114896e+03,-7.762017962342924875e+03
1.400000000000000133e-01,5.776210946548563697e+03,-6.865796116102397718e+03
1.499999999999999944e-01,6.702005094121117509e+03,-5.824017716875531733e+03
1.600000000000000033e-01,7.406640232640916111e+03,-4.682402308475429891e+03
1.700000000000000122e-01,7.885881349065415634e+03,-3.486610681879210006e+03
1.799999999999999933e-01,8.144256275937889768e+03,-2.280502502804251435e+03
1.900000000000000022e-01,8.194335129438726653e+03,-1.104509900009653393e+03
2.000000000000000111e-01,8.055684041364115728e+03,5.785899013000912028e+00
2.099999999999999922e-01,7.753556604544479342e+03,1.020807222848545393e+03
2.200000000000000011e-01,7.317396265988329105e+03,1.917813816921801617e+03
2.300000000000000100e-01,6.779228607645065495e+03,2.681389508651299366e+03
2.399999999999999911e-01,6.172023988210085918e+03,3.303572578440674533e+03
2.500000000000000000e-01,5.528108547966618971e+03,3.783639001396867570e+03
2.600000000000000089e-01,4.877695472132014402e+03,4.127564268203745996e+03
2.700000000000000178e-01,4.247599201306643408e+03,4.347203709758134210e+03
2.800000000000000266e-01,3.660183625208997455e+03,4.459242660861560580e+03
2.899999999999999800e-01,3.132581924704489211e+03,4.483976085063345636e+03
2.999999999999999889e-01,2.676211388428142072e+03,4.443982297619290875e+03
