energy_eV,Re_epsilon,Im_epsilon
1.000000000000000021e-02,4.340796768609362744e+02,-4.380820746330052316e+03
2.000000000000000042e-02,4.288053886847752096e+02,-2.145008241295714015e+03
2.999999999999999889e-02,4.201584987498401915e+02,-1.380685568566298798e+03
4.000000000000000083e-02,4.083487039283182298e+02,-9.854612434432316377e+02
5.000000000000000278e-02,3.936584857236887274e+02,-7.391842687346704679e+02
5.999999999999999778e-02,3.764326606200790479e+02,-5.686933312671233125e+02
7.000000000000000666e-02,3.570658244407905499e+02,-4.427729920156333492e+02
8.000000000000000167e-02,3.359882813980860305e+02,-3.458882631648415895e+02
8.999999999999999667e-02,3.136511084554721265e+02,-2.694279059687942777e+02
1.000000000000000056e-01,2.905110298836435163e+02,-2.082025388364752700e+02
1.100000000000000006e-01,2.670157647971754500e+02,-1.588554758374145308e+02
1.199999999999999956e-01,2.435904635351868706e+02,-1.190720680896370709e+02
1.300000000000000044e-01,2.206257705884047198e+02,-8.715873108305113703e+01
1.400000000000000133e-01,1.984679477753749950e+02,-6.180757283897167298e+01
1.499999999999999944e-01,1.774113683578728740e+02,-4.196039769663548213e+01
1.600000000000000033e-01,1.576935585495016312e+02,-2.672866469989452298e+01
1.700000000000000122e-01,1.394928256466767209e+02,-1.534613379772293840e+01
1.799999999999999933e-01,1.229283799402433885e+02,-7.141038246913185006e+00
1.900000000000000022e-01,1.080627381800720883e+02,-1.519980854018032623e+00
2.000000000000000111e-01,9.490609611769939136e+01,2.041251873489128510e+00
2.099999999999999922e-01,8.342228153635697652e+01,4.002998941304301006e+00
2.200000000000000011e-01,7.353585045074773063e+01,4.765104240977094285e+00
2.300000000000000100e-01,6.513986919084796057e+01,4.669599306040804976e+00
2.399999999999999911e-01,5.810393333848843156e+01,4.003436653279486279e+00
2.500000000000000000e-01,5.228200862943806726e+01,3.001679224325632944e+00
2.600000000000000089e-01,4.751973506612255704e+01,1.851307985960743752e+00
2.700000000000000178e-01,4.366090846600854292e+01,6.956382474473209454e-01
2.800000000000000266e-01,4.055293751956352821e+01,-3.607800394447830405e-01
2.899999999999999800e-01,3.805116277940972935e+01,-1.246972174424471502e+00
2.999999999999999889e-01,3.602201054432185856e+01,-1.920284372134059669e+00
3.099999999999999978e-01,3.434503353492337396e+01,-2.361290916231563397e+00
3.200000000000000067e-01,3.291395666471561299e+01,-2.569063950400901408e+00
3.300000000000000155e-01,3.163689636508916436e+01,-2.556964315831608658e+00
3.400000000000000244e-01,3.043595350297251656e+01,-2.349057524678508369e+00
3.500000000000000333e-01,2.924639211453553500e+01,-1.977199476894025532e+00
3.599999999999999867e-01,2.801560963884175592e+01,-1.478777882253491383e+00
3.699999999999999956e-01,2.670208111368315684e+01,-8.950428249261690450e-01
3.800000000000000044e-01,2.527442308937623139e+01,-2.699178037344228676e-01
3.900000000000000133e-01,2.371067688458751377e+01,3.508460058432975592e-01
4.000000000000000222e-01,2.199785982701383702e+01,9.203228356035177971e-01
4.100000000000000311e-01,2.013178201119196942e+01,1.391020992914199228e+00
4.199999999999999845e-01,1.811707936153439036e+01,1.715578345461943544e+00
4.299999999999999933e-01,1.596737534311444584e+01,1.847646328519590320e+00
4.400000000000000022e-01,1.370545660006562727e+01,1.743025259041572239e+00
4.500000000000000111e-01,1.136333414777922357e+01,1.361069225818822392e+00
4.600000000000000200e-01,8.982062345561896421e+00,6.663328692162514555e-01
4.700000000000000289e-01,6.611202366993838453e+00,-3.696108725298339892e-01
4.799999999999999822e-01,4.307843757977394716e+00,-1.766289656064232938e+00
4.899999999999999911e-01,2.135134426922460360e+00,-3.532521785682774862e+00
5.000000000000000000e-01,1.603127781716129352e-01,-5.664826743198308812e+00
5.100000000000000089e-01,-1.547718083333944339e+00,-8.146206864499108136e+00
