# energy_eV,HSE_Re,HSE_Im,TDCDFT_Re,TDCDFT_Im
1.000000000000000021e-02,7.357300056182393178e+01,-1.366256233204475166e+03,1.302108461732856028e+02,-2.463830170039739187e+03
2.000000000000000042e-02,7.337693988467255224e+01,-6.797480048330471618e+02,1.298189638460337392e+02,-1.225388791386099001e+03
2.999999999999999889e-02,7.305152021194422218e+01,-4.494308810558025016e+02,1.291687265039936960e+02,-8.097182760024427353e+02
4.000000000000000083e-02,7.259875042047067950e+01,-3.331852128237101169e+02,1.282644535129373935e+02,-5.997893684878411023e+02
5.000000000000000278e-02,7.202141648722631828e+01,-2.625943334597803300e+02,1.271121314724526741e+02,-4.722111614376686930e+02
5.999999999999999778e-02,7.132305541748648636e+01,-2.148584826199759164e+02,1.257193545531037273e+02,-3.858652309540290162e+02
7.000000000000000666e-02,7.050792225901038535e+01,-1.802110235481087273e+02,1.240952489891126618e+02,-3.231389563759612429e+02
8.000000000000000167e-02,6.958095059328005050e+01,-1.537724504552345479e+02,1.222503826077065128e+02,-2.752337460069917370e+02
8.999999999999999667e-02,6.854770697047341343e+01,-1.328350195855247478e+02,1.201966604497315672e+02,-2.372676948346584993e+02
1.000000000000000056e-01,6.741433982401483149e+01,-1.157765711506129236e+02,1.179472076966140008e+02,-2.063165805433285129e+02
1.100000000000000006e-01,6.618752346231109129e+01,-1.015667880994324577e+02,1.155162412642623906e+02,-1.805233549666417616e+02
1.199999999999999956e-01,6.487439778881628172e+01,-8.952030733116696126e+01,1.129189315532676545e+02,-1.586528507149879204e+02
1.300000000000000044e-01,6.348250444619502986e+01,-7.916376648535502625e+01,1.101712559551720716e+02,-1.398519803106265158e+02
1.400000000000000133e-01,6.201972011551207942e+01,-7.015982207709920715e+01,1.072898458052897439e+02,-1.235126898981401951e+02
1.499999999999999944e-01,6.049418772666285093e+01,-6.226155574669727599e+01,1.042918285424433691e+02,-1.091897233738207262e+02
1.600000000000000033e-01,5.891424635141854083e+01,-5.528397703146813313e+01,1.011946668841821264e+02,-9.654922494066197203e+01
1.700000000000000122e-01,5.728836055538510408e+01,-4.908558590960069523e+01,9.801599685196752887e+01,-8.533548900504810319e+01
1.799999999999999933e-01,5.562504997992033395e+01,-4.355608574372040209e+01,9.477346648414736308e+01,-7.534880668374829327e+01
1.900000000000000022e-01,5.393281990981846974e+01,-3.860798320082992774e+01,9.148457705525783012e+01,-6.643032670139150753e+01
2.000000000000000111e-01,5.222009355770449446e+01,-3.417071696185021779e+01,8.816652857855297043e+01,-5.845148105273501216e+01
2.099999999999999922e-01,5.049514676206797503e+01,-3.018647428086424966e+01,8.483607130520140061e+01,-5.130645863612458157e+01
2.200000000000000011e-01,4.876604575332754621e+01,-2.660716007318154297e+01,8.150936484913198399e+01,-4.490676121341115845e+01
2.300000000000000100e-01,4.704058859198430298e+01,-2.339216921776511882e+01,7.820184646213820656e+01,-3.917721147248800406e+01
2.399999999999999911e-01,4.532625082564173624e+01,-2.050672899533059024e+01,7.492810986091005532e+01,-3.405299255487380350e+01
2.500000000000000000e-01,4.363013584836614456e+01,-1.792065296027476862e+01,7.170179586773856784e+01,-2.947743250347348720e+01
2.600000000000000089e-01,4.195893037754831312e+01,-1.560739616562183585e+01,6.853549597153343598e+01,-2.540033472838123529e+01
2.700000000000000178e-01,4.031886539116078438e+01,-1.354333406808061113e+01,6.544066974752024635e+01,-2.177671399289939558e+01
2.800000000000000266e-01,3.871568279319441075e+01,-1.170720942890536165e+01,6.242757689471483928e+01,-1.856583703809846142e+01
2.899999999999999800e-01,3.715460799822275106e+01,-1.007970669169108113e+01,5.950522446234075602e+01,-1.573049427887236007e+01
2.999999999999999889e-01,3.564032854861416411e+01,-8.643123937997446049e+00,5.668132964220288983e+01,-1.323644812589972908e+01
3.099999999999999978e-01,3.417697880099973418e+01,-7.381120065002590103e+00,5.396229830618956669e+01,-1.105201706676279727e+01
3.200000000000000067e-01,3.276813064329243730e+01,-6.278520260246801321e+00,5.135321926912951795e+01,-9.147764415036386154e+00
3.300000000000000155e-01,3.141679013087091121e+01,-5.321166809400494024e+00,4.885787405978045683e+01,-7.496267767785509406e+00
3.400000000000000244e-01,3.012539986145657878e+01,-4.495805198252122992e+00,4.647876178936309088e+01,-6.071950483557336575e+00
3.500000000000000333e-01,2.889584684361687295e+01,-3.789997657352172755e+00,4.421713852030865155e+01,-4.850960441788005895e+00
3.599999999999999867e-01,2.772947555451787238e+01,-3.192057953351636002e+00,4.207307036021546764e+01,-3.811084343122747242e+00
3.699999999999999956e-01,2.662710582922451863e+01,-2.691002499773875734e+00,4.004549933973803633e+01,-2.931688119704959572e+00
3.800000000000000044e-01,2.558905517709404975e+01,-2.276513844299748346e+00,3.813232098044282736e+01,-2.193675830038057217e+00
3.900000000000000133e-01,2.461516508109826873e+01,-1.938913362957421116e+00,3.633047232155389850e+01,-1.579460846726052248e+00
4.000000000000000222e-01,2.370483080359418082e+01,-1.669140606764650148e+00,3.463602905476798099e+01,-1.072944302384613469e+00
4.100000000000000311e-01,2.285703419736451281e+01,-1.458737241789993533e+00,3.304431031548891440e+01,-6.594967081685242372e-01
4.199999999999999845e-01,2.207037900377342154e+01,-1.299833927374032916e+00,3.154998959820967386e+01,-3.259394508056765449e-01
4.299999999999999933e-01,2.134312811060798154e+01,-1.185138810054453762e+00,3.014721020436520504e+01,-6.052354432724837974e-02
4.400000000000000022e-01,2.067324224046429748e+01,-1.107926587854932476e+00,2.882970359351162415e+01,1.470964114451589200e-01
4.500000000000000111e-01,2.005841954613910261e+01,-1.062027332390387491e+00,2.759090899356652571e+01,3.058946126630880946e-01
4.600000000000000200e-01,1.949613560204651463e+01,-1.041814453191543866e+00,2.642409263317260582e+01,4.235138803065492952e-01
4.700000000000000289e-01,1.898368329974655566e+01,-1.042191356125044210e+00,2.532246498880671481e+01,5.063136533303457254e-01
4.799999999999999822e-01,1.851821218070815434e+01,-1.058576490584499652e+00,2.427929449051902111e+01,5.594265168486219908e-01
4.899999999999999911e-01,1.809676676982688548e+01,-1.086886601904225369e+00,2.328801620231875091e+01,5.868233276623712191e-01
5.000000000000000000e-01,1.771632350830491021e+01,-1.123518109003524224e+00,2.234233408509179597e+01,5.913867253906524013e-01
5.100000000000000089e-01,1.737382592355779565e+01,-1.165326614788398274e+00,2.143631556013209760e+01,5.749925753604735457e-01
5.200000000000000178e-01,1.706621771608812566e+01,-1.209604630048701557e+00,2.056447721822313213e+01,5.385986775875141186e-01
5.300000000000000266e-01,1.679047348798482631e+01,-1.254057651898038195e+00,1.972186066081184563e+01,4.823398935424739187e-01
5.400000000000000355e-01,1.654362688408808424e+01,-1.296778786385643256e+00,1.890409761406240463e+01,4.056286882033454666e-01
5.500000000000000444e-01,1.632279596413079403e+01,-1.336222142781084754e+00,1.810746362116987029e+01,3.072599586007411787e-01
5.600000000000000533e-01,1.612520567157002205e+01,-1.371175255101677593e+00,1.732891979082043221e+01,1.855189212090278539e-01
5.700000000000000622e-01,1.594820731163485128e+01,-1.400730805559201597e+00,1.656614225756640479e+01,3.829075864837871296e-02
5.799999999999999600e-01,1.578929499665526670e+01,-1.424257935544425813e+00,1.581753919052870394e+01,-1.368293193202256564e-01
5.899999999999999689e-01,1.564611906037132272e+01,-1.441373433317030717e+00,1.508225536761092833e+01,-3.424269652960771348e-01
5.999999999999999778e-01,1.551649648408098336e+01,-1.451913084486729399e+00,1.436016451067806798e+01,-5.811618939603729883e-01
6.099999999999999867e-01,1.539841841566610903e+01,-1.455903462410791827e+00,1.365184975034044257e+01,-8.556647229127526399e-01
6.199999999999999956e-01,1.529005489730834633e+01,-1.453534421546041955e+00,1.295857275460358515e+01,-1.168438734213088415e+00
6.300000000000000044e-01,1.518975694871628335e+01,-1.445132538322154936e+00,1.228223221133439225e+01,-1.521767763948957741e+00
6.400000000000000133e-01,1.509605617965855551e+01,-1.431135721986818155e+00,1.162531249805738121e+01,-1.917631335639094603e+00
6.500000000000000222e-01,1.500766212834056113e+01,-1.412069192835631704e+00,1.099082350203135583e+01,-2.357628044464508132e+00
6.600000000000000311e-01,1.492345754056146667e+01,-1.388522997986331831e+00,1.038223266709340997e+01,-2.842908075309985794e+00
6.700000000000000400e-01,1.484249181860749012e+01,-1.361131206069914334e+00,9.803390439876700668e+00,-3.374115600683121663e+00
6.800000000000000488e-01,1.476397287851598072e+01,-1.330552892540730392e+00,9.258450365468117838e+00,-3.951341657177874556e+00
6.900000000000000577e-01,1.468725765979184672e+01,-1.297454997365323992e+00,8.751785140427157828e+00,-4.574087943789951538e+00
7.000000000000000666e-01,1.461184153304738409e+01,-1.262497107205350577e+00,8.287899968700479292e+00,-5.241241824673335437e+00
7.099999999999999645e-01,1.453734684860034321e+01,-1.226318185382356374e+00,7.871344583018072605e+00,-5.951062655480892971e+00
7.199999999999999734e-01,1.446351086308706080e+01,-1.189525245366843453e+00,7.506625290849209264e+00,-6.701179388891186584e+00
7.299999999999999822e-01,1.439017327195230678e+01,-1.152683937679752635e+00,7.198118380247588988e+00,-7.488599253874272499e+00
7.399999999999999911e-01,1.431726356362836050e+01,-1.116310996277279255e+00,6.949986177559370759e+00,-8.309727147202817576e+00
7.500000000000000000e-01,1.424478839669840724e+01,-1.080868468996599052e+00,6.766096986935038693e+00,-9.160395227061723489e+00
7.600000000000000089e-01,1.417281918475950953e+01,-1.046759637691527356e+00,6.649950062090884906e+00,-1.003590205958927228e+01
7.700000000000000178e-01,1.410148005547424432e+01,-1.014326517444477105e+00,6.604606665283245803e+00,-1.093106054184919351e+01
7.800000000000000266e-01,1.403093633084132463e+01,-9.838488108026388623e-01,6.632628158695868414e+00,-1.184025371092126555e+01
7.900000000000000355e-01,1.396138365543669302e+01,-9.555441823928657596e-01,6.736021951314548950e+00,-1.275749745010250713e+01
8.000000000000000444e-01,1.389303787867195261e+01,-9.295697115068956018e-01,6.916195991956868738e+00,-1.367650902095768650e+01
8.100000000000000533e-01,1.382612577636395201e+01,-9.060243752503496228e-01,7.173922358661180887e+00,-1.459078028519053305e+01
8.200000000000000622e-01,1.376087667645824908e+01,-8.849524125043676248e-01,7.509310348437927551e+00,-1.549365443376894369e+01
8.300000000000000711e-01,1.369751503392045677e+01,-8.663474191048446960e-01,7.921789321826219421e+00,-1.637840501286876815e+01
8.399999999999999689e-01,1.363625398088798235e+01,-8.501570271142815383e-01,8.410101406176620387e+00,-1.723831602712733613e+01
8.499999999999999778e-01,1.357728986040969588e+01,-8.362880256295717185e-01,8.972304012474396018e+00,-1.806676191024384437e+01
8.599999999999999867e-01,1.352079773569991694e+01,-8.246117869965250424e-01,9.605781975141304940e+00,-1.885728618064397821e+01
8.699999999999999956e-01,1.346692785196444930e+01,-8.149698703356372809e-01,1.030726898482600262e+01,-1.960367764497806675e+01
8.800000000000000044e-01,1.341580301464634672e+01,-8.071796836576410339e-01,1.107287785279678971e+01,-2.030004307359919125e+01
8.900000000000000133e-01,1.336751683647418787e+01,-8.010400962953655446e-01,1.189813902410110380e+01,-2.094087534858398669e+01
9.000000000000000222e-01,1.332213279602336975e+01,-7.963369046322024136e-01,1.277804664687186076e+01,-2.152111617479769734e+01
9.100000000000000311e-01,1.327968404263107871e+01,-7.928480659092562721e-01,1.370711140853742016e+01,-2.203621254625542392e+01
9.200000000000000400e-01,1.324017387641513466e+01,-7.903486269931657704e-01,1.467941926747566583e+01,-2.248216627172228854e+01
9.300000000000000488e-01,1.320357682778019814e+01,-7.886152871543719023e-01,1.568869514183352187e+01,-2.285557598312245986e+01
9.400000000000000577e-01,1.316984025807103720e+01,-7.874305459257544548e-01,1.672837056651624721e+01,-2.315367117579967626e+01
9.500000000000000666e-01,1.313888640184477019e+01,-7.865863987946739577e-01,1.779165429516911345e+01,-2.337433795884069099e+01
9.599999999999999645e-01,1.311061477145975118e+01,-7.858875546581179927e-01,1.887160480646384642e+01,-2.351613632437682710e+01
9.699999999999999734e-01,1.308490484617703942e+01,-7.851541594994179141e-01,1.996120367302628651e+01,-2.357830887487515170e+01
9.799999999999999822e-01,1.306161897059261712e+01,-7.842240205091631777e-01,2.105342876648347783e+01,-2.356078107483768491e+01
9.899999999999999911e-01,1.304060539080769665e+01,-7.829543337814913739e-01,2.214132630268924018e+01,-2.346415321605806881e+01
1.000000000000000000e+00,1.302170136114217591e+01,-7.812229267049536352e-01,2.321808077628460865e+01,-2.328968440177790811e+01
1.010000000000000009e+00,1.300473625924474952e+01,-7.789290331937880341e-01,2.427708189221829116e+01,-2.303926896303766014e+01
1.020000000000000018e+00,1.298953465299888776e+01,-7.759936259520391344e-01,2.531198767234470282e+01,-2.271540581871188635e+01
1.030000000000000027e+00,1.297591926852156696e+01,-7.723593350325014262e-01,2.631678299622160111e+01,-2.232116137784239740e+01
1.040000000000000036e+00,1.296371381466447836e+01,-7.679899860656824728e-01,2.728583292508852765e+01,-2.186012665785190023e+01
1.050000000000000044e+00,1.295274562563123943e+01,-7.628697947276761315e-01,2.821393025496169216e+01,-2.133636935419084679e+01
1.060000000000000053e+00,1.294284808950806109e+01,-7.570022563406612059e-01,2.909633684699973699e+01,-2.075438164534310204e+01
1.070000000000000062e+00,1.293386283657191882e+01,-7.504087710157174573e-01,2.992881838890495416e+01,-2.011902455155554748e+01
1.080000000000000071e+00,1.292564166710764795e+01,-7.431270455236730355e-01,3.070767234825881431e+01,-1.943546968607094172e+01
1.090000000000000080e+00,1.291804820406579779e+01,-7.352093131893230327e-01,3.142974898550662743e+01,-1.870913924419955876e+01
1.100000000000000089e+00,1.291095926117424675e+01,-7.267204126232894579e-01,3.209246539903294604e+01,-1.794564506865998510e+01
1.110000000000000098e+00,1.290426592203812817e+01,-7.177357651113001058e-01,3.269381267572845218e+01,-1.715072760988422473e+01
1.120000000000000107e+00,1.289787433029948360e+01,-7.083392890464731417e-01,3.323235631608739027e+01,-1.633019556824716645e+01
1.130000000000000115e+00,1.289170619506360538e+01,-6.986212879887941929e-01,3.370723019179383328e+01,-1.548986696246699957e+01
1.140000000000000124e+00,1.288569901952953067e+01,-6.886763468326437820e-01,3.411812437472022452e+01,-1.463551231591190138e+01
1.150000000000000133e+00,1.287980606408953754e+01,-6.786012682193645063e-01,3.446526724823807086e+01,-1.377280059155008729e+01
1.159999999999999920e+00,1.287399605809712000e+01,-6.684930788007414915e-01,3.474940237389009923e+01,-1.290724843821718082e+01
