# eV,ground_re,ground_im,pumped_re,pumped_im
1.000000000000000021e-02,1.269606310766029651e+02,-1.754129941587604435e+03,2.098364895611619886e+03,9.265817654111304364e+03
2.000000000000000042e-02,1.262935154287310127e+02,-8.685838246391687107e+02,2.063828259356458602e+03,4.939581245478143501e+03
2.999999999999999889e-02,1.251899677437630061e+02,-5.697295942384558884e+02,2.006901453871618060e+03,3.627491322628001853e+03
4.000000000000000083e-02,1.236623094122102344e+02,-4.176560635679210804e+02,1.928522020837386663e+03,3.061979475382443070e+03
5.000000000000000278e-02,1.217275011094637307e+02,-3.244128946917123812e+02,1.829975179989184880e+03,2.787526099848045305e+03
5.999999999999999778e-02,1.194068607565377675e+02,-2.607078115514654542e+02,1.712867281137490636e+03,2.650797094227976231e+03
7.000000000000000666e-02,1.167257110358106473e+02,-2.140057704068170494e+02,1.579092776808710823e+03,2.584984607481490002e+03
8.000000000000000167e-02,1.137129637312096406e+02,-1.780534234214242417e+02,1.430795504052108072e+03,2.555918395518829129e+03
8.999999999999999667e-02,1.104006494176950497e+02,-1.493870308591926630e+02,1.270325195346196324e+03,2.544121169193718288e+03
1.000000000000000056e-01,1.068234020791361303e+02,-1.259354580787865103e+02,1.100190245611790488e+03,2.537642144322795502e+03
1.100000000000000006e-01,1.030179090630704621e+02,-1.063850705663492704e+02,9.230078424042296774e+02,2.528805115176167419e+03
1.199999999999999956e-01,9.902233736756546989e+01,-8.986213327523422834e+01,7.414526174900087199e+02,2.512583039085825931e+03
1.300000000000000044e-01,9.487574758784508333e+01,-7.576179414251018329e+01,5.582049991085676766e+02,2.485719147530005557e+03
1.400000000000000133e-01,9.061750692341477986e+01,-6.365039969909841489e+01,3.759004350197494659e+02,2.446217585701007465e+03
1.499999999999999944e-01,8.628671246158624797e+01,-5.320695691325728660e+01,1.970806175287488600e+02,2.393027883832199223e+03
1.600000000000000033e-01,8.192163551851322723e+01,-4.418664599835281592e+01,2.414777447216380679e+01,2.325835724871628372e+03
1.700000000000000122e-01,7.755919714825594724e+01,-3.639733079065675270e+01,-1.406770031779858243e+02,2.244914037126520270e+03
1.799999999999999933e-01,7.323448404387953303e+01,-2.968403361511715488e+01,-2.953905429987127604e+02,2.151009282709928357e+03
1.900000000000000022e-01,6.898031297722326372e+01,-2.391845701927643120e+01,-4.382387643044972378e+02,2.045248826174835813e+03
2.000000000000000111e-01,6.482685068522332017e+01,-1.899179790085214137e+01,-5.677416771188838993e+02,1.929061353322089190e+03
2.099999999999999922e-01,6.080129474360776243e+01,-1.480976397866038852e+01,-6.827118046580580994e+02,1.804105800759300564e+03
2.200000000000000011e-01,5.692761950912149160e+01,-1.128909506223164172e+01,-7.822657972762949612e+02,1.672206318593954848e+03
