# eV,ground_re,ground_im,pumped_re,pumped_im
1.000000000000000021e-02,3.428352041808751665e+02,-4.143265303425692764e+03,4.146987542010297147e+03,-6.978751931786958266e+03
2.000000000000000042e-02,3.400842642760591161e+02,-2.042675992274369037e+03,4.075648642746643873e+03,-2.904847833244305548e+03
2.999999999999999889e-02,3.355494796963241697e+02,-1.330093197134975071e+03,3.958418721319265842e+03,-1.301652836344362186e+03
4.000000000000000083e-02,3.293047227238854475e+02,-9.650438091531976852e+02,3.797751694594738638e+03,-3.320957172173442018e+02
5.000000000000000278e-02,3.214508547704244847e+02,-7.395847038573707550e+02,3.596987778669497857e+03,3.667932982145666756e+02
5.999999999999999778e-02,3.121132617730762604e+02,-5.845128935184225156e+02,3.360261965491014053e+03,9.128259772714253586e+02
7.000000000000000666e-02,3.014388175732381683e+02,-4.702498802972057206e+02,3.092391544248808714e+03,1.354316368584633437e+03
8.000000000000000167e-02,2.895923678804336419e+02,-3.820607858381101778e+02,2.798746299648747481e+03,1.714061521641586296e+03
8.999999999999999667e-02,2.767528410809275101e+02,-3.117928254139124533e+02,2.485105546493819475e+03,2.004040818644518822e+03
1.000000000000000056e-01,2.631091020844889954e+02,-2.545700752602223531e+02,2.157506537069562910e+03,2.231312303427332608e+03
1.100000000000000006e-01,2.488556713007505437e+02,-2.072909873082358274e+02,1.822088992379319052e+03,2.400690604535237526e+03
1.199999999999999956e-01,2.341884325422918494e+02,-1.678774649483062547e+02,1.484940554363822457e+03,2.516068273682041763e+03
1.300000000000000044e-01,2.193004511680574637e+02,-1.348711780091336436e+02,1.151947834480399251e+03,2.581097492371335193e+03
1.400000000000000133e-01,2.043780172690509573e+02,-1.072038049929168153e+02,8.286574514586727673e+02,2.599540734147201420e+03
1.499999999999999944e-01,1.895970184691095710e+02,-8.406028367235961696e+01,5.201510208205542085e+02,2.575436045397026191e+03
1.600000000000000033e-01,1.751197334128333409e+02,-6.479456470307661675e+01,2.309374994489371886e+02,2.513151649866617845e+03
1.700000000000000122e-01,1.610921208018510242e+02,-4.887637511506861188e+01,-3.513437665017443834e+01,2.417371411144940339e+03
1.799999999999999933e-01,1.476416605723169937e+02,-3.585700114565825913e+01,-2.749415673523881765e+02,2.293036225163792551e+03
1.900000000000000022e-01,1.348757841973888389e+02,-2.534710001277331415e+01,-4.861289158551704759e+02,2.145257782303947806e+03
2.000000000000000111e-01,1.228809108990352996e+02,-1.700230112752338485e+01,-6.671276609071056782e+02,1.979216340551872918e+03
2.099999999999999922e-01,1.117220865177764750e+02,-1.051393179427026681e+01,-8.171506872052872268e+02,1.800051288328642158e+03
2.200000000000000011e-01,1.014432026439953063e+02,-5.603136933803875230e+00,-9.361656872935578804e+02,1.612751405246945524e+03
2.300000000000000100e-01,9.206775603196300040e+01,-2.017236379876875318e+00,-1.024848100141938403e+03,1.422050368229189871e+03
2.399999999999999911e-01,8.360009288840859654e+01,4.724719727663029278e-01,-1.084516291704396508e+03,1.232331948319098046e+03
2.500000000000000000e-01,7.602706983930977458e+01,2.072015071306600120e+00,-1.117051931788093270e+03,1.047548371510749803e+03
2.600000000000000089e-01,6.932005360001973315e+01,2.965542268106985180e+00,-1.124808885112068992e+03,8.711544130430615951e+02
2.700000000000000178e-01,6.343717484222521108e+01,3.315891010605204414e+00,-1.110514163458468374e+03,7.060589342071967849e+02
2.800000000000000266e-01,5.832574856727674018e+01,3.265110179996844497e+00,-1.077164576882738629e+03,5.545947501420506569e+02
2.899999999999999800e-01,5.392477342353444669e+01,2.935067583397606317e+00,-1.027922677159365094e+03,4.185069442065941985e+02
2.999999999999999889e-01,5.016742567966375077e+01,2.428219718788427350e+00,-9.660154133886559293e+02,2.989590328446571448e+02
