# energy_eV,Re_epsilon,Im_epsilon
1.000000000000000056e-01,2.012766256948409875e+02,-2.485477239848464421e+02
1.100000000000000006e-01,1.939524947465435787e+02,-2.101177249171097685e+02
1.199999999999999956e-01,1.862467303133086887e+02,-1.776123827911894182e+02
1.300000000000000044e-01,1.782322110445056182e+02,-1.498452941795106597e+02
1.399999999999999856e-01,1.699828989942461988e+02,-1.259670836135937435e+02
1.499999999999999667e-01,1.615728107815638168e+02,-1.053502751819774943e+02
1.599999999999999756e-01,1.530750078976521138e+02,-8.751747573998869711e+01
1.699999999999999845e-01,1.445606232992643641e+02,-7.209508505148103552e+01
1.799999999999999656e-01,1.360979406365684099e+02,-5.878264824514572240e+01
1.899999999999999467e-01,1.277515413586442889e+02,-4.733212293557571826e+01
1.999999999999999556e-01,1.195815335394122627e+02,-3.753361888739664209e+01
2.099999999999999645e-01,1.116428745964026206e+02,-2.920547347446187558e+01
2.199999999999999456e-01,1.039847981658537464e+02,-2.218729706506757893e+01
2.299999999999999267e-01,9.665035328714162688e+01,-1.633509138022095186e+01
2.399999999999999356e-01,8.967606177957641478e+01,-1.151783678997752070e+01
2.499999999999999445e-01,8.309169731145624382e+01,-7.615131979289754049e+00
2.599999999999998979e-01,7.692018721469865739e+01,-4.515592132103403600e+00
2.699999999999999067e-01,7.117763564046137503e+01,-2.115793869286377582e+00
2.799999999999999156e-01,6.587346423528390460e+01,-3.196112710443146931e-01
2.899999999999999245e-01,6.101066419680196873e+01,9.621735043445084345e-01
2.999999999999999334e-01,5.658615139513868542e+01,1.812073488261680465e+00
3.099999999999998868e-01,5.259121427021756290e+01,2.305982021046806718e+00
3.199999999999998956e-01,4.901204248217657522e+01,2.513192253767220219e+00
3.299999999999999045e-01,4.583032284236558951e+01,2.496391627710572436e+00
3.399999999999998579e-01,4.302388792037925924e+01,2.311662436586519931e+00
3.499999999999998668e-01,4.056740193516979787e+01,2.008511829028605256e+00
3.599999999999998757e-01,3.843306811424853464e+01,1.629948136276706983e+00
3.699999999999998845e-01,3.659134165415887452e+01,1.212614902031396547e+00
3.799999999999998934e-01,3.501163273826913525e+01,7.869892462734809913e-01
3.899999999999998468e-01,3.366298475538469859e+01,3.776470836260432118e-01
3.999999999999998557e-01,3.251471389610129847e+01,3.594160625721422482e-03
4.099999999999998646e-01,3.153699765538799937e+01,-3.213411708856599991e-01
4.199999999999998179e-01,3.070140140320373234e+01,-5.880600900041984547e-01
4.299999999999998268e-01,2.998133405588827927e+01,-7.916990896784440457e-01
4.399999999999998357e-01,2.935242593891602780e+01,-9.310997694658236234e-01
4.499999999999998446e-01,2.879282412039132666e+01,-1.008254167589557326e+00
4.599999999999998535e-01,2.828340275471742871e+01,-1.027737875726679073e+00
4.699999999999998068e-01,2.780788824546477755e+01,-9.961434538332605282e-01
4.799999999999998157e-01,2.735290125360239344e+01,-9.215265146652420469e-01
4.899999999999998246e-01,2.690791968150179159e+01,-8.128763043809568156e-01
4.999999999999997780e-01,2.646516869737042654e+01,-6.796217003363800302e-01
5.099999999999997868e-01,2.601944557700044669e+01,-5.311823211354274044e-01
5.199999999999997957e-01,2.556788858457583302e+01,-3.765729454506762108e-01
5.299999999999998046e-01,2.510970025448945364e+01,-2.240677194692393681e-01
5.399999999999998135e-01,2.464583624367076453e+01,-8.092875728039332361e-02
5.499999999999998224e-01,2.417867138095645529e+01,4.679823332408686309e-02
5.599999999999998312e-01,2.371165463943095375e+01,1.544206711199503645e-01
5.699999999999997291e-01,2.324896450330140141e+01,2.386695113261050050e-01
5.799999999999997380e-01,2.279517560750237948e+01,2.977065668408334642e-01
5.899999999999997469e-01,2.235494662104304808e+01,3.310736889666909821e-01
5.999999999999997558e-01,2.193273815891435774e+01,3.395902779677805183e-01
6.099999999999997646e-01,2.153256808547789447e+01,3.252068668468643953e-01
6.199999999999997735e-01,2.115780996505046119e+01,2.908235092920180009e-01
6.299999999999997824e-01,2.081103867869852309e+01,2.400823783412087409e-01
6.399999999999996803e-01,2.049392541945961099e+01,1.771443301003472193e-01
6.499999999999996891e-01,2.020718246231180970e+01,1.064592020939907624e-01
6.599999999999996980e-01,1.995055634076612705e+01,3.253930499276642269e-02
6.699999999999997069e-01,1.972286640703966043e+01,-4.025505305211283386e-02
6.799999999999997158e-01,1.952208426101680416e+01,-1.079100707520975061e-01
6.899999999999997247e-01,1.934544825201814433e+01,-1.669261925480997888e-01
6.999999999999997335e-01,1.918960622631729152e+01,-2.144536315391766534e-01
7.099999999999997424e-01,1.905077894274852568e+01,-2.483917175685691758e-01
7.199999999999997513e-01,1.892493612881402143e+01,-2.674496951842170178e-01
7.299999999999996492e-01,1.880797700976574660e+01,-2.711682135351743406e-01
7.399999999999996581e-01,1.869590731142629636e+01,-2.599023425196914650e-01
7.499999999999996669e-01,1.858500520124789901e+01,-2.347684594864464513e-01
7.599999999999996758e-01,1.847196936803687706e+01,-1.975587249946793300e-01
7.699999999999996847e-01,1.835404341604804301e+01,-1.506280566288378253e-01
7.799999999999996936e-01,1.822911192259234525e+01,-9.675947599168173430e-02
7.899999999999997025e-01,1.809576483190447149e+01,-3.901441385139721441e-02
7.999999999999996003e-01,1.795332827878194948e+01,1.942501006358630933e-02
8.099999999999996092e-01,1.780186139739354800e+01,7.541457437660673002e-02
8.199999999999996181e-01,1.764212011667972746e+01,1.260004006840255431e-01
8.299999999999996270e-01,1.747549031813536402e+01,1.685586738019344555e-01
8.399999999999996358e-01,1.730389398194624917e+01,2.009167426747459073e-01
8.499999999999996447e-01,1.712967302615204090e+01,2.214506215529074007e-01
8.599999999999996536e-01,1.695545641043965190e+01,2.291550142226361220e-01
8.699999999999996625e-01,1.678401669955677278e+01,2.236832296228157546e-01
8.799999999999996714e-01,1.661812263910063336e+01,2.053556937015484918e-01
8.899999999999995692e-01,1.646039437703149133e+01,1.751371352235885082e-01
8.999999999999995781e-01,1.631316776708234428e+01,1.345838767286451632e-01
9.099999999999995870e-01,1.617837372563504772e+01,8.576394130363880486e-02
9.199999999999995959e-01,1.605743790249579916e+01,3.115383980273870451e-02
9.299999999999996048e-01,1.595120499893360488e+01,-2.648311465527708464e-02
9.399999999999996136e-01,1.585989096246287922e+01,-8.423134694812545176e-02
9.499999999999996225e-01,1.578306505325864784e+01,-1.391642676753477581e-01
9.599999999999995204e-01,1.571966246306837078e+01,-1.884858145172820520e-01
9.699999999999995293e-01,1.566802682845865036e+01,-2.296658800401050193e-01
9.799999999999995381e-01,1.562598067164859295e+01,-2.605634979413671282e-01
9.899999999999995470e-01,1.559092057828082645e+01,-2.795321997726875063e-01
9.999999999999995559e-01,1.555993283315526021e+01,-2.855027328055157465e-01
1.009999999999999565e+00,1.552992432769612563e+01,-2.780393148950072169e-01
1.019999999999999574e+00,1.549776286499406730e+01,-2.573667534107635935e-01
1.029999999999999583e+00,1.546042054911404406e+01,-2.243670250802665411e-01
1.039999999999999591e+00,1.541511377440954611e+01,-1.805452494103088890e-01
1.049999999999999600e+00,1.535943343638212788e+01,-1.279663347153735531e-01
1.059999999999999609e+00,1.529145936544219175e+01,-6.916487642610549824e-02
1.069999999999999618e+00,1.520985362477815883e+01,-7.032087509565208838e-03
1.079999999999999627e+00,1.511392818867027721e+01,5.531541054650638417e-02
1.089999999999999414e+00,1.500368359337894830e+01,1.146792558959811581e-01
1.099999999999999423e+00,1.487981638603390344e+01,1.679291758648972510e-01
1.109999999999999432e+00,1.474369453771011607e+01,2.121523252269205961e-01
1.119999999999999440e+00,1.459730138013338063e+01,2.447954061917792801e-01
1.129999999999999449e+00,1.444315001349863614e+01,2.637930555698196344e-01
1.139999999999999458e+00,1.428417145754184681e+01,2.676764787324972250e-01
1.149999999999999467e+00,1.412358102301716123e+01,2.556570689361959414e-01
1.159999999999999476e+00,1.396472841402248299e+01,2.276807463691335742e-01
1.169999999999999485e+00,1.381093788746559348e+01,1.844499458832112027e-01
1.179999999999999494e+00,1.366534535691830143e+01,1.274115290809419987e-01
1.189999999999999503e+00,1.353073960660758956e+01,5.871034163195705535e-02
1.199999999999999512e+00,1.340941476091436435e+01,-1.889037804357276973e-02
1.209999999999999520e+00,1.330304083101251322e+01,-1.021190682517520432e-01
1.219999999999999529e+00,1.321255854100141391e+01,-1.873323388907841280e-01
1.229999999999999538e+00,1.313810374103895207e+01,-2.706725974589144212e-01
1.239999999999999325e+00,1.307896557608429688e+01,-3.482404653670545525e-01
1.249999999999999334e+00,1.303358123787274359e+01,-4.162748391224941891e-01
1.259999999999999343e+00,1.299956863556128361e+01,-4.713329265023212256e-01
1.269999999999999352e+00,1.297379673503744968e+01,-5.104623710849798268e-01
1.279999999999999361e+00,1.295249170094662361e+01,-5.313576851167703952e-01
1.289999999999999369e+00,1.293137539426386518e+01,-5.324936436322041944e-01
1.299999999999999378e+00,1.290583129678281438e+01,-5.132290419718864571e-01
1.309999999999999387e+00,1.287109161458592155e+01,-4.738752614659604290e-01
1.319999999999999396e+00,1.282243821254840199e+01,-4.157253890446369615e-01
1.329999999999999405e+00,1.275540920081165908e+01,-3.410411498998934254e-01
1.339999999999999414e+00,1.266600247191150075e+01,-2.529965827108106580e-01
1.349999999999999423e+00,1.255086730246991955e+01,-1.555791516786823592e-01
1.359999999999999432e+00,1.240747530199532633e+01,-5.345078101243358470e-02
1.369999999999999440e+00,1.223426251581737745e+01,4.822695458186505163e-02
1.379999999999999449e+00,1.203073535811308936e+01,1.439976153320833840e-01
1.389999999999999458e+00,1.179753423934137047e+01,2.283373355143881178e-01
1.399999999999999467e+00,1.153645022230086958e+01,2.958963816028158389e-01
1.409999999999999254e+00,1.125039174292286859e+01,3.417453775036870534e-01
1.419999999999999263e+00,1.094330030635140005e+01,3.616161658783696997e-01
1.429999999999999272e+00,1.062001604857317183e+01,3.521270648879953336e-01
1.439999999999999281e+00,1.028609606619311734e+01,3.109824571185674791e-01
1.449999999999999289e+00,9.947590386561813602e+00,2.371372153987633680e-01
1.459999999999999298e+00,9.610782302108091812e+00,1.309174175056971867e-01
1.469999999999999307e+00,9.281901454122476025e+00,-5.909897260119026906e-03
1.479999999999999316e+00,8.966819455782552239e+00,-1.701235612646694317e-01
1.489999999999999325e+00,8.670738933595213638e+00,-3.570954550431132413e-01
1.499999999999999334e+00,8.397887592893955144e+00,-5.608997022179501579e-01
1.509999999999999343e+00,8.151229241286587879e+00,-7.744833499241015051e-01
1.519999999999999352e+00,7.932203612639198376e+00,-9.898957410115247768e-01
1.529999999999999361e+00,7.740506316832527212e+00,-1.198571550597994140e+00
1.539999999999999369e+00,7.573919305941001490e+00,-1.391660333205640310e+00
1.549999999999999378e+00,7.428200919594625695e+00,-1.560393485326339036e+00
1.559999999999999165e+00,7.297042889411959443e+00,-1.696477843925886075e+00
1.569999999999999174e+00,7.172099695999254010e+00,-1.792503778064814535e+00
1.579999999999999183e+00,7.043093444928181235e+00,-1.842354641896912559e+00
1.589999999999999192e+00,6.897995032366385004e+00,-1.841603883692082277e+00
1.599999999999999201e+00,6.723279885335550432e+00,-1.787885974024224334e+00
1.609999999999999210e+00,6.504254068498041441e+00,-1.681227638569174232e+00
1.619999999999999218e+00,6.225444132468306968e+00,-1.524326653188122549e+00
1.629999999999999227e+00,5.871041819454683619e+00,-1.322766661748333794e+00
1.639999999999999236e+00,5.425392717209769344e+00,-1.085158076236997005e+00
1.649999999999999245e+00,4.873516230857977583e+00,-8.231970662968897123e-01
1.659999999999999254e+00,4.201642883207311385e+00,-5.516368815455414687e-01
1.669999999999999263e+00,3.397754004601064803e+00,-2.881682052907404978e-01
1.679999999999999272e+00,2.452108366511907445e+00,-5.320783552088363677e-02
1.689999999999999281e+00,1.357740267449632832e+00,1.304023533251696676e-01
1.699999999999999289e+00,1.109139985489715485e-01,2.377815797477905724e-01
1.709999999999999298e+00,-1.288479512678742722e+00,2.424743384966828730e-01
1.719999999999999307e+00,-2.836596785353255878e+00,1.169831351049142321e-01
