# energy_eV,Re_epsilon,Im_epsilon
1.000000000000000056e-01,2.631091020844889954e+02,-2.545700752602223531e+02
1.100000000000000006e-01,2.488556713007505437e+02,-2.072909873082358274e+02
1.199999999999999956e-01,2.341884325422918494e+02,-1.678774649483062547e+02
1.300000000000000044e-01,2.193004511680574637e+02,-1.348711780091336436e+02
1.399999999999999856e-01,2.043780172690510426e+02,-1.072038049929168579e+02
1.499999999999999667e-01,1.895970184691095426e+02,-8.406028367235970222e+01
1.599999999999999756e-01,1.751197334128333694e+02,-6.479456470307664517e+01
1.699999999999999845e-01,1.610921208018510526e+02,-4.887637511506866161e+01
1.799999999999999656e-01,1.476416605723170221e+02,-3.585700114565830887e+01
1.899999999999999467e-01,1.348757841973889242e+02,-2.534710001277333191e+01
1.999999999999999556e-01,1.228809108990353565e+02,-1.700230112752341327e+01
2.099999999999999645e-01,1.117220865177765177e+02,-1.051393179427027924e+01
2.199999999999999456e-01,1.014432026439953773e+02,-5.603136933803882336e+00
2.299999999999999267e-01,9.206775603196308566e+01,-2.017236379876939267e+00
2.399999999999999356e-01,8.360009288840866759e+01,4.724719727662918256e-01
2.499999999999999445e-01,7.602706983930976037e+01,2.072015071306589462e+00
2.599999999999998979e-01,6.932005360001983263e+01,2.965542268106994506e+00
2.699999999999999067e-01,6.343717484222531056e+01,3.315891010605205302e+00
2.799999999999999156e-01,5.832574856727676860e+01,3.265110179996860928e+00
2.899999999999999245e-01,5.392477342353449643e+01,2.935067583397599211e+00
2.999999999999999334e-01,5.016742567966378630e+01,2.428219718788424242e+00
3.099999999999998868e-01,4.698346970176680770e+01,1.828584284219758382e+00
3.199999999999998956e-01,4.430151539281792594e+01,1.202926554430949091e+00
3.299999999999999045e-01,4.205106366880969659e+01,6.021481412900713259e-01
3.399999999999998579e-01,4.016429313880732366e+01,6.284975352608553056e-02
3.499999999999998668e-01,3.857755416295424311e+01,-3.909723619329436017e-01
3.599999999999998757e-01,3.723254981173965916e+01,-7.461441611729071610e-01
3.699999999999998845e-01,3.607719638605722423e+01,-9.984972617349776591e-01
3.799999999999998934e-01,3.506616856474011001e+01,-1.151069938780162394e+00
3.899999999999998468e-01,3.416114546839920507e+01,-1.212374878876318007e+00
3.999999999999998557e-01,3.333078358675552977e+01,-1.194777939625869312e+00
4.099999999999998646e-01,3.255045032250663439e+01,-1.113025351548758923e+00
4.199999999999998179e-01,3.180175766763632339e+01,-9.829486844390774580e-01
4.299999999999998268e-01,3.107193915907559401e+01,-8.203680148195433564e-01
4.399999999999998357e-01,3.035311477091803312e+01,-6.402045825698520209e-01
4.499999999999998446e-01,2.964148789504502801e+01,-4.558052829137439477e-01
4.599999999999998535e-01,2.893651622971710680e+01,-2.784730201954218609e-01
4.699999999999998068e-01,2.824009449497881974e+01,-1.171896005130392687e-01
4.799999999999998157e-01,2.755578173659202079e+01,2.148826772011467115e-02
4.899999999999998246e-01,2.688809991389407372e+01,1.333839755473819333e-01
4.999999999999997780e-01,2.624192385502126257e+01,2.165342772610798494e-01
5.099999999999997868e-01,2.562197586644636971e+01,2.709296786190016904e-01
5.199999999999997957e-01,2.503243164380738150e+01,2.981909299681266834e-01
5.299999999999998046e-01,2.447663795292878675e+01,3.012093701528432144e-01
