# eV,ground_re,ground_im,pumped_re,pumped_im
1.000000000000000021e-02,5.060282866124529733e+02,-5.055100272333065732e+03,1.002106173863233380e+04,-3.440971809423600644e+04
2.000000000000000042e-02,4.998552767719562553e+02,-2.474689527292944604e+03,9.805511833278318591e+03,-1.567117909856124606e+04
2.999999999999999889e-02,4.897372199559393380e+02,-1.592387817025392678e+03,9.453260927004614132e+03,-8.794779792997609547e+03
4.000000000000000083e-02,4.759227760499118176e+02,-1.136058458947215968e+03,8.974515862090493101e+03,-4.939644372248205400e+03
5.000000000000000278e-02,4.587468468897948810e+02,-8.516592104254318656e+02,8.382997407694309004e+03,-2.352150566268971488e+03
5.999999999999999778e-02,4.386181210370704093e+02,-6.547702645115263067e+02,7.695404059148925626e+03,-4.573439778711360759e+02
7.000000000000000666e-02,4.160041064185966775e+02,-5.093744733455976643e+02,6.930767241492547328e+03,9.855438895828590375e+02
8.000000000000000167e-02,3.914143535171195367e+02,-3.975470949163413366e+02,6.109728031980106607e+03,2.094435017311681804e+03
8.999999999999999667e-02,3.653826431447211007e+02,-3.093505329588977588e+02,5.253768744370632703e+03,2.934920921236376671e+03
1.000000000000000056e-01,3.384489418847040838e+02,-2.387931928884074466e+02,4.384434192792175054e+03,3.548417441042400242e+03
1.100000000000000006e-01,3.111419143443013695e+02,-1.819957292956753463e+02,3.522577123694384227e+03,3.964816332416975911e+03
1.199999999999999956e-01,2.839627263277290012e+02,-1.362788737417992309e+02,2.687660222609061748e+03,4.208596206981625983e+03
1.300000000000000044e-01,2.573707812552137852e+02,-9.967798406736530126e+01,1.897143418365525577e+03,4.301853439941709439e+03
1.400000000000000133e-01,2.317719100532849836e+02,-7.067187088807973794e+01,1.165980159086555432e+03,4.265751885985122499e+03
1.499999999999999944e-01,2.075093903862511127e+02,-4.802638325150250864e+01,5.062402317750469933e+02,4.121107508214739937e+03
1.600000000000000033e-01,1.848580136116177073e+02,-3.070262846441301718e+01,-7.313009726104458252e+01,3.888482386136775858e+03
1.700000000000000122e-01,1.640212567881090138e+02,-1.780295665323246723e+01,-5.664069389784275472e+02,3.588001547564223074e+03
1.799999999999999933e-01,1.451314618208720901e+02,-8.539499843453951300e+00,-9.710499516872662298e+02,3.239024407887458892e+03
1.900000000000000022e-01,1.282527829880480397e+02,-2.216237915169459338e+00,-1.287535664950303271e+03,2.859757759619119042e+03
2.000000000000000111e-01,1.133865449467789688e+02,1.780980226945979794e+00,-1.519078508249445349e+03,2.466870231965523544e+03
2.099999999999999922e-01,1.004785614415139889e+02,3.989997260317435401e+00,-1.671259714001413386e+03,2.075150052725334717e+03
2.200000000000000011e-01,8.942790391917097281e+01,4.875765194816781722e+00,-1.751587586023378435e+03,1.697234533662438480e+03
2.300000000000000100e-01,8.009658056108695234e+01,4.833072965000720700e+00,-1.769014527373070678e+03,1.343428924635954900e+03
2.399999999999999911e-01,7.231958924086012530e+01,4.189475493016259655e+00,-1.733436671581625887e+03,1.021623204315667294e+03
2.500000000000000000e-01,6.591484004865556301e+01,3.208919938091995050e+00,-1.655201010673517658e+03,7.373076173374190603e+02
2.600000000000000089e-01,6.069250008229007420e+01,2.096280466582054025e+00,-1.544642693258522513e+03,4.936812257338135055e+02
2.700000000000000178e-01,5.646338973288288798e+01,1.002809351372747182e+00,-1.411671875325194605e+03,2.918424346800159128e+02
2.800000000000000266e-01,5.304614942097997954e+01,3.237113898822811114e-02,-1.265425396522418851e+03,1.310464323499778914e+02
2.899999999999999800e-01,5.027299207201293996e+01,-7.517639833832476803e-01,-1.113993911534860899e+03,9.011789785129273866e+00
2.999999999999999889e-01,4.799395310226613987e+01,-1.319840438851933140e+00,-9.642302306784397388e+02,-7.774290382529592591e+01
3.099999999999999978e-01,4.607964042965382134e+01,-1.668538607743304425e+00,-8.216398129295099579e+02,-1.335515995525253743e+02
3.200000000000000067e-01,4.442256706112155484e+01,-1.814171910220304218e+00,-6.903498827929566914e+02,-1.632607227565094661e+02
3.300000000000000155e-01,4.293721435826267196e+01,-1.786400495821294676e+00,-5.731497461010185361e+02,-1.719126323356815647e+02
3.400000000000000244e-01,4.155902270286240707e+01,-1.622654101370466062e+00,-4.715917447156573985e+02,-1.644659460049329027e+02
3.500000000000000333e-01,4.024253691825133927e+01,-1.363399873809684859e+00,-3.861400425867494164e+02,-1.455627245876129905e+02
3.599999999999999867e-01,3.895894671959020883e+01,-1.048331315579400291e+00,-3.163531385170290378e+02,-1.193488722856445321e+02
3.699999999999999956e-01,3.769325910743371111e+01,-7.134968571361000045e-01,-2.610856536341215701e+02,-8.935043402927311718e+01
3.800000000000000044e-01,3.644132236980480144e+01,-3.893348456593770934e-01,-2.186954840523372923e+02,-5.840498611879446145e+01
3.900000000000000133e-01,3.520689327176319239e+01,-9.953887477754815027e-02,-1.872437302328219459e+02,-2.864422249614097638e+01
4.000000000000000222e-01,3.399890350775248749e+01,1.393548131955600344e-01,-1.646767622440991090e+02,-1.521294880001097916e+00
4.100000000000000311e-01,3.282904205823052735e+01,3.177868967422728952e-01,-1.489821748199146327e+02,2.212541906165097672e+01
4.199999999999999845e-01,3.170973001065632957e+01,4.325401500049095849e-01,-1.383130341738533104e+02,4.198161110150382314e+01
4.299999999999999933e-01,3.065252652685235191e+01,4.857883127468071160e-01,-1.310775262017019429e+02,5.814933414515707000e+01
4.400000000000000022e-01,2.966697121775199264e+01,4.839577410452168826e-01,-1.259937020103226359e+02,7.103198140891691992e+01
4.500000000000000111e-01,2.875984078151324042e+01,4.365155277842109327e-01,-1.221113246160746542e+02,8.122080361289258121e+01
4.600000000000000200e-01,2.793477720880014914e+01,3.547782252356137533e-01,-1.188047257696048717e+02,8.939049123741725111e+01
4.700000000000000289e-01,2.719223131239456848e+01,2.508137681146149212e-01,-1.157419982950780479e+02,9.620968093162082369e+01
4.799999999999999822e-01,2.652965835858232069e+01,1.364876373527114939e-01,-1.128367324264888367e+02,1.022703818227186758e+02
4.899999999999999911e-01,2.594190126862734758e+01,2.268430936292862438e-02,-1.101888506231112217e+02,1.080384073576022672e+02
5.000000000000000000e-01,2.542170002356154868e+01,-8.128225936894745152e-02,-1.080209381941567415e+02,1.138250791773579067e+02
5.100000000000000089e-01,2.496027221168976951e+01,-1.680692968314697056e-01,-1.066158727854487722e+02,1.197788595168310621e+02
5.200000000000000178e-01,2.454791779045090649e+01,-2.325275826043367022e-01,-1.062606150144593897e+02,1.258942595463044256e+02
5.300000000000000266e-01,2.417460992465785452e+01,-2.717630601415017000e-01,-1.071998418769440917e+02,1.320344241384054840e+02
5.400000000000000355e-01,2.383054228609971403e+01,-2.850593253978290220e-01,-1.096017974177212011e+02,1.379632376345647344e+02
5.500000000000000444e-01,2.350661082630173127e+01,-2.736844696819277223e-01,-1.135374129403034544e+02,1.433826276392293551e+02
5.600000000000000533e-01,2.319481444564585715e+01,-2.406060800771103736e-01,-1.189725130437732759e+02,1.479709335105333139e+02
5.700000000000000622e-01,2.288856414219513979e+01,-1.901376800013895307e-01,-1.257718586654699635e+02,1.514186982498618192e+02
5.799999999999999600e-01,2.258289432233551608e+01,-1.275390685554084746e-01,-1.337129472232637397e+02,1.534589647633341656e+02
5.899999999999999689e-01,2.227457332914338650e+01,-5.859224429840463599e-02,-1.425069317366372559e+02,1.538900274962414869e+02
5.999999999999999778e-01,2.196211328688993802e+01,1.082598170857697849e-02,-1.518237492706074931e+02,1.525895226582270823e+02
6.099999999999999867e-01,2.164568243501855704e+01,7.515402917144704820e-02,-1.613185542015492047e+02,1.495196528672466059e+02
6.199999999999999956e-01,2.132692649171470478e+01,1.295181394843139266e-01,-1.706568028230490768e+02,1.447241630174698912e+02
6.300000000000000044e-01,2.100870934839078785e+01,1.700483746590708001e-01,-1.795357853528552710e+02,1.383183559959648221e+02
6.400000000000000133e-01,2.069478747261105411e+01,1.941206321254668465e-01,-1.877009908580083675e+02,1.304739197170894158e+02
6.500000000000000222e-01,2.038943653139244105e+01,2.005101144279155256e-01,-1.949563557862961716e+02,1.214006102445332544e+02
6.600000000000000311e-01,2.009705253811993231e+01,1.894457932630646824e-01,-2.011681235359253321e+02,1.113268981065733527e+02
6.700000000000000400e-01,1.982175278488810832e+01,1.625607907019616660e-01,-2.062626718863307929e+02,1.004815523862880440e+02
6.800000000000000488e-01,1.956700344200421071e+01,1.227400804974484727e-01,-2.102191977511681955e+02,8.907784053859198536e+01
6.900000000000000577e-01,1.933530054370135431e+01,7.387410262755755852e-02,-2.130585479043572263e+02,7.730160273612604271e+01
7.000000000000000666e-01,1.912792882622830959e+01,2.053422655408184555e-02,-2.148297279668215936e+02,6.530396592588563465e+01
7.099999999999999645e-01,1.894481843094831319e+01,-3.240718258059332307e-02,-2.155957030540035078e+02,5.319894467354368572e+01
7.199999999999999734e-01,1.878451295653666975e+01,-8.018376498302569322e-02,-2.154200294972097538e+02,4.106568089692121504e+01
7.299999999999999822e-01,1.864425411402943311e+01,-1.185372508716191209e-01,-2.143556479309639258e+02,2.895464423264063925e+01
7.399999999999999911e-01,1.852017890859088922e+01,-1.440814653586017235e-01,-2.124368535567791412e+02,1.689678146492064315e+01
7.500000000000000000e-01,1.840761562607944413e+01,-1.545967330662970651e-01,-2.096750758142891300e+02,4.914388585209082727e+00
7.600000000000000089e-01,1.830145583344542004e+01,-1.492277153015797997e-01,-2.060586861856414771e+02,-6.967607828409398074e+00
7.700000000000000178e-01,1.819657202148686537e+01,-1.285649711125572137e-01,-2.015566479807788767e+02,-1.871123429911065728e+01
7.800000000000000266e-01,1.808824525960599061e+01,-9.459999878231042936e-02,-1.961254604443988399e+02,-3.025704160180605840e+01
7.900000000000000355e-01,1.797256495421324729e+01,-5.055442673907777767e-02,-1.897185597177517309e+02,-4.151854207628626625e+01
8.000000000000000444e-01,1.784676390904918364e+01,-5.954246530874278843e-04,-1.822971411311362147e+02,-5.238008390416895566e+01
8.100000000000000533e-01,1.770945646651076544e+01,5.053977162552866775e-02,-1.738412717551963738e+02,-6.269839188031566124e+01
8.200000000000000622e-01,1.756075531132925605e+01,9.797815790427344407e-02,-1.643601704142234610e+02,-7.230766088092077837e+01
8.300000000000000711e-01,1.740225295327152466e+01,1.371654719805081857e-01,-1.539006369794896329e+02,-8.102777198186034013e+01
8.399999999999999689e-01,1.723686609225191191e+01,1.642991421261765228e-01,-1.425527987683127833e+02,-8.867493671960752977e+01
8.499999999999999778e-01,1.706855390738065381e+01,1.766985802382195769e-01,-1.304525887107473920e+02,-9.507388089463410097e+01
8.599999999999999867e-01,1.690193358387136868e+01,1.730763546382594331e-01,-1.177806535899242135e+02,-1.000705670093435486e+02
8.699999999999999956e-01,1.674182688176230727e+01,1.536820697576881667e-01,-1.047576859032755436e+02,-1.035444278069391260e+02
8.800000000000000044e-01,1.659277916471249270e+01,1.203020769634672721e-01,-9.163645549880229169e+01,-1.054191391208419617e+02
8.900000000000000133e-01,1.645859619094052206e+01,7.611145847613298709e-02,-7.869106575841665574e+01,-1.056710887138236501e+02
9.000000000000000222e-01,1.634194360117408351e+01,2.538884079220762868e-02,-6.620415673854961369e+01,-1.043348843409886371e+02
9.100000000000000311e-01,1.624404929965385236e+01,-2.688184559483798933e-02,-5.445291269744187446e+01,-1.015054708972326551e+02
9.200000000000000400e-01,1.616454012075407931e+01,-7.548688475422245248e-02,-4.369479800086946142e+01,-9.733667357428960543e+01
9.300000000000000488e-01,1.610143202586261069e+01,-1.154912497344695588e-01,-3.415394339043936611e+01,-9.203623192070665482e+01
9.400000000000000577e-01,1.605127865985111413e+01,-1.427312213379342276e-01,-2.600903908926786556e+01,-8.585762067464860081e+01
9.500000000000000666e-01,1.600946775338180572e+01,-1.542424875109395244e-01,-1.938347154016392437e+01,-7.908915221289933584e+01
9.599999999999999645e-01,1.597064006474931297e+01,-1.485799849636781633e-01,-1.433827914252019475e+01,-7.204101117537801713e+01
9.699999999999999734e-01,1.592919278787021931e+01,-1.259951208250497112e-01,-1.086831338728553220e+01,-6.503097724984365868e+01
9.799999999999999822e-01,1.587981993633794531e+01,-8.844906110959328827e-02,-8.901789988984269542e+00,-5.836964448457714383e+01
9.899999999999999911e-01,1.581803718542306392e+01,-3.945632696232015402e-02,-8.303213996681831688e+00,-5.234594606451270238e+01
1.000000000000000000e+00,1.574063865342864332e+01,1.623045539843333621e-02,-8.879475789351499060e+00,-4.721374684818979972e+01
1.010000000000000009e+00,1.564603829365656651e+01,7.306775616865880674e-02,-1.038875132090071141e+01,-4.318017931363256423e+01
1.020000000000000018e+00,1.553445860300232439e+01,1.252595119977512883e-01,-1.255170720705237208e+01,-4.039628077996644606e+01
1.030000000000000027e+00,1.540794339661538004e+01,1.673355987032765502e-01,-1.506441359889585740e+01,-3.895035051639143120e+01
1.040000000000000036e+00,1.527018818960673485e+01,1.947137976836326445e-01,-1.761230690782760178e+01,-3.886429423471330580e+01
1.050000000000000044e+00,1.512619969236613571e+01,2.041885470020669557e-01,-1.988451962153476060e+01,-4.009306938094270123e+01
1.060000000000000053e+00,1.498181332341049021e+01,1.942952987281369448e-01,-2.158790311550623997e+01,-4.252719529043452695e+01
1.070000000000000062e+00,1.484311272914199442e+01,1.655101018600701468e-01,-2.246010766438331885e+01,-4.599815387306914971e+01
1.080000000000000071e+00,1.471580650066789886e+01,1.202591980283660711e-01,-2.228114720043708985e+01,-5.028638373178887377e+01
1.090000000000000080e+00,1.460462335314690208e+01,6.273159568244876527e-02,-2.088295990454803075e+01,-5.513146672972550277e+01
1.100000000000000089e+00,1.451278720782328513e+01,-1.492925579844690039e-03,-1.815657470824337238e+01,-6.024402303083487453e+01
1.110000000000000098e+00,1.444162767360032618e+01,-6.596902563963825961e-02,-1.405660382517294060e+01,-6.531876964166198718e+01
1.120000000000000107e+00,1.439036974430333160e+01,-1.240164509469613013e-01,-8.602898520879152855e+00,-7.004815894436373469e+01
1.130000000000000115e+00,1.435613007104339722e+01,-1.693961124263351214e-01,-1.879325843634255477e+00,-7.413599772630080054e+01
1.140000000000000124e+00,1.433412740346162551e+01,-1.969649190631882207e-01,5.970255415366326091e+00,-7.731045366856395162e+01
1.150000000000000133e+00,1.431809356486482265e+01,-2.032424394927052624e-01,1.474862402104004389e+01,-7.933588490198718546e+01
1.159999999999999920e+00,1.430085069008962151e+01,-1.868288835749313537e-01,2.421412484810788257e+01,-8.002297862852209676e+01
1.169999999999999929e+00,1.427500248204131594e+01,-1.486265927706296452e-01,3.409149062105843342e+01,-7.923675614902016662e+01
1.179999999999999938e+00,1.423367381573716095e+01,-9.183517265288521081e-02,4.408406507517464945e+01,-7.690209258491488242e+01
1.189999999999999947e+00,1.417122563982196937e+01,-2.171200772112131736e-02,5.388686855058529090e+01,-7.300650797674215653e+01
1.199999999999999956e+00,1.408387175609020048e+01,5.488683777046355489e-02,6.319990234816064145e+01,-6.760010911149679202e+01
1.209999999999999964e+00,1.397013100327154689e+01,1.301476532648539186e-01,7.174106973772676099e+01,-6.079269403442386732e+01
1.219999999999999973e+00,1.383106222836257970e+01,1.960645530910004597e-01,7.925810226266233371e+01,-5.274816821071910056e+01
