# eV,pumped_re,pumped_im
1.000000000000000021e-02,1.002585784256580700e+04,-3.443552045796582388e+04
2.000000000000000042e-02,9.810211552009064690e+03,-1.568338373704411424e+04
2.999999999999999889e-02,9.457803071292139066e+03,-8.802165055427256448e+03
4.000000000000000083e-02,8.978843719626125676e+03,-4.944429551099159653e+03
5.000000000000000278e-02,8.387060290955134406e+03,-2.355249626438153882e+03
5.999999999999999778e-02,7.699158623790559432e+03,-4.592400742540520469e+02
7.000000000000000666e-02,6.934178528159577581e+03,9.845496721838744634e+02
8.000000000000000167e-02,6.112770196915675115e+03,2.094131467848530519e+03
8.999999999999999667e-02,5.256425458106356928e+03,2.935146722250258335e+03
1.000000000000000056e-01,4.386698700792994714e+03,3.549042057549786023e+03
1.100000000000000006e-01,3.524451977390083812e+03,3.965730328106817524e+03
1.199999999999999956e-01,2.689156703050426131e+03,4.209706184940402636e+03
1.300000000000000044e-01,1.898280687137081031e+03,4.303079363968386133e+03
1.400000000000000133e-01,1.166784181516316039e+03,4.267025641614769484e+03
1.499999999999999944e-01,5.067425254492341651e+02,4.122372084217045995e+03
1.600000000000000033e-01,-7.289383045960786944e+01,3.889691324969835932e+03
1.700000000000000122e-01,-5.663982367982370079e+02,3.589118461478570225e+03
1.799999999999999933e-01,-9.712290115253229033e+02,3.240022445460327162e+03
1.900000000000000022e-01,-1.287862703490268586e+03,2.860618963251577497e+03
2.000000000000000111e-01,-1.519515010148527153e+03,2.467584763933327395e+03
2.099999999999999922e-01,-1.671769527029157416e+03,2.075715292697097084e+03
2.200000000000000011e-01,-1.752137829609932851e+03,1.697654067874349266e+03
2.300000000000000100e-01,-1.769576292096091265e+03,1.343711458194721899e+03
2.399999999999999911e-01,-1.733985498120477814e+03,1.021781434627310773e+03
2.500000000000000000e-01,-1.655717147603526428e+03,7.373571092692724278e+02
2.600000000000000089e-01,-1.545111143201926097e+03,4.936393284728202389e+02
2.700000000000000178e-01,-1.412082247941079004e+03,2.917272769465390638e+02
2.800000000000000266e-01,-1.265771594217647589e+03,1.308760272398806705e+02
2.899999999999999800e-01,-1.114273679331481389e+03,8.803273619657796090e+00
2.999999999999999889e-01,-9.644446052173725548e+02,-7.797388209113005075e+01
3.099999999999999978e-01,-8.217925070824769591e+02,-1.337913300243057506e+02
3.200000000000000067e-01,-6.904466418673089265e+02,-1.634977271388708857e+02
3.300000000000000155e-01,-5.731977093322220753e+02,-1.721378045468170797e+02
3.400000000000000244e-01,-4.715988419145795092e+02,-1.646725546176488137e+02
3.500000000000000333e-01,-3.861144507752281925e+02,-1.457462961004800093e+02
3.599999999999999867e-01,-3.163028175206013088e+02,-1.195069780198239187e+02
3.699999999999999956e-01,-2.610179732988790988e+02,-8.948240568337489265e+01
3.800000000000000044e-01,-2.186169494016491797e+02,-5.851158569996713510e+01
3.900000000000000133e-01,-1.871598048389438418e+02,-2.872729157539519917e+01
4.000000000000000222e-01,-1.645917846721105207e+02,-1.583406066223796760e+00
4.100000000000000311e-01,-1.488993584572108375e+02,2.208128863743482384e+01
4.199999999999999845e-01,-1.382345372653704487e+02,4.195236837596621626e+01
4.299999999999999933e-01,-1.310045765694745228e+02,5.813200922129569648e+01
4.400000000000000022e-01,-1.259267597688041747e+02,7.102391012218022581e+01
4.500000000000000111e-01,-1.220502661524154036e+02,8.121975093673749768e+01
4.600000000000000200e-01,-1.187490332279279954e+02,8.939471695077666880e+01
4.700000000000000289e-01,-1.156909406217935015e+02,9.621795245198789814e+01
4.799999999999999822e-01,-1.127895264994126734e+02,1.022819418681605868e+02
4.899999999999999911e-01,-1.101447938793665884e+02,1.080529060457465107e+02
5.000000000000000000e-01,-1.079795072642008336e+02,1.138424812656828493e+02
5.100000000000000089e-01,-1.065767857164363193e+02,1.197993377593796822e+02
5.200000000000000178e-01,-1.062238575314096778e+02,1.259180846599985983e+02
5.300000000000000266e-01,-1.071656606236039408e+02,1.320618607508887692e+02
5.400000000000000355e-01,-1.095706651195436194e+02,1.379944539678812419e+02
5.500000000000000444e-01,-1.135099718627376149e+02,1.434176247300907505e+02
5.600000000000000533e-01,-1.189495039481919463e+02,1.480094976442513257e+02
5.700000000000000622e-01,-1.257540427033591186e+02,1.514603781510539875e+02
5.799999999999999600e-01,-1.337010279054090347e+02,1.535030730861623169e+02
5.899999999999999689e-01,-1.425014833474666602e+02,1.539356644102377061e+02
5.999999999999999778e-01,-1.518251569706150406e+02,1.526356179232816430e+02
6.099999999999999867e-01,-1.613269696882805988e+02,1.495650217910431365e+02
6.199999999999999956e-01,-1.706721179232575878e+02,1.447675711154010685e+02
6.300000000000000044e-01,-1.795576244106962349e+02,1.383585870207032258e+02
6.400000000000000133e-01,-1.877287213705305078e+02,1.305098419581372582e+02
6.500000000000000222e-01,-1.949891155044988693e+02,1.214312365602691841e+02
6.600000000000000311e-01,-2.012048612622854193e+02,1.113514359693282216e+02
6.700000000000000400e-01,-2.063021984992100784e+02,1.004994412119735046e+02
6.800000000000000488e-01,-2.102602435901453930e+02,8.908877465070706592e+01
6.900000000000000577e-01,-2.130998225528902594e+02,7.730553939722193491e+01
7.000000000000000666e-01,-2.148699786445699829e+02,6.530111888410198162e+01
7.099999999999999645e-01,-2.156337682395281945e+02,5.318976455674734893e+01
7.199999999999999734e-01,-2.154548849902720349e+02,4.105082449701272651e+01
7.299999999999999822e-01,-2.143864432735282435e+02,2.893493522944682539e+01
7.399999999999999911e-01,-2.124629375027481331e+02,1.687316543151088055e+01
7.500000000000000000e-01,-2.096960103124695820e+02,4.887885199038122686e+00
7.600000000000000089e-01,-2.060742490674078056e+02,-6.995952553153323095e+00
7.700000000000000178e-01,-2.015668251816002510e+02,-1.874039321416321258e+01
7.800000000000000266e-01,-1.961304291061321408e+02,-3.028604691637630353e+01
7.900000000000000355e-01,-1.897186638975122435e+02,-4.154651947471099760e+01
8.000000000000000444e-01,-1.822928620754512679e+02,-5.240627915476984811e+01
8.100000000000000533e-01,-1.738331947885189095e+02,-6.272218933424251475e+01
8.200000000000000622e-01,-1.643489504512294559e+02,-7.232859376522175410e+01
8.300000000000000711e-01,-1.538869645203330094e+02,-8.104552484071079732e+01
8.399999999999999689e-01,-1.425373679991868698e+02,-8.868934073155037368e+01
8.499999999999999778e-01,-1.304360690349332970e+02,-9.508490307969042021e+01
8.599999999999999867e-01,-1.177636655832997548e+02,-1.000782945333709506e+02
8.699999999999999956e-01,-1.047407823474447071e+02,-1.035490486938021775e+02
8.800000000000000044e-01,-9.162010781574213070e+01,-1.054209207034940476e+02
8.900000000000000133e-01,-7.867565586968115099e+01,-1.056703551049919696e+02
9.000000000000000222e-01,-6.618997411171399392e+01,-1.043319940970351496e+02
9.100000000000000311e-01,-5.444015612990045838e+01,-1.015007959001389253e+02
9.200000000000000400e-01,-4.368358152917105031e+01,-9.733057998148289869e+01
9.300000000000000488e-01,-3.414430560115420121e+01,-9.202906384409757834e+01
9.400000000000000577e-01,-2.600095504114005607e+01,-8.584968706013864903e+01
9.500000000000000666e-01,-1.937686648130977574e+01,-7.908071720852250053e+01
9.599999999999999645e-01,-1.433304321402280834e+01,-7.203228810628419865e+01
9.699999999999999734e-01,-1.086431653893124505e+01,-6.502212616515045340e+01
9.799999999999999822e-01,-8.898896387888969528e+00,-5.836077310627250370e+01
9.899999999999999911e-01,-8.301295280006277366e+00,-5.233711385210492750e+01
1.000000000000000000e+00,-8.878422594324053563e+00,-4.720497179377684205e+01
1.010000000000000009e+00,-1.038848261637134840e+01,-4.317144699927007423e+01
