energy_eV,Re_epsilon,Im_epsilon
1.000000000000000021e-02,6.072394250950294463e+02,-5.630172236682114999e+03
2.000000000000000042e-02,5.984997032276904747e+02,-2.746056627152383498e+03
2.999999999999999889e-02,5.842135129710786714e+02,-1.756033455686137586e+03
4.000000000000000083e-02,5.647881300840596168e+02,-1.241727767291933333e+03
5.000000000000000278e-02,5.407689649394601474e+02,-9.200312444310261526e+02
5.999999999999999778e-02,5.128164012354800434e+02,-6.969426329321183857e+02
7.000000000000000666e-02,4.816782098379900958e+02,-5.323868725115761436e+02
8.000000000000000167e-02,4.481589919012237146e+02,-4.064123857993413367e+02
8.999999999999999667e-02,4.130882334881447946e+02,-3.079223469871942598e+02
1.000000000000000056e-01,3.772885864840265526e+02,-2.301710374805452943e+02
1.100000000000000006e-01,3.415459276640606276e+02,-1.687243211653965318e+02
1.199999999999999956e-01,3.065825956462188060e+02,-1.204500008932010360e+02
1.300000000000000044e-01,2.730349761898513634e+02,-8.298570080472970290e+01
1.400000000000000133e-01,2.414363167247630031e+02,-5.444675781586344954e+01
1.499999999999999944e-01,2.122053214402514527e+02,-3.326248760006497918e+01
1.600000000000000033e-01,1.856407310327632842e+02,-1.808427034055683791e+01
1.700000000000000122e-01,1.619217489738557276e+02,-7.734878811927482722e+00
1.799999999999999933e-01,1.411138603606008530e+02,-1.181556551381522491e+00
1.900000000000000022e-01,1.231793188150927847e+02,2.477636104225167113e+00
2.000000000000000111e-01,1.079913663917118782e+02,4.020698191087149098e+00
2.099999999999999922e-01,9.535111115178405328e+01,4.105857372160167884e+00
2.200000000000000011e-01,8.500592183829805037e+01,3.275545053911213866e+00
2.300000000000000100e-01,7.666820844180747940e+01,1.961631284599243630e+00
2.399999999999999911e-01,7.003353586130066333e+01,4.926254201931761778e-01
2.500000000000000000e-01,6.479715541627678022e+01,-8.969883676944061524e-01
2.600000000000000089e-01,6.066822231292347567e+01,-2.055492057844528819e+00
2.700000000000000178e-01,5.738118068786162240e+01,-2.901217934415840194e+00
2.800000000000000266e-01,5.470402491509951659e+01,-3.408993596748906008e+00
2.899999999999999800e-01,5.244337008798212452e+01,-3.596427945329160991e+00
2.999999999999999889e-01,5.044647102803233452e+01,-3.510706858556813970e+00
3.099999999999999978e-01,4.860050529818227005e+01,-3.216496773031987999e+00
3.200000000000000067e-01,4.682957214983592564e+01,-2.785440055109868140e+00
3.300000000000000155e-01,4.508995037980091070e+01,-2.287583418287367998e+00
3.400000000000000244e-01,4.336420176037697871e+01,-1.784924852088026315e+00
3.500000000000000333e-01,4.165470470737172803e+01,-1.327109631163081227e+00
3.599999999999999867e-01,3.997716004861513284e+01,-9.491641780395108086e-01
3.699999999999999956e-01,3.835453460330957398e+01,-6.710376133974170765e-01
3.800000000000000044e-01,3.681180801643304079e+01,-4.986316109087668424e-01
3.900000000000000133e-01,3.537177406371453259e+01,-4.259434541347493774e-01
4.000000000000000222e-01,3.405202964778037256e+01,-4.379256859653092304e-01
4.100000000000000311e-01,3.286317238401080942e+01,-5.136763607778661589e-01
4.199999999999999845e-01,3.180812903295583283e+01,-6.296122198112781287e-01
4.299999999999999933e-01,3.088245814967468661e+01,-7.623369194149889339e-01
4.400000000000000022e-01,3.007541503102298464e+01,-8.909904826682512047e-01
4.500000000000000111e-01,2.937153686796955299e+01,-9.989467790710999662e-01
4.600000000000000200e-01,2.875250025514835528e+01,-1.074805723735174467e+00
4.700000000000000289e-01,2.819901924616734235e+01,-1.112699563862894481e+00
4.799999999999999822e-01,2.769258582963113824e+01,-1.111992952790302747e+00
4.899999999999999911e-01,2.721690088948692221e+01,-1.076500991835049659e+00
5.000000000000000000e-01,2.675889679280795974e+01,-1.013376292009951829e+00
5.100000000000000089e-01,2.630930717392999085e+01,-9.318253336199946446e-01
5.200000000000000178e-01,2.586279025055485192e+01,-8.418074815144848122e-01
5.300000000000000266e-01,2.541765502729074555e+01,-7.528496875331175398e-01
