energy_eV,Re_epsilon,Im_epsilon
1.000000000000000021e-02,-8.005725610987808238e+01,-1.955267810401525708e+01
2.000000000000000042e-02,-8.292589625092375627e+01,-5.806076964833836840e+00
2.999999999999999889e-02,-8.751822484319723117e+01,-5.463066683717191507e-01
4.000000000000000083e-02,-9.356093297453992363e+01,1.434279750646017204e+00
5.000000000000000278e-02,-1.006904732187601468e+02,9.078612804601645658e-01
5.999999999999999778e-02,-1.084709774091772090e+02,-2.015190215493723791e+00
7.000000000000000666e-02,-1.164156954870370271e+02,-7.336110687247577644e+00
8.000000000000000167e-02,-1.240108738525687642e+02,-1.502501280006293882e+01
8.999999999999999667e-02,-1.307408736001376610e+02,-2.497306061095547491e+01
1.000000000000000056e-01,-1.361132738445818120e+02,-3.697707567471412915e+01
1.100000000000000006e-01,-1.396827156954226439e+02,-5.073933636413062231e+01
1.199999999999999956e-01,-1.410723174266723561e+02,-6.587643784773129596e+01
1.300000000000000044e-01,-1.399916266533260512e+02,-8.193433240686246677e+01
1.400000000000000133e-01,-1.362502632452386422e+02,-9.840770938894405617e+01
1.499999999999999944e-01,-1.297666368414073759e+02,-1.147622127709294801e+02
1.600000000000000033e-01,-1.205713824799983485e+02,-1.304581092425305826e+02
1.700000000000000122e-01,-1.088054327959462171e+02,-1.449740814542636826e+02
1.799999999999999933e-01,-9.471292047544709192e+01,-1.578298955256050249e+02
1.900000000000000022e-01,-7.862936530552093473e+01,-1.686068041672306776e+02
2.000000000000000111e-01,-6.096583225960799268e+01,-1.769647035938842805e+02
2.099999999999999922e-01,-4.218993837922482015e+01,-1.826552610463616588e+02
2.200000000000000011e-01,-2.280472691943974084e+01,-1.855304619436371922e+02
2.300000000000000100e-01,-3.326510455910812958e+00,-1.855462798451265485e+02
2.399999999999999911e-01,1.573719312369578915e+01,-1.827614350328572925e+02
2.500000000000000000e-01,3.390854660811200461e+01,-1.773314644298045266e+02
2.600000000000000089e-01,5.075811261030788302e+01,-1.694985628778861155e+02
2.700000000000000178e-01,6.592056416213152659e+01,-1.595778608632015789e+02
2.800000000000000266e-01,7.910673338948149080e+01,-1.479409659756419160e+02
2.899999999999999800e-01,9.011156271988164690e+01,-1.349977067656105305e+02
2.999999999999999889e-01,9.881775712151312518e+01,-1.211770733743020685e+02
3.099999999999999978e-01,1.051951722539883036e+02,-1.069083479049514835e+02
3.200000000000000067e-01,1.092961984366280035e+02,-9.260336092580551792e+01
3.300000000000000155e-01,1.112476013613301546e+02,-7.864070394367040251e+01
3.400000000000000244e-01,1.112394466481607793e+02,-6.535257920622333927e+01
3.500000000000000333e-01,1.095118582545998862e+02,-5.301478812119587047e+01
3.599999999999999867e-01,1.063404349041080934e+02,-4.184015985229063261e+01
3.699999999999999956e-01,1.020211717784710288e+02,-3.197551499529490826e+01
3.800000000000000044e-01,9.685570764646568875e+01,-2.350205835104804208e+01
3.900000000000000133e-01,9.113764439376349458e+01,-1.643891154745868377e+01
4.000000000000000222e-01,8.514057332552353330e+01,-1.074934088934707788e+01
4.100000000000000311e-01,7.910829958944216855e+01,-6.349116401074930138e+00
4.199999999999999845e-01,7.324759311027010256e+01,-3.116359988848780738e+00
4.299999999999999933e-01,6.772362282506240660e+01,-9.022064907677916912e-01
4.400000000000000022e-01,6.265806205793849415e+01,4.583893594283826589e-01
4.500000000000000111e-01,5.812969711933991590e+01,1.136317630551906488e+00
4.600000000000000200e-01,5.417723777058442636e+01,1.298983337835801777e+00
4.700000000000000289e-01,5.080392418265908816e+01,1.102405345014490612e+00
4.799999999999999822e-01,4.798345517461049781e+01,6.850392442039479057e-01
4.899999999999999911e-01,4.566672897929247199e+01,1.634834243254487951e-01
5.000000000000000000e-01,4.378889007557867075e+01,-3.699067449301914334e-01
5.100000000000000089e-01,4.227621082789939777e+01,-8.475953469980526123e-01
5.200000000000000178e-01,4.105239976952551473e+01,-1.225837178540518879e+00
5.300000000000000266e-01,4.004401272245947041e+01,-1.482329575077460326e+00
5.400000000000000355e-01,3.918474089292742946e+01,-1.612884484499217841e+00
5.500000000000000444e-01,3.841845353448255196e+01,-1.627485433504307855e+00
5.600000000000000533e-01,3.770097386095427794e+01,-1.546090833467430370e+00
5.700000000000000622e-01,3.700065853703815577e+01,-1.394516536790069150e+00
5.799999999999999600e-01,3.629792746297046335e+01,-1.200681163085003833e+00
5.899999999999999689e-01,3.558394751431773528e+01,-9.914331465339853988e-01
5.999999999999999778e-01,3.485870904333890508e+01,-7.901050669432504447e-01
6.099999999999999867e-01,3.412874682109137581e+01,-6.148651036013090820e-01
6.199999999999999956e-01,3.340474900359055255e+01,-4.778634889807279462e-01
6.300000000000000044e-01,3.269927148240279280e+01,-3.851088886750591023e-01
6.400000000000000133e-01,3.202473465940933295e+01,-3.369597422939630826e-01
6.500000000000000222e-01,3.139183006095195694e+01,-3.290813789736913297e-01
6.600000000000000311e-01,3.080841037901761936e+01,-3.537022483774441839e-01
6.700000000000000400e-01,3.027888345367878387e+01,-4.010014649552175459e-01
6.800000000000000488e-01,2.980408279915968706e+01,-4.604732966928257731e-01
6.900000000000000577e-01,2.938154805449206464e+01,-5.221394161716882421e-01
7.000000000000000666e-01,2.900612063073025482e+01,-5.775131147793933772e-01
7.099999999999999645e-01,2.867074403117036141e+01,-6.202573459523564869e-01
7.199999999999999734e-01,2.836735482186010771e+01,-6.465165165109665324e-01
7.299999999999999822e-01,2.808775790306699349e+01,-6.549368599030127580e-01
7.399999999999999911e-01,2.782439655039091519e+01,-6.464191284240057289e-01
7.500000000000000000e-01,2.757095099391167636e+01,-6.236682172087673059e-01
7.600000000000000089e-01,2.732272609311792877e+01,-5.906161299811253373e-01
7.700000000000000178e-01,2.707681593503843587e+01,-5.517973382913707869e-01
7.800000000000000266e-01,2.683205819419984550e+01,-5.117498858014243313e-01
7.900000000000000355e-01,2.658881161582575459e+01,-4.745030893765329050e-01
8.000000000000000444e-01,2.634860446641285137e+01,-4.431954417080933295e-01
8.100000000000000533e-01,2.611370945432408419e+01,-4.198466382439150490e-01
8.200000000000000622e-01,2.588670144679524299e+01,-4.052878516212669591e-01
8.300000000000000711e-01,2.567004899035480037e+01,-3.992365476245230416e-01
8.399999999999999689e-01,2.546578043661109447e+01,-4.004879451787381472e-01
8.499999999999999778e-01,2.527525202558177142e+01,-4.071857827264342422e-01
8.599999999999999867e-01,2.509903040184163103e+01,-4.171308598465268691e-01
8.699999999999999956e-01,2.493688752107122752e+01,-4.280867579521479005e-01
8.800000000000000044e-01,2.478789331361979720e+01,-4.380475444567666354e-01
8.900000000000000133e-01,2.465058200721133730e+01,-4.454410443086961324e-01
9.000000000000000222e-01,2.452316240750860032e+01,-4.492520674329666952e-01
9.100000000000000311e-01,2.440374092309241760e+01,-4.490613621131906985e-01
9.200000000000000400e-01,2.429052844533111610e+01,-4.450066492385008621e-01
9.300000000000000488e-01,2.418200768411180945e+01,-4.376807296004338599e-01
9.400000000000000577e-01,2.407704524532120161e+01,-4.279875287166716724e-01
9.500000000000000666e-01,2.397494147751871196e+01,-4.169796325149299210e-01
9.599999999999999645e-01,2.387541975544719364e+01,-4.057003679657852357e-01
9.699999999999999734e-01,2.377856436549748764e+01,-3.950501709831143460e-01
9.799999999999999822e-01,2.368472170150403855e+01,-3.856915403830056821e-01
9.899999999999999911e-01,2.359438256500943609e+01,-3.780001821675645912e-01
1.000000000000000000e+00,2.350806383380812647e+01,-3.720629623313372880e-01
1.010000000000000009e+00,2.342620579537257797e+01,-3.677169246641822653e-01
1.020000000000000018e+00,2.334909750781679705e+01,-3.646186561609107146e-01
1.030000000000000027e+00,2.327683733254544052e+01,-3.623302244777872327e-01
1.040000000000000036e+00,2.320933007421879779e+01,-3.604070122068546711e-01
