itt,time_au,time_as,para_z,dia_z,total_z
0,0.0000000000,0.0000000000,0.000000000000e+00,6.063313000000e-05,6.063313000000e-05
1,0.0200000000,0.4837768653,-3.808014000000e-06,6.063313000000e-05,5.682512000000e-05
2,0.0400000000,0.9675537306,-7.612071000000e-06,6.063313000000e-05,5.302106000000e-05
3,0.0600000000,1.4513305959,-1.140821000000e-05,6.063313000000e-05,4.922492000000e-05
4,0.0800000000,1.9351074612,-1.519249000000e-05,6.063313000000e-05,4.544064000000e-05
5,0.1000000000,2.4188843265,-1.896096000000e-05,6.063313000000e-05,4.167217000000e-05
6,0.1200000000,2.9026611918,-2.270971000000e-05,6.063313000000e-05,3.792342000000e-05
7,0.1400000000,3.3864380571,-2.643483000000e-05,6.063313000000e-05,3.419831000000e-05
8,0.1600000000,3.8702149224,-3.013243000000e-05,6.063313000000e-05,3.050070000000e-05
9,0.1800000000,4.3539917877,-3.379868000000e-05,6.063313000000e-05,2.683445000000e-05
10,0.2000000000,4.8377686530,-3.742974000000e-05,6.063313000000e-05,2.320339000000e-05
11,0.2200000000,5.3215455183,-4.102183000000e-05,6.063313000000e-05,1.961130000000e-05
12,0.2400000000,5.8053223836,-4.457121000000e-05,6.063313000000e-05,1.606192000000e-05
13,0.2600000000,6.2890992489,-4.807416000000e-05,6.063313000000e-05,1.255897000000e-05
14,0.2800000000,6.7728761142,-5.152702000000e-05,6.063313000000e-05,9.106108000000e-06
15,0.3000000000,7.2566529795,-5.492620000000e-05,6.063313000000e-05,5.706936000000e-06
16,0.3200000000,7.7404298448,-5.826812000000e-05,6.063313000000e-05,2.365015000000e-06
17,0.3400000000,8.2242067101,-6.154929000000e-05,6.063313000000e-05,-9.161534000000e-07
18,0.3600000000,8.7079835754,-6.476626000000e-05,6.063313000000e-05,-4.133130000000e-06
19,0.3800000000,9.1917604407,-6.791567000000e-05,6.063313000000e-05,-7.282539000000e-06
20,0.4000000000,9.6755373060,-7.099420000000e-05,6.063313000000e-05,-1.036107000000e-05
21,0.4200000000,10.1593141713,-7.399861000000e-05,6.063313000000e-05,-1.336548000000e-05
22,0.4400000000,10.6430910366,-7.692574000000e-05,6.063313000000e-05,-1.629261000000e-05
23,0.4600000000,11.1268679019,-7.977250000000e-05,6.063313000000e-05,-1.913936000000e-05
24,0.4800000000,11.6106447672,-8.253587000000e-05,6.063313000000e-05,-2.190274000000e-05
25,0.5000000000,12.0944216325,-8.521293000000e-05,6.063313000000e-05,-2.457980000000e-05
26,0.5200000000,12.5781984978,-8.780084000000e-05,6.063313000000e-05,-2.716771000000e-05
27,0.5400000000,13.0619753631,-9.029684000000e-05,6.063313000000e-05,-2.966371000000e-05
28,0.5600000000,13.5457522284,-9.269828000000e-05,6.063313000000e-05,-3.206515000000e-05
29,0.5800000000,14.0295290937,-9.500258000000e-05,6.063313000000e-05,-3.436945000000e-05
30,0.6000000000,14.5133059590,-9.720727000000e-05,6.063313000000e-05,-3.657414000000e-05
31,0.6200000000,14.9970828243,-9.930998000000e-05,6.063313000000e-05,-3.867684000000e-05
32,0.6400000000,15.4808596896,-1.013084000000e-04,6.063313000000e-05,-4.067529000000e-05
33,0.6600000000,15.9646365549,-1.032004000000e-04,6.063313000000e-05,-4.256731000000e-05
34,0.6800000000,16.4484134202,-1.049840000000e-04,6.063313000000e-05,-4.435084000000e-05
35,0.7000000000,16.9321902855,-1.066571000000e-04,6.063313000000e-05,-4.602393000000e-05
36,0.7200000000,17.4159671508,-1.082178000000e-04,6.063313000000e-05,-4.758471000000e-05
37,0.7400000000,17.8997440161,-1.096646000000e-04,6.063313000000e-05,-4.903145000000e-05
38,0.7600000000,18.3835208814,-1.109957000000e-04,6.063313000000e-05,-5.036254000000e-05
39,0.7800000000,18.8672977467,-1.122096000000e-04,6.063313000000e-05,-5.157645000000e-05
40,0.8000000000,19.3510746120,-1.133049000000e-04,6.063313000000e-05,-5.267179000000e-05
41,0.8200000000,19.8348514773,-1.142804000000e-04,6.063313000000e-05,-5.364728000000e-05
42,0.8400000000,20.3186283426,-1.151349000000e-04,6.063313000000e-05,-5.450176000000e-05
43,0.8600000000,20.8024052079,-1.158673000000e-04,6.063313000000e-05,-5.523419000000e-05
44,0.8800000000,21.2861820732,-1.164768000000e-04,6.063313000000e-05,-5.584364000000e-05
45,0.9000000000,21.7699589385,-1.169624000000e-04,6.063313000000e-05,-5.632930000000e-05
46,0.9200000000,22.2537358038,-1.173236000000e-04,6.063313000000e-05,-5.669050000000e-05
