energy_au,energy_eV,re_eps_z,im_eps_z
0.00100000,0.02721139,-9.743838027214e+03,2.125650517884e+05
0.00200000,0.05442277,-9.737781681431e+03,1.060085922825e+05
0.00300000,0.08163416,-9.727689979053e+03,7.036821720671e+04
0.00400000,0.10884554,-9.713566238080e+03,5.245708045847e+04
0.00500000,0.13605693,-9.695415117897e+03,4.163788242240e+04
0.00600000,0.16326832,-9.673242633372e+03,3.436491464152e+04
0.00700000,0.19047970,-9.647056172873e+03,2.911863764422e+04
0.00800000,0.21769109,-9.616864520102e+03,2.513932541433e+04
0.00900000,0.24490248,-9.582677879657e+03,2.200494689157e+04
0.01000000,0.27211386,-9.544507906179e+03,1.946231857943e+04
0.01100000,0.29932525,-9.502367736957e+03,1.735035573613e+04
0.01200000,0.32653663,-9.456272027824e+03,1.556169797338e+04
0.01300000,0.35374802,-9.406236992166e+03,1.402204611870e+04
0.01400000,0.38095941,-9.352280442855e+03,1.267835470780e+04
0.01500000,0.40817079,-9.294421836893e+03,1.149174747790e+04
0.01600000,0.43538218,-9.232682322541e+03,1.043308954747e+04
0.01700000,0.46259357,-9.167084788703e+03,9.480122350887e+03
0.01800000,0.48980495,-9.097653916302e+03,8.615553588421e+03
0.01900000,0.51701634,-9.024416231389e+03,7.825750342016e+03
0.02000000,0.54422772,-8.947400159709e+03,7.099824247313e+03
0.02100000,0.57143911,-8.866636082428e+03,6.428978034843e+03
0.02200000,0.59865050,-8.782156392738e+03,5.806030275936e+03
0.02300000,0.62586188,-8.693995553017e+03,5.225064095601e+03
0.02400000,0.65307327,-8.602190152241e+03,4.681163693866e+03
0.02500000,0.68028466,-8.506778963325e+03,4.170214087791e+03
0.02600000,0.70749604,-8.407803000058e+03,3.688747051823e+03
0.02700000,0.73470743,-8.305305573312e+03,3.233821277830e+03
0.02800000,0.76191881,-8.199332346183e+03,2.802928198627e+03
0.02900000,0.78913020,-8.089931387723e+03,2.393917279163e+03
0.03000000,0.81634159,-7.977153224942e+03,2.004936231765e+03
0.03100000,0.84355297,-7.861050892714e+03,1.634382784431e+03
0.03200000,0.87076436,-7.741679981277e+03,1.280865473916e+03
0.03300000,0.89797575,-7.619098680978e+03,9.431715483388e+02
0.03400000,0.92518713,-7.493367823935e+03,6.202405146941e+02
0.03500000,0.95239852,-7.364550922287e+03,3.111422015036e+02
0.03600000,0.97960990,-7.232714202722e+03,1.505845792356e+01
0.03700000,1.00682129,-7.097926636962e+03,-2.687321993250e+02
0.03800000,1.03403268,-6.960259967901e+03,-5.408675348075e+02
0.03900000,1.06124406,-6.819788731105e+03,-8.019125710480e+02
0.04000000,1.08845545,-6.676590271390e+03,-1.052368938592e+03
